energy_ev,total_up,P_s_up,P_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,5.25625046,0.02003251,1.86265136,3.24154194,2.40336722,0.05014011,0.79308242
-5.99399700,5.17956872,0.01964894,1.83760838,3.18563555,2.38899109,0.04786046,0.77764076
-5.98799400,5.09334623,0.01921354,1.80899396,3.12942758,2.36804641,0.04552367,0.76145387
-5.98199100,4.99841708,0.01873091,1.77709681,3.07407041,2.34060832,0.04315300,0.74470252
-5.97598799,4.89577419,0.01820584,1.74226102,3.02067159,2.30689438,0.04076986,0.72757977
-5.96998499,4.78656222,0.01764323,1.70488657,2.97026983,2.26727023,0.03839364,0.71028543
-5.96398199,4.67206432,0.01704805,1.66542765,2.92381255,2.22224967,0.03604164,0.69302004
-5.95797899,4.55368284,0.01642529,1.62438871,2.88213573,2.17248911,0.03372908,0.67597848
-5.95197599,4.43291460,0.01577989,1.58231811,2.84594675,2.11877634,0.03146916,0.65934374
-5.94597299,4.31132158,0.01511674,1.53979971,2.81581113,2.06201403,0.02927321,0.64328105
-5.93996998,4.19049840,0.01444058,1.49744234,2.79214352,2.00319875,0.02715081,0.62793281
-5.93396698,4.07203788,0.01375600,1.45586797,2.77520371,1.94339640,0.02510998,0.61341457
-5.92796398,3.95749649,0.01306739,1.41569880,2.76509757,1.88371520,0.02315733,0.59981227
-5.92196098,3.84836114,0.01237890,1.37754406,2.76178335,1.82527750,0.02129825,0.58718093
-5.91595798,3.74601906,0.01169443,1.34198706,2.76508280,1.76919171,0.01953701,0.57554479
-5.90995498,3.65173188,0.01101758,1.30957321,2.77469687,1.71652562,0.01787692,0.56489902
-5.90395198,3.56661523,0.01035162,1.28079945,2.79022517,1.66828226,0.01632041,0.55521262
-5.89794897,3.49162442,0.00969954,1.25610558,2.81118827,1.62537917,0.01486911,0.54643266
-5.89194597,3.42754649,0.00906395,1.23586788,2.83705171,1.58863184,0.01352392,0.53848932
-5.88594297,3.37499866,0.00844718,1.22039498,2.86725052,1.55874181,0.01228502,0.53130149
-5.87993997,3.33443258,0.00785119,1.20992631,2.90121300,1.53628940,0.01115195,0.52478273
-5.87393697,3.30614361,0.00727766,1.20463260,2.93838245,1.52173115,0.01012358,0.51884704
-5.86793397,3.29028418,0.00672795,1.20461857,2.97823606,1.51540149,0.00919821,0.51341428
-5.86193097,3.28687992,0.00620318,1.20992708,3.02029974,1.51751809,0.00837354,0.50841486
-5.85592796,3.29584729,0.00570420,1.22054468,3.06415872,1.52819015,0.00764677,0.50379352
-5.84992496,3.31701175,0.00523164,1.23640778,3.10946346,1.54742902,0.00701460,0.49951203
-5.84392196,3.35012508,0.00478593,1.25740931,3.15593100,1.57515999,0.00647333,0.49555075
-5.83791896,3.39488129,0.00436733,1.28340525,3.20334223,1.61123483,0.00601893,0.49190897
-5.83191596,3.45093028,0.00397595,1.31422088,3.25153572,1.65544413,0.00564713,0.48860425
-5.82591296,3.51788899,0.00361175,1.34965640,3.30039896,1.70752889,0.00535347,0.48567069
-5.81990995,3.59534983,0.00327460,1.38949178,3.34985808,1.76719097,0.00513345,0.48315652
-5.81390695,3.68288646,0.00296425,1.43349082,3.39986692,1.83410193,0.00498258,0.48112099
-5.80790395,3.78005721,0.00268037,1.48140426,3.45039646,1.90791016,0.00489647,0.47963100
-5.80190095,3.88640622,0.00242257,1.53297214,3.50142538,1.98824618,0.00487096,0.47875755
-5.79589795,4.00146286,0.00219037,1.58792530,3.55293212,2.07472600,0.00490210,0.47857216
-5.78989495,4.12473962,0.00198325,1.64598618,3.60488878,2.16695291,0.00498626,0.47914361
-5.78389195,4.25572869,0.00180065,1.70686899,3.65725682,2.26451743,0.00512015,0.48053490
-5.77788894,4.39389746,0.00164199,1.77027925,3.70998427,2.36699592,0.00530082,0.48280065
-5.77188594,4.53868313,0.00150663,1.83591270,3.76300385,2.47394790,0.00552563,0.48598493
-5.76588294,4.68948631,0.00139395,1.90345384,3.81623157,2.58491221,0.00579224,0.49011952
-5.75987994,4.84566387,0.00130331,1.97257374,3.86956507,2.69940242,0.00609851,0.49522262
-5.75387694,5.00652100,0.00123407,2.04292760,3.92288127,2.81690149,0.00644245,0.50129793
-5.74787394,5.17130279,0.00118561,2.11415177,3.97603278,2.93685624,0.00682211,0.50833412
-5.74187094,5.33918559,0.00115731,2.18586064,4.02884323,3.05867172,0.00723543,0.51630459
-5.73586793,5.50926875,0.00114857,2.25764336,4.08110141,3.18170599,0.00768017,0.52516767
-5.72986493,5.68056728,0.00115882,2.32906088,4.13255494,3.30526574,0.00815374,0.53486710
-5.72386193,5.85200653,0.00118751,2.39964334,4.18290406,3.42860322,0.00865312,0.54533289
-5.71785893,6.02241968,0.00123410,2.46888849,4.23179664,3.55091511,0.00917470,0.55648276
-5.71185593,6.19054918,0.00129808,2.53626131,4.27882545,3.67134367,0.00971427,0.56822395
-5.70585293,6.35505321,0.00137898,2.60119530,4.32352879,3.78898095,0.01026690,0.58045568
-5.69984992,6.51451809,0.00147634,2.66309590,4.36539561,3.90287636,0.01082696,0.59307226
-5.69384692,6.66747731,0.00158972,2.72134620,4.40387574,4.01204800,0.01138809,0.60596676
-5.68784392,6.81243748,0.00171873,2.77531528,4.43839565,4.11549793,0.01194332,0.61903535
-5.68184092,6.94791131,0.00186301,2.82436920,4.46837991,4.21223135,0.01248510,0.63218212
-5.67583792,7.07245698,0.00202227,2.86788447,4.49327755,4.30127946,0.01300549,0.64532432
-5.66983492,7.18472282,0.00219624,2.90526385,4.51259254,4.38172544,0.01349630,0.65839775
-5.66383192,7.28349578,0.00238476,2.93595390,4.52591682,4.45273283,0.01394933,0.67136211
-5.65782891,7.36775164,0.00258771,2.95946373,4.53296404,4.51357508,0.01435656,0.68420593
-5.65182591,7.43670450,0.00280509,2.97538400,4.53360195,4.56366521,0.01471042,0.69695095
-5.64582291,7.48985294,0.00303697,2.98340543,4.52788106,4.60258395,0.01500401,0.70965531
-5.63981991,7.52701987,0.00328356,2.98333572,4.51605751,4.63010492,0.01523139,0.72241553
-5.63381691,7.54838353,0.00354513,2.97511380,4.49860807,4.64621514,0.01538774,0.73536690
-5.62781391,7.55449696,0.00382207,2.95882061,4.47623552,4.65112951,0.01546960,0.74868198
-5.62181091,7.54629386,0.00411485,2.93468542,4.44986336,4.64529784,0.01547501,0.76256720
-5.61580790,7.52507935,0.00442400,2.90308708,4.42061910,4.62940337,0.01540362,0.77725747
-5.60980490,7.49250466,0.00475012,2.86454964,4.38980624,4.60435210,0.01525675,0.79300881
-5.60380190,7.45052577,0.00509381,2.81973222,4.35886551,4.57125270,0.01503743,0.81008928
-5.59779890,7.40134665,0.00545564,2.76941323,4.32932681,4.53138703,0.01475028,0.82876835
-5.59179590,7.34734881,0.00583613,2.71446925,4.30275350,4.48617207,0.01440148,0.84930509
-5.58579290,7.29100937,0.00623570,2.65584929,4.28068152,4.43711442,0.01399855,0.87193570
-5.57978989,7.23481085,0.00665459,2.59454543,4.26455589,4.38575887,0.01355021,0.89686070
-5.57378689,7.18114618,0.00709285,2.53156093,4.25566735,4.33363313,0.01306605,0.92423243
-5.56778389,7.13222289,0.00755024,2.46787725,4.25509209,4.28219098,0.01255633,0.95414326
-5.56178089,7.08997077,0.00802623,2.40442137,4.26363726,4.23275620,0.01203163,0.98661515
-5.55577789,7.05595700,0.00851990,2.34203488,4.28179461,4.18646998,0.01150257,1.02159084
-5.54977489,7.03131280,0.00902988,2.28144626,4.30970462,4.14424417,0.01097949,1.05892726
-5.54377189,7.01667496,0.00955437,2.22324770,4.34713250,4.10672262,0.01047214,1.09839139
-5.53776888,7.01214534,0.01009101,2.16787745,4.39345741,4.07425256,0.00998941,1.13965892
-5.53176588,7.01727042,0.01063692,2.11560854,4.44767546,4.04686771,0.00953909,1.18231573
-5.52576288,7.03104228,0.01118863,2.06654439,4.50841642,4.02428379,0.00912766,1.22586250
-5.51975988,7.05192135,0.01174209,2.02062157,4.57397383,4.00590727,0.00876012,1.26972227
-5.51375688,7.07788064,0.01229267,1.97761933,4.64234742,3.99085693,0.00843989,1.31325082
-5.50775388,7.10646977,0.01283518,1.93717570,4.71129642,3.97799759,0.00816872,1.35574993
-5.50175088,7.13489670,0.01336393,1.89880905,4.77840206,3.96598474,0.00794676,1.39648281
-5.49574787,7.16012405,0.01387281,1.86194426,4.84113700,3.95331808,0.00777254,1.43469175
-5.48974487,7.17897627,0.01435534,1.82594224,4.89693956,3.93840198,0.00764314,1.46961722
-5.48374187,7.18825366,0.01480484,1.79013118,4.94329011,3.91961007,0.00755430,1.50051806
-5.47773887,7.18484861,0.01521453,1.75383844,4.97778716,3.89535141,0.00750065,1.52669209
-5.47173587,7.16585960,0.01557773,1.71642130,4.99822067,3.86413523,0.00747594,1.54749649
