energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up
-6.00000000,1.41205393,0.16329329,1.03793547,0.00112018,0.02900880,0.13081256,0.11446637,0.00583081,0.24405256
-5.99399700,1.42655004,0.15458495,1.05760543,0.00113868,0.02669895,0.12680542,0.11461559,0.00598907,0.24273493
-5.98799400,1.44248345,0.14702053,1.07811123,0.00115625,0.02462131,0.12309091,0.11467854,0.00612122,0.24170570
-5.98199100,1.45932607,0.14049867,1.09910808,0.00117201,0.02275576,0.11960758,0.11460460,0.00622559,0.24084758
-5.97598799,1.47661795,0.13492910,1.12028680,0.00118532,0.02108495,0.11630801,0.11435331,0.00630122,0.24006396
-5.96998499,1.49395512,0.13022951,1.14136549,0.00119568,0.01959366,0.11315696,0.11389376,0.00634779,0.23927668
-5.96398199,1.51097715,0.12632271,1.16208135,0.00120274,0.01826823,0.11012935,0.11320376,0.00636560,0.23842346
-5.95797899,1.52735523,0.12313395,1.18218306,0.00120633,0.01709598,0.10720823,0.11226890,0.00635550,0.23745520
-5.95197599,1.54278150,0.12058880,1.20142439,0.00120635,0.01606480,0.10438271,0.11108151,0.00631879,0.23633340
-5.94597299,1.55696031,0.11861160,1.21955921,0.00120281,0.01516273,0.10164612,0.10963973,0.00625716,0.23502772
-5.93996998,1.56960174,0.11712443,1.23633845,0.00119580,0.01437777,0.09899430,0.10794648,0.00617257,0.23351383
-5.93396698,1.58041770,0.11604678,1.25150890,0.00118542,0.01369770,0.09642413,0.10600859,0.00606715,0.23177170
-5.92796398,1.58912065,0.11529574,1.26481400,0.00117185,0.01311004,0.09393237,0.10383606,0.00594311,0.22978420
-5.92196098,1.59542487,0.11478680,1.27599641,0.00115524,0.01260214,0.09151478,0.10144135,0.00580267,0.22753618
-5.91595798,1.59904987,0.11443495,1.28480219,0.00113577,0.01216122,0.08916557,0.09883889,0.00564796,0.22501392
-5.90995498,1.59972565,0.11415625,1.29098618,0.00111359,0.01177464,0.08687709,0.09604464,0.00548097,0.22220494
-5.90395198,1.59719931,0.11386955,1.29431819,0.00108886,0.01143004,0.08463978,0.09307576,0.00530355,0.21909807
-5.89794897,1.59124224,0.11349827,1.29458958,0.00106170,0.01111560,0.08244240,0.08995044,0.00511732,0.21568380
-5.89194597,1.58165762,0.11297218,1.29161972,0.00103225,0.01082032,0.08027235,0.08668768,0.00492374,0.21195466
-5.88594297,1.56828737,0.11222911,1.28526197,0.00100061,0.01053419,0.07811621,0.08330717,0.00472408,0.20790576
-5.87993997,1.55101827,0.11121627,1.27540883,0.00096690,0.01024839,0.07596026,0.07982919,0.00451944,0.20353525
-5.87393697,1.52978680,0.10989146,1.26199586,0.00093126,0.00995550,0.07379114,0.07627445,0.00431081,0.19884476
-5.86793397,1.50458241,0.10822374,1.24500438,0.00089381,0.00964955,0.07159642,0.07266399,0.00409908,0.19383965
-5.86193097,1.47544910,0.10619386,1.22446270,0.00085471,0.00932612,0.06936516,0.06901894,0.00388509,0.18852926
