energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,0.96436918,0.16705932,0.37615142,0.01078723,0.01578207,0.19025305,0.45232104,0.09886344,0.00000000
-5.99399700,0.93173464,0.15243809,0.36283672,0.00981554,0.01415975,0.17278590,0.44567585,0.09376445,0.00000000
-5.98799400,0.90769791,0.13955976,0.35286943,0.00889455,0.01266328,0.15657243,0.44323907,0.08952183,0.00000000
-5.98199100,0.89251282,0.12842142,0.34633959,0.00803420,0.01129697,0.14173013,0.44511968,0.08616674,0.00000000
-5.97598799,0.88626868,0.11900444,0.34327527,0.00724275,0.01006377,0.12834760,0.45134125,0.08371516,0.00000000
-5.96998499,0.88888723,0.11127457,0.34364045,0.00652673,0.00896519,0.11648468,0.46184099,0.08216777,0.00000000
-5.96398199,0.90012403,0.10518262,0.34733470,0.00589095,0.00800135,0.10617328,0.47647089,0.08151015,0.00000000
-5.95797899,0.91957391,0.10066540,0.35419467,0.00533860,0.00717107,0.09741900,0.49500071,0.08171338,0.00000000
-5.95197599,0.94668041,0.09764715,0.36399723,0.00487126,0.00647200,0.09020322,0.51712285,0.08273487,0.00000000
-5.94597299,0.98074871,0.09604123,0.37646432,0.00448908,0.00590080,0.08448559,0.54245878,0.08451954,0.00000000
-5.93996998,1.02096189,0.09575214,0.39126920,0.00419089,0.00545335,0.08020671,0.57056705,0.08700119,0.00000000
-5.93396698,1.06639997,0.09667780,0.40804410,0.00397429,0.00512497,0.07729103,0.60095267,0.09010408,0.00000000
-5.92796398,1.11606148,0.09871201,0.42638905,0.00383584,0.00491064,0.07564957,0.63307764,0.09374464,0.00000000
-5.92196098,1.16888701,0.10174707,0.44588163,0.00377114,0.00480523,0.07518274,0.66637259,0.09783337,0.00000000
-5.91595798,1.22378441,0.10567649,0.46608761,0.00377497,0.00480374,0.07578294,0.70024922,0.10227678,0.00000000
-5.90995498,1.27965505,0.11039776,0.48657191,0.00384140,0.00490147,0.07733698,0.73411343,0.10697943,0.00000000
-5.90395198,1.33542055,0.11581500,0.50691000,0.00396390,0.00509421,0.07972846,0.76737889,0.11184600,0.00000000
-5.89794897,1.39004963,0.12184158,0.52669905,0.00413542,0.00537844,0.08283981,0.79948068,0.11678336,0.00000000
