energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.01905872,0.04268745,0.12268084,0.74523643,1.21278637,0.00000000,0.41067129,0.19699401
-5.99399700,1.97421990,0.04320702,0.11798167,0.74040721,1.18955956,0.00000000,0.40488356,0.19123225
-5.98799400,1.92653296,0.04366397,0.11334348,0.73494695,1.16393944,0.00000000,0.39893259,0.18540143
-5.98199100,1.87643470,0.04404564,0.10879501,0.72882565,1.13618926,0.00000000,0.39284691,0.17955025
-5.97598799,1.82436155,0.04433778,0.10435908,0.72200645,1.10658996,0.00000000,0.38665468,0.17372072
-5.96998499,1.77074520,0.04452518,0.10005290,0.71445013,1.07543591,0.00000000,0.38038432,0.16794807
-5.96398199,1.71600799,0.04459235,0.09588852,0.70611952,1.04303007,0.00000000,0.37406470,0.16226091
-5.95797899,1.66055818,0.04452429,0.09187332,0.69698336,1.00967864,0.00000000,0.36772496,0.15668159
-5.95197599,1.60478503,0.04430731,0.08801069,0.68701954,0.97568531,0.00000000,0.36139389,0.15122668
-5.94597299,1.54905378,0.04392973,0.08430063,0.67621750,0.94134532,0.00000000,0.35509896,0.14590753
-5.93996998,1.49370066,0.04338262,0.08074041,0.66457962,0.90693946,0.00000000,0.34886507,0.14073095
-5.93396698,1.43902804,0.04266033,0.07732518,0.65212175,0.87272836,0.00000000,0.34271312,0.13569982
-5.92796398,1.38530004,0.04176100,0.07404854,0.63887278,0.83894721,0.00000000,0.33665847,0.13081377
-5.92196098,1.33273878,0.04068678,0.07090304,0.62487339,0.80580115,0.00000000,0.33070959,0.12606978
-5.91595798,1.28152154,0.03944395,0.06788058,0.61017422,0.77346173,0.00000000,0.32486687,0.12146268
-5.90995498,1.23177912,0.03804286,0.06497277,0.59483364,0.74206442,0.00000000,0.31912183,0.11698570
-5.90395198,1.18359570,0.03649764,0.06217120,0.57891531,0.71170752,0.00000000,0.31345693,0.11263090
-5.89794897,1.13701017,0.03482579,0.05946761,0.56248586,0.68245256,0.00000000,0.30784583,0.10838955
-5.89194597,1.09201939,0.03304769,0.05685413,0.54561290,0.65432616,0.00000000,0.30225448,0.10425253
-5.88594297,1.04858314,0.03118587,0.05432332,0.52836342,0.62732343,0.00000000,0.29664280,0.10021070
-5.87993997,1.00663079,0.02926438,0.05186832,0.51080299,0.60141272,0.00000000,0.29096705,0.09625528
-5.87393697,0.96606951,0.02730804,0.04948295,0.49299557,0.57654162,0.00000000,0.28518281,0.09237823
-5.86793397,0.92679376,0.02534170,0.04716181,0.47500415,0.55264396,0.00000000,0.27924835,0.08857270
-5.86193097,0.88869568,0.02338956,0.04490036,0.45689200,0.52964740,0.00000000,0.27312839,0.08483346
-5.85592796,0.85167584,0.02147461,0.04269511,0.43872460,0.50748140,0.00000000,0.26679792,0.08115737
-5.84992496,0.81565392,0.01961806,0.04054368,0.42057186,0.48608509,0.00000000,0.26024593,0.07754383
-5.84392196,0.78057884,0.01783898,0.03844496,0.40251063,0.46541472,0.00000000,0.25347888,0.07399524
-5.83791896,0.74643770,0.01615400,0.03639925,0.38462713,0.44545021,0.00000000,0.24652357,0.07051733
-5.83191596,0.71326300,0.01457711,0.03440832,0.36701904,0.42620066,0.00000000,0.23942943,0.06711954
-5.82591296,0.68113801,0.01311964,0.03247551,0.34979717,0.40770830,0.00000000,0.23226981,0.06381513
-5.81990995,0.65019951,0.01179027,0.03060570,0.33308628,0.39005088,0.00000000,0.22514241,0.06062135
-5.81390695,0.62063818,0.01059515,0.02880533,0.31702515,0.37334219,0.00000000,0.21816856,0.05755926
-5.80790395,0.59269609,0.00953805,0.02708227,0.30176550,0.35773082,0.00000000,0.21149149,0.05465353
