energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up
-6.00000000,3.76214287,1.29467618,2.08301618,0.00743132,0.23422914,0.71231952,0.40430596,0.00524931,0.99974123
-5.99399700,3.57270284,1.23554497,1.97507344,0.00700625,0.22139004,0.68018942,0.38519448,0.00493645,0.95130022
-5.98799400,3.38284412,1.17375922,1.86891734,0.00656887,0.20838010,0.64667941,0.36559927,0.00463967,0.90160883
-5.98199100,3.19493604,1.11017733,1.76579861,0.00612628,0.19535550,0.61222950,0.34579566,0.00436405,0.85132486
-5.97598799,3.01122488,1.04563393,1.66688226,0.00568530,0.18246033,0.57727445,0.32605175,0.00411420,0.80108854
-5.96998499,2.83378422,0.98092010,1.57322268,0.00525232,0.16982371,0.54223341,0.30662233,0.00389416,0.75150779
-5.96398199,2.66447376,0.91676663,1.48574366,0.00483314,0.15755765,0.50750077,0.28774348,0.00370733,0.70314513
-5.95797899,2.50490702,0.85383057,1.40522345,0.00443286,0.14575565,0.47343829,0.26962799,0.00355644,0.65650685
-5.95197599,2.35642844,0.79268549,1.33228490,0.00405582,0.13449209,0.44036877,0.25246158,0.00344346,0.61203440
-5.94597299,2.22009958,0.73381533,1.26739055,0.00370549,0.12382234,0.40857135,0.23640009,0.00336964,0.57009817
-5.93996998,2.09669403,0.67761189,1.21084221,0.00338452,0.11378358,0.37827838,0.22156754,0.00333542,0.53099364
-5.93396698,1.98670053,0.62437553,1.16278462,0.00309469,0.10439605,0.34967393,0.20805514,0.00334048,0.49493995
-5.92796398,1.89033304,0.57431884,1.12321266,0.00283696,0.09566489,0.32289390,0.19592112,0.00338375,0.46208050
-5.92196098,1.80754699,0.52757268,1.09198147,0.00261150,0.08758224,0.29802738,0.18519139,0.00346340,0.43248563
-5.91595798,1.73806050,0.48419424,1.06881879,0.00241780,0.08012946,0.27511932,0.17586094,0.00357691,0.40615695
-5.90995498,1.68137934,0.44417633,1.05333913,0.00225469,0.07327957,0.25417420,0.16789584,0.00372111,0.38303308
-5.90395198,1.63682461,0.40745751,1.04505892,0.00212045,0.06699950,0.23516050,0.16123578,0.00389226,0.36299656
-5.89794897,1.60356208,0.37393252,1.04341248,0.00201294,0.06125232,0.21801568,0.15579712,0.00408611,0.34588153
-5.89194597,1.58063221,0.34346239,1.04776808,0.00192964,0.05599915,0.20265157,0.15147620,0.00429801,0.33148201
-5.88594297,1.56698009,0.31588408,1.05744398,0.00186778,0.05120086,0.18895984,0.14815296,0.00452301,0.31956033
-5.87993997,1.56148460,0.29101910,1.07172395,0.00182444,0.04681943,0.17681739,0.14569466,0.00475599,0.30985562
-5.87393697,1.56298617,0.26868102,1.08987221,0.00179660,0.04281899,0.16609154,0.14395979,0.00499174,0.30209209
-5.86793397,1.57031270,0.24868170,1.11114746,0.00178128,0.03916655,0.15664474,0.14280180,0.00522517,0.29598683
-5.86193097,1.58230330,0.23083622,1.13481589,0.00177557,0.03583240,0.14833882,0.14207291,0.00545132,0.29125704
-5.85592796,1.59782952,0.21496643,1.16016300,0.00177670,0.03279022,0.14103866,0.14162765,0.00566560,0.28762660
-5.84992496,1.61581377,0.20090337,1.18650406,0.00178212,0.03001706,0.13461519,0.14132618,0.00586379,0.28483178
-5.84392196,1.63524492,0.18848852,1.21319314,0.00178953,0.02749299,0.12894766,0.14103739,0.00604221,0.28262603
-5.83791896,1.65519074,0.17757422,1.23963052,0.00179691,0.02520079,0.12392539,0.14064153,0.00619776,0.28078395
-5.83191596,1.67480731,0.16802330,1.26526837,0.00180253,0.02312537,0.11944872,0.14003253,0.00632799,0.27910422
-5.82591296,1.69334517,0.15970816,1.28961471,0.00180500,0.02125336,0.11542951,0.13911979,0.00643110,0.27741158
-5.81990995,1.71015248,0.15250960,1.31223546,0.00180321,0.01957252,0.11179102,0.13782955,0.00650598,0.27555798
-5.81390695,1.72467506,0.14631537,1.33275477,0.00179637,0.01807129,0.10846743,0.13610565,0.00655215,0.27342278
-5.80790395,1.73645385,0.14101877,1.35085360,0.00178399,0.01673843,0.10540297,0.13390992,0.00656977,0.27091217
-5.80190095,1.74511972,0.13651734,1.36626673,0.00176579,0.01556260,0.10255079,0.13122187,0.00655950,0.26795791
-5.79589795,1.75038633,0.13271176,1.37877852,0.00174176,0.01453221,0.09987170,0.12803807,0.00652251,0.26451537
-5.78989495,1.75204138,0.12950508,1.38821762,0.00171206,0.01363523,0.09733284,0.12437093,0.00646031,0.26056123
-5.78389195,1.74993682,0.12680220,1.39445103,0.00167701,0.01285916,0.09490633,0.12024720,0.00637470,0.25609064
-5.77788894,1.74397857,0.12450974,1.39737802,0.00163703,0.01219106,0.09256805,0.11570607,0.00626767,0.25111430
-5.77188594,1.73411644,0.12253629,1.39692415,0.00159263,0.01161763,0.09029656,0.11079703,0.00614129,0.24565537
-5.76588294,1.72033476,0.12079288,1.39303602,0.00154437,0.01112543,0.08807222,0.10557760,0.00599767,0.23974643
-5.75987994,1.70264422,0.11919382,1.38567690,0.00149283,0.01070102,0.08587652,0.10011095,0.00583883,0.23342662
-5.75387694,1.68107546,0.11765764,1.37482376,0.00143857,0.01033128,0.08369169,0.09446357,0.00566671,0.22673902
-5.74787394,1.65567453,0.11610827,1.36046573,0.00138215,0.01000356,0.08150050,0.08870298,0.00548311,0.21972843
-5.74187094,1.62650057,0.11447624,1.34260412,0.00132408,0.00970599,0.07928638,0.08289567,0.00528966,0.21243951
-5.73586793,1.59362563,0.11269984,1.32125413,0.00126483,0.00942771,0.07703356,0.07710527,0.00508785,0.20491544
-5.72986493,1.55713636,0.11072632,1.29644781,0.00120485,0.00915900,0.07472755,0.07139096,0.00487900,0.19719694
-5.72386193,1.51713754,0.10851277,1.26823828,0.00114452,0.00889152,0.07235559,0.06580627,0.00466433,0.18932184
-5.71785893,1.47375675,0.10602695,1.23670462,0.00108421,0.00861837,0.06990717,0.06039817,0.00444496,0.18132501
-5.71185593,1.42714983,0.10324776,1.20195718,0.00102426,0.00833417,0.06737460,0.05520650,0.00422192,0.17323861
-5.70585293,1.37750647,0.10016548,1.16414271,0.00096500,0.00803510,0.06475345,0.05026374,0.00399624,0.16509267
-5.69984992,1.32505550,0.09678168,1.12344889,0.00090675,0.00771882,0.06204294,0.04559509,0.00376895,0.15691575
-5.69384692,1.27006907,0.09310880,1.08010777,0.00084985,0.00738443,0.05924617,0.04121878,0.00354107,0.14873580
-5.68784392,1.21286557,0.08916946,1.03439791,0.00079465,0.00703236,0.05637025,0.03714659,0.00331370,0.14058099
-5.68184092,1.15381064,0.08499552,0.98664464,0.00074155,0.00666416,0.05342616,0.03338460,0.00308794,0.13248039
-5.67583792,1.09331621,0.08062683,0.93721861,0.00069094,0.00628240,0.05042857,0.02993397,0.00286495,0.12446469
-5.66983492,1.03183736,0.07610987,0.88653226,0.00064329,0.00589040,0.04739542,0.02679181,0.00264592,0.11656651
-5.66383192,0.96986721,0.07149622,0.83503461,0.00059909,0.00549208,0.04434737,0.02395214,0.00243203,0.10882071
-5.65782891,0.90792977,0.06684101,0.78320422,0.00055887,0.00509173,0.04130725,0.02140667,0.00222447,0.10126430
-5.65182591,0.84657126,0.06220130,0.73154093,0.00052321,0.00469384,0.03829927,0.01914570,0.00202436,0.09393625
-5.64582291,0.78635024,0.05763456,0.68055645,0.00049273,0.00430286,0.03534834,0.01715878,0.00183277,0.08687698
-5.63981991,0.72782692,0.05319726,0.63076445,0.00046808,0.00392314,0.03247932,0.01543531,0.00165066,0.08012775
-5.63381691,0.67155214,0.04894350,0.58267039,0.00044993,0.00355870,0.02971634,0.01396506,0.00147887,0.07372992
-5.62781391,0.61805660,0.04492397,0.53676159,0.00043897,0.00321316,0.02708215,0.01273849,0.00131809,0.06772403
-5.62181091,0.56784050,0.04118497,0.49349792,0.00043593,0.00288968,0.02459754,0.01174696,0.00116885,0.06214895
-5.61580790,0.52136426,0.03776769,0.45330330,0.00044151,0.00259089,0.02228096,0.01098282,0.00103152,0.05704091
-5.60980490,0.47904026,0.03470768,0.41655848,0.00045643,0.00231884,0.02014810,0.01043937,0.00090631,0.05243267
-5.60380190,0.44122615,0.03203448,0.38359494,0.00048137,0.00207504,0.01821174,0.01011072,0.00079322,0.04835267
-5.59779890,0.40821946,0.02977145,0.35469037,0.00051698,0.00186046,0.01648157,0.00999152,0.00069215,0.04482437
-5.59179590,0.38025381,0.02793573,0.33006538,0.00056386,0.00167554,0.01496421,0.01007668,0.00060281,0.04186557
-5.58579290,0.35749656,0.02653834,0.30988160,0.00062254,0.00152025,0.01366327,0.01036099,0.00052481,0.03948800
-5.57978989,0.34004783,0.02558429,0.29424107,0.00069345,0.00139418,0.01257950,0.01083872,0.00045764,0.03769692
-5.57378689,0.32794069,0.02507288,0.28318665,0.00077693,0.00129650,0.01171096,0.01150321,0.00040073,0.03649093
-5.56778389,0.32114251,0.02499798,0.27670346,0.00087319,0.00122613,0.01105329,0.01234646,0.00035342,0.03586183
-5.56178089,0.31955723,0.02534834,0.27472113,0.00098228,0.00118168,0.01059997,0.01335881,0.00031504,0.03579471
-5.55577789,0.32302848,0.02610797,0.27711670,0.00110409,0.00116161,0.01034256,0.01452859,0.00028487,0.03626804
-5.54977489,0.33134337,0.02725648,0.28371822,0.00123835,0.00116419,0.01027102,0.01584193,0.00026223,0.03725401
-5.54377189,0.34423697,0.02876954,0.29430870,0.00138458,0.00118756,0.01037395,0.01728265,0.00024641,0.03871885
-5.53776888,0.36139743,0.03061930,0.30863066,0.00154212,0.00122982,0.01063886,0.01883223,0.00023677,0.04062343
-5.53176588,0.38247160,0.03277480,0.32639096,0.00171010,0.00128896,0.01105240,0.02046996,0.00023270,0.04292379
-5.52576288,0.40707117,0.03520258,0.34726607,0.00188749,0.00136298,0.01160061,0.02217314,0.00023365,0.04557198
-5.51975988,0.43477944,0.03786714,0.37090766,0.00207304,0.00144986,0.01226911,0.02391755,0.00023912,0.04851684
-5.51375688,0.46515843,0.04073161,0.39694850,0.00226536,0.00154760,0.01304334,0.02567787,0.00024868,0.05170499
-5.50775388,0.49775647,0.04375836,0.42500865,0.00246294,0.00165423,0.01390872,0.02742839,0.00026197,0.05508186
-5.50175088,0.53211606,0.04690971,0.45470181,0.00266411,0.00176784,0.01485087,0.02914365,0.00027871,0.05859281
-5.49574787,0.56778201,0.05014860,0.48564182,0.00286714,0.00188658,0.01585583,0.03079926,0.00029869,0.06218425
-5.48974487,0.60430948,0.05343936,0.51744913,0.00307027,0.00200874,0.01691020,0.03237273,0.00032177,0.06580485
-5.48374187,0.64127203,0.05674839,0.54975720,0.00327169,0.00213270,0.01800140,0.03384424,0.00034788,0.06940666
-5.47773887,0.67826924,0.06004483,0.58221856,0.00346961,0.00225701,0.01911784,0.03519744,0.00037703,0.07294622
-5.47173587,0.71493377,0.06330117,0.61451052,0.00366232,0.00238042,0.02024918,0.03642018,0.00040930,0.07638555
-5.46573287,0.75093780,0.06649378,0.64634027,0.00384814,0.00250191,0.02138651,0.03750502,0.00044480,0.07969306
-5.45972986,0.78599846,0.06960336,0.67744935,0.00402552,0.00262072,0.02252266,0.03844977,0.00048375,0.08284427
-5.45372686,0.81988223,0.07261520,0.70761728,0.00419303,0.00273641,0.02365241,0.03925772,0.00052638,0.08582235
-5.44772386,0.85240819,0.07551938,0.73666432,0.00434938,0.00284892,0.02477273,0.03993774,0.00057301,0.08861847
-5.44172086,0.88345006,0.07831076,0.76445331,0.00449338,0.00295860,0.02588314,0.04050423,0.00062399,0.09123193
-5.43571786,0.91293700,0.08098894,0.79089063,0.00462404,0.00306631,0.02698593,0.04097682,0.00067973,0.09367014
-5.42971486,0.94085327,0.08355794,0.81592620,0.00474048,0.00317345,0.02808648,0.04137994,0.00074070,0.09594828
-5.42371186,0.96723677,0.08602592,0.83955268,0.00484197,0.00328203,0.02919360,0.04174221,0.00080742,0.09808887
-5.41770885,0.99217665,0.08840468,0.86180386,0.00492790,0.00339480,0.03031977,0.04209575,0.00088048,0.10012118
-5.41170585,1.01581012,0.09070922,0.88275252,0.00499779,0.00351523,0.03148152,0.04247533,0.00096056,0.10208044
-5.40570285,1.03831861,0.09295711,0.90250761,0.00505127,0.00364769,0.03269966,0.04291758,0.00104840,0.10400703
-5.39969985,1.05992345,0.09516799,0.92121112,0.00508806,0.00379743,0.03399954,0.04346007,0.00114488,0.10594557
-5.39369685,1.08088125,0.09736299,0.93903458,0.00510798,0.00397071,0.03541128,0.04414057,0.00125099,0.10794396
-5.38769385,1.10147910,0.09956426,0.95617537,0.00511096,0.00417481,0.03696986,0.04499620,0.00136788,0.11005254
-5.38169085,1.12202964,0.10179447,0.97285286,0.00509699,0.00441808,0.03871516,0.04606287,0.00149684,0.11232309
-5.37568784,1.14286607,0.10407645,0.98930447,0.00506617,0.00470995,0.04069188,0.04737468,0.00163936,0.11480810
-5.36968484,1.16433717,0.10643288,1.00578162,0.00501870,0.00506089,0.04294927,0.04896355,0.00179711,0.11755990
-5.36368184,1.18680214,0.10888605,1.02254563,0.00495490,0.00548238,0.04554071,0.05085890,0.00197193,0.12062996
-5.35767884,1.21062545,0.11145766,1.03986341,0.00487520,0.00598675,0.04852302,0.05308753,0.00216585,0.12406825
-5.35167584,1.23617129,0.11416868,1.05800315,0.00478018,0.00658703,0.05195563,0.05567352,0.00238105,0.12792254
-5.34567284,1.26379779,0.11703927,1.07722968,0.00467055,0.00729676,0.05589941,0.05863822,0.00261981,0.13223779
-5.33966983,1.29385083,0.12008859,1.09779965,0.00454723,0.00812965,0.06041530,0.06200036,0.00288446,0.13705557
-5.33366683,1.32665728,0.12333473,1.11995650,0.00441128,0.00909925,0.06556266,0.06577602,0.00317731,0.14241334
-5.32766383,1.36251789,0.12679445,1.14392514,0.00426399,0.01021855,0.07139745,0.06997873,0.00350052,0.14834380
-5.32166083,1.40169967,0.13048301,1.16990653,0.00410684,0.01149946,0.07797014,0.07461939,0.00385603,0.15487413
-5.31565783,1.44442802,0.13441381,1.19807212,0.00394152,0.01295236,0.08532362,0.07970628,0.00424540,0.16202526
-5.30965483,1.49087886,0.13859807,1.22855847,0.00376994,0.01458552,0.09349091,0.08524488,0.00466970,0.16981103
-5.30365183,1.54117101,0.14304440,1.26146212,0.00359420,0.01640455,0.10249306,0.09123775,0.00512936,0.17823744
-5.29764882,1.59535928,0.14775839,1.29683511,0.00341663,0.01841185,0.11233711,0.09768429,0.00562401,0.18730196
-5.29164582,1.65342874,0.15274225,1.33468132,0.00323974,0.02060615,0.12301431,0.10458062,0.00615241,0.19699297
-5.28564282,1.71529068,0.15799448,1.37495404,0.00306621,0.02298206,0.13449877,0.11191949,0.00671230,0.20728931
-5.27963982,1.78078077,0.16350962,1.41755507,0.00289888,0.02552974,0.14674651,0.11969028,0.00730036,0.21816025
-5.27363682,1.84965981,0.16927826,1.46233559,0.00274075,0.02823471,0.15969520,0.12787919,0.00791217,0.22956571
-5.26763382,1.92161765,0.17528716,1.50909902,0.00259491,0.03107782,0.17326443,0.13646975,0.00854221,0.24145680
-5.26163082,1.99628019,0.18151962,1.55760608,0.00246455,0.03403537,0.18735679,0.14544341,0.00918392,0.25377696
-5.25562781,2.07321979,0.18795611,1.60758185,0.00235288,0.03707943,0.20185958,0.15478057,0.00982984,0.26646338
-5.24962481,2.15196880,0.19457504,1.65872494,0.00226317,0.04017835,0.21664727,0.16446179,0.01047174,0.27944890
