energy_ev,total_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,0.00092947,0.00051451,0.00049682,0.00000003,0.00004443,0.00042416,0.00000000
-5.99399700,0.00122835,0.00067995,0.00065658,0.00000004,0.00005872,0.00056054,0.00000000
-5.98799400,0.00161167,0.00089214,0.00086147,0.00000005,0.00007704,0.00073547,0.00000000
-5.98199100,0.00209942,0.00116213,0.00112218,0.00000006,0.00010035,0.00095805,0.00000000
-5.97598799,0.00271515,0.00150297,0.00145130,0.00000008,0.00012978,0.00123903,0.00000000
-5.96998499,0.00348624,0.00192981,0.00186347,0.00000011,0.00016664,0.00159092,0.00000000
-5.96398199,0.00444418,0.00246008,0.00237551,0.00000013,0.00021243,0.00202807,0.00000000
-5.95797899,0.00562466,0.00311353,0.00300650,0.00000017,0.00026886,0.00256677,0.00000000
-5.95197599,0.00706758,0.00391226,0.00377777,0.00000021,0.00033783,0.00322523,0.00000000
-5.94597299,0.00881688,0.00488058,0.00471281,0.00000027,0.00042145,0.00402351,0.00000000
-5.93996998,0.01092018,0.00604486,0.00583707,0.00000033,0.00052198,0.00498333,0.00000000
-5.93396698,0.01342809,0.00743311,0.00717761,0.00000041,0.00064186,0.00612779,0.00000000
-5.92796398,0.01639340,0.00907454,0.00876264,0.00000050,0.00078360,0.00748098,0.00000000
-5.92196098,0.01986984,0.01099891,0.01062087,0.00000060,0.00094978,0.00906741,0.00000000
-5.91595798,0.02391056,0.01323562,0.01278074,0.00000072,0.00114292,0.01091135,0.00000000
-5.90995498,0.02856642,0.01581283,0.01526941,0.00000086,0.00136547,0.01303599,0.00000000
-5.90395198,0.03388383,0.01875622,0.01811172,0.00000102,0.00161965,0.01546251,0.00000000
-5.89794897,0.03990250,0.02208775,0.02132887,0.00000121,0.00190734,0.01820903,0.00000000
-5.89194597,0.04665294,0.02582429,0.02493720,0.00000141,0.00223001,0.02128945,0.00000000
-5.88594297,0.05415387,0.02997619,0.02894673,0.00000164,0.00258856,0.02471232,0.00000000
-5.87993997,0.06240972,0.03454585,0.03335984,0.00000189,0.00298320,0.02847963,0.00000000
-5.87393697,0.07140817,0.03952639,0.03816996,0.00000216,0.00341334,0.03258572,0.00000000
-5.86793397,0.08111805,0.04490047,0.04336049,0.00000245,0.00387749,0.03701634,0.00000000
-5.86193097,0.09148759,0.05063933,0.04890381,0.00000277,0.00437318,0.04174781,0.00000001
-5.85592796,0.10244334,0.05670213,0.05476073,0.00000310,0.00489691,0.04674651,0.00000001
-5.84992496,0.11388966,0.06303571,0.06088024,0.00000345,0.00544410,0.05196870,0.00000001
-5.84392196,0.12570913,0.06957473,0.06719975,0.00000382,0.00600916,0.05736062,0.00000002
-5.83791896,0.13776381,0.07624240,0.07364572,0.00000419,0.00658550,0.06285913,0.00000003
-5.83191596,0.14989749,0.08295165,0.08013496,0.00000457,0.00716567,0.06839263,0.00000004
-5.82591296,0.16193892,0.08960687,0.08657630,0.00000495,0.00774151,0.07388257,0.00000005
-5.81990995,0.17370592,0.09610611,0.09287290,0.00000533,0.00830432,0.07924529,0.00000007
-5.81390695,0.18501044,0.10234386,0.09892493,0.00000570,0.00884517,0.08439428,0.00000010
-5.80790395,0.19566431,0.10821404,0.10463272,0.00000607,0.00935511,0.08924271,0.00000015
-5.80190095,0.20548548,0.11361342,0.10990014,0.00000642,0.00982549,0.09370633,0.00000020
-5.79589795,0.21430473,0.11844515,0.11463826,0.00000677,0.01024830,0.09770634,0.00000028
-5.78989495,0.22197237,0.12262232,0.11876901,0.00000711,0.01061650,0.10117246,0.00000038
-5.78389195,0.22836490,0.12607141,0.12222885,0.00000745,0.01092431,0.10404581,0.00000051
-5.77788894,0.23339112,0.12873554,0.12497210,0.00000779,0.01116754,0.10628163,0.00000069
-5.77188594,0.23699777,0.13057723,0.12697412,0.00000815,0.01134384,0.10785173,0.00000093
-5.76588294,0.23917417,0.13158080,0.12823389,0.00000854,0.01145296,0.10874645,0.00000123
-5.75987994,0.23995585,0.13175402,0.12877611,0.00000898,0.01149690,0.10897621,0.00000162
-5.75387694,0.23942700,0.13112921,0.12865264,0.00000950,0.01148006,0.10857246,0.00000213
-5.74787394,0.23772156,0.12976354,0.12794320,0.00001013,0.01140930,0.10758804,0.00000276
-5.74187094,0.23502297,0.12773861,0.12675543,0.00001090,0.01129390,0.10609698,0.00000356
