energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,3.35750227,0.02091341,0.37740773,0.68782141,0.86440697,1.79376281,0.00000000,0.86352244,0.33617107
-5.99399700,3.18118614,0.01940753,0.37851598,0.65963605,0.85169959,1.66839666,0.00000000,0.81110295,0.31883448
-5.98799400,3.01649192,0.01799454,0.38087940,0.63489863,0.84118908,1.54914918,0.00000000,0.76104155,0.30158639
-5.98199100,2.86387236,0.01667755,0.38452566,0.61367048,0.83293960,1.43626295,0.00000000,0.71347776,0.28450907
-5.97598799,2.72367828,0.01545825,0.38948942,0.59599132,0.82702532,1.32990473,0.00000000,0.66852424,0.26768307
-5.96998499,2.59618093,0.01433717,0.39581426,0.58188381,0.82353581,1.23017898,0.00000000,0.62627122,0.25118771
-5.96398199,2.48159197,0.01331381,0.40355373,0.57135761,0.82257967,1.13714082,0.00000000,0.58679037,0.23510143
-5.95797899,2.38007987,0.01238683,0.41277147,0.56441261,0.82428627,1.05080787,0.00000000,0.55013809,0.21950180
-5.95197599,2.29178200,0.01155422,0.42354047,0.56104123,0.82880541,0.97117040,0.00000000,0.51635787,0.20446536
-5.94597299,2.21681214,0.01081345,0.43594139,0.56122989,0.83630504,0.89819933,0.00000000,0.48548172,0.19006712
-5.93996998,2.15526323,0.01016157,0.45006025,0.56495943,0.84696727,0.83185207,0.00000000,0.45753067,0.17637977
-5.93396698,2.10720579,0.00959537,0.46598534,0.57220482,0.86098269,0.77207598,0.00000000,0.43251440,0.16347268
-5.92796398,2.07268238,0.00911148,0.48380381,0.58293401,0.87854366,0.71880973,0.00000000,0.41043011,0.15141072
-5.92196098,2.05169901,0.00870638,0.50359780,0.59710628,0.89983659,0.67198272,0.00000000,0.39126088,0.14025290
-5.91595798,2.04421402,0.00837653,0.52544049,0.61467012,0.92503370,0.63151284,0.00000000,0.37497365,0.13005098
-5.90995498,2.05012562,0.00811838,0.54939205,0.63556072,0.95428458,0.59730304,0.00000000,0.36151710,0.12084811
-5.90395198,2.06925859,0.00792839,0.57549562,0.65969735,0.98770770,0.56923707,0.00000000,0.35081965,0.11267758
-5.89794897,2.10135100,0.00780309,0.60377340,0.68698054,1.02538226,0.54717478,0.00000000,0.34278774,0.10556164
-5.89194597,2.14604162,0.00773902,0.63422290,0.71728921,1.06734027,0.53094735,0.00000000,0.33730456,0.09951064
-5.88594297,2.20285833,0.00773279,0.66681324,0.75047780,1.11355922,0.52035281,0.00000000,0.33422936,0.09452234
-5.87993997,2.27120811,0.00778102,0.70148170,0.78637327,1.16395518,0.51515214,0.00000000,0.33339754,0.09058155
-5.87393697,2.35036867,0.00788033,0.73813031,0.82477220,1.21837648,0.51506611,0.00000000,0.33462128,0.08765999
-5.86793397,2.43948216,0.00802731,0.77662260,0.86543782,1.27659803,0.51977315,0.00000000,0.33769104,0.08571656
-5.86193097,2.53755091,0.00821848,0.81678060,0.90809720,1.33831622,0.52890827,0.00000000,0.34237762,0.08469777
-5.85592796,2.64343568,0.00845022,0.85838198,0.95243853,1.40314477,0.54206322,0.00000000,0.34843497,0.08453855
-5.84992496,2.75585634,0.00871875,0.90115778,0.99810879,1.47061148,0.55878778,0.00000000,0.35560341,0.08516323
-5.84392196,2.87339560,0.00902004,0.94479063,1.04471201,1.54015633,0.57859251,0.00000000,0.36361338,0.08648674
-5.83791896,2.99450594,0.00934978,0.98891387,1.09180829,1.61113127,0.60095253,0.00000000,0.37218948,0.08841611
-5.83191596,3.11752016,0.00970335,1.03311184,1.13891394,1.68280200,0.62531272,0.00000000,0.38105474,0.09085198
-5.82591296,3.24066602,0.01007573,1.07692156,1.18550314,1.75435225,0.65109404,0.00000000,0.38993505,0.09369033
-5.81990995,3.36208531,0.01046154,1.11983619,1.23101128,1.82489099,0.67770089,0.00000000,0.39856356,0.09682432
-5.81390695,3.47985754,0.01085501,1.16131045,1.27484037,1.89346279,0.70452956,0.00000000,0.40668499,0.10014616
-5.80790395,3.59202836,0.01125002,1.20076825,1.31636669,1.95906173,0.73097746,0.00000000,0.41405983,0.10354902
-5.80190095,3.69664268,0.01164016,1.23761250,1.35495077,2.02064881,0.75645306,0.00000000,0.42046818,0.10692896
-5.79589795,3.79178190,0.01201876,1.27123722,1.38994965,2.07717276,0.78038619,0.00000000,0.42571336,0.11018682
-5.78989495,3.87560472,0.01237908,1.30104158,1.42073131,2.12759400,0.80223864,0.00000000,0.42962500,0.11323006
-5.78389195,3.94639039,0.01271436,1.32644577,1.44669084,2.17091101,0.82151450,0.00000000,0.43206172,0.11597443
-5.77788894,4.00258317,0.01301802,1.34690789,1.46726789,2.20618848,0.83777026,0.00000000,0.43291321,0.11834554
