energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,W_p_up,W_d_up
-6.00000000,7.78353368,0.08309879,0.94130232,0.13480120,3.67734249,2.42451439,0.71543624,2.96043126,1.61698252
-5.99399700,7.73557224,0.08459408,0.91610049,0.13638479,3.67323962,2.41367695,0.70938210,2.95202881,1.59638835
-5.98799400,7.67564553,0.08590633,0.88923980,0.13781303,3.66439978,2.39770762,0.70264089,2.93418491,1.57493593
-5.98199100,7.60363316,0.08701067,0.86089450,0.13909310,3.65060791,2.37629787,0.69511285,2.90736925,1.55258125
-5.97598799,7.51973361,0.08788789,0.83129341,0.14023187,3.63177002,2.34931378,0.68670814,2.87231851,1.52931724
-5.96998499,7.42446060,0.08852486,0.80071733,0.14123511,3.60791261,2.31679301,0.67735062,2.83002399,1.50517597
-5.96398199,7.31862735,0.08891473,0.76949411,0.14210694,3.57917738,2.27893453,0.66698107,2.78171078,1.48022873
-5.95797899,7.20332020,0.08905700,0.73799174,0.14284935,3.54581192,2.23608236,0.65556011,2.72880900,1.45458426
-5.95197599,7.07986329,0.08895732,0.70660955,0.14346192,3.50815702,2.18870440,0.64307032,2.67291825,1.42838525
-5.94597299,6.94977625,0.08862711,0.67576816,0.14394181,3.46663160,2.13736794,0.62951802,2.61576604,1.40180373
-5.93996998,6.81472683,0.08808306,0.64589833,0.14428378,3.42171608,2.08271319,0.61493418,2.55916181,1.37503534
-5.93396698,6.67648063,0.08734637,0.61742938,0.14448054,3.37393494,2.02542646,0.59937489,2.50494751,1.34829315
-5.92796398,6.53684954,0.08644199,0.59077740,0.14452309,3.32383926,1.96621413,0.58292104,2.45494622,1.32180102
-5.92196098,6.39764054,0.08539767,0.56633369,0.14440125,3.27198986,1.90577877,0.56567742,2.41091010,1.29578688
-5.91595798,6.26060632,0.08424299,0.54445379,0.14410427,3.21894141,1.84479808,0.54777118,2.37446894,1.27047612
-5.90995498,6.12739857,0.08300830,0.52544736,0.14362133,3.16522788,1.78390744,0.52934960,2.34708055,1.24608504
-5.90395198,5.99952495,0.08172374,0.50956907,0.14294221,3.11134954,1.72368635,0.51057731,2.32998429,1.22281463
-5.89794897,5.87831028,0.08041822,0.49701091,0.14205772,3.05776145,1.66464877,0.49163288,2.32415876,1.20084450
-5.89194597,5.76486240,0.07911847,0.48789583,0.14096017,3.00486368,1.60723721,0.47270492,2.33028504,1.18032726
-5.88594297,5.66004326,0.07784821,0.48227296,0.13964372,2.95299294,1.55182023,0.45398766,2.34871633,1.16138308
-5.87993997,5.56444548,0.07662740,0.48011461,0.13810456,2.90241583,1.49869268,0.43567619,2.37945531,1.14409479
-5.87393697,5.47837493,0.07547167,0.48131491,0.13634103,2.85332351,1.44807826,0.41796139,2.42214009,1.12850342
-5.86793397,5.40183966,0.07439186,0.48569041,0.13435368,2.80582790,1.40013358,0.40102479,2.47603958,1.11460442
-5.86193097,5.33454574,0.07339382,0.49298250,0.13214514,2.75995945,1.35495330,0.38503337,2.54005925,1.10234474
-5.85592796,5.27590053,0.07247828,0.50286184,0.12972001,2.71566656,1.31257564,0.37013460,2.61275748,1.09162097
-5.84992496,5.22502374,0.07164100,0.51493466,0.12708472,2.67281696,1.27298802,0.35645186,2.69237305,1.08227880
-5.84392196,5.18076663,0.07087309,0.52875105,0.12424726,2.63120090,1.23613243,0.34408035,2.77686332,1.07411402
-5.83791896,5.14173953,0.07016146,0.54381496,0.12121708,2.59053669,1.20191050,0.33308387,2.86395290,1.06687523
-5.83191596,5.10634759,0.06948944,0.55959590,0.11800482,2.55047842,1.17018816,0.32349234,2.95119158,1.06026848
-5.82591296,5.07283417,0.06883758,0.57554204,0.11462227,2.51062596,1.14080009,0.31530055,3.03602026,1.05396380
-5.81990995,5.03933131,0.06818451,0.59109443,0.11108214,2.47053731,1.11355402,0.30846791,3.11584294,1.04760361
-5.81390695,5.00391577,0.06750783,0.60570186,0.10739812,2.42974294,1.08823524,0.30291948,3.18810253,1.04081299
-5.80790395,4.96466945,0.06678515,0.61883612,0.10358469,2.38776193,1.06461140,0.29854824,3.25035788,1.03321133
-5.80190095,4.91974196,0.06599501,0.63000689,0.09965724,2.34411942,1.04243799,0.29521850,3.30035921,1.02442513
-5.79589795,4.86741341,0.06511783,0.63877604,0.09563192,2.29836491,1.02146435,0.29277040,3.33611910,1.01410152
-5.78989495,4.80615501,0.06413677,0.64477053,0.09152575,2.25009059,1.00144051,0.29102540,3.35597608,1.00192184
-5.78389195,4.73468511,0.06303849,0.64769362,0.08735648,2.19894918,0.98212467,0.28979246,3.35864841,0.98761483
-5.77788894,4.65201847,0.06181377,0.64733383,0.08314266,2.14467039,0.96329109,0.28887471,3.34327552,0.97096878
-5.77188594,4.55750669,0.06045796,0.64357136,0.07890345,2.08707534,0.94473823,0.28807641,3.30944571,0.95184210
-5.76588294,4.45086795,0.05897135,0.63638163,0.07465863,2.02608826,0.92629669,0.28720984,3.25720857,0.93017187
-5.75987994,4.33220496,0.05735923,0.62583587,0.07042837,1.96174486,0.90783648,0.28610177,3.18707206,0.90597995
-5.75387694,4.20201014,0.05563193,0.61209875,0.06623314,1.89419694,0.88927320,0.28459944,3.09998421,0.87937632
-5.74787394,4.06115800,0.05380454,0.59542312,0.06209348,1.82371288,0.87057276,0.28257557,2.99730056,0.85055960
-5.74187094,3.91088477,0.05189661,0.57614218,0.05802983,1.75067407,0.85175401,0.27993229,2.88073891,0.81981472
-5.73586793,3.75275654,0.04993161,0.55465936,0.05406229,1.67556707,0.83288911,0.27660384,2.75232353,0.78750776
-5.72986493,3.58862693,0.04793631,0.53143647,0.05021047,1.59897204,0.81410145,0.27255786,2.61432139,0.75407839
-5.72386193,3.42058624,0.04594011,0.50698047,0.04649322,1.52154766,0.79556085,0.26779534,2.46917331,0.72003012
-5.71785893,3.25090419,0.04397421,0.48182954,0.04292850,1.44401324,0.77747631,0.26234908,2.31942285,0.68591881
-5.71185593,3.08196833,0.04207080,0.45653889,0.03953323,1.36712864,0.76008645,0.25628098,2.16764589,0.65233992
-5.70585293,2.91622059,0.04026223,0.43166684,0.03632307,1.29167285,0.74364794,0.24967814,2.01638357,0.61991504
-5.69984992,2.75609415,0.03858022,0.40776153,0.03331241,1.21842203,0.72842265,0.24264800,1.86808066,0.58927794
-5.69384692,2.60395264,0.03705499,0.38534880,0.03051420,1.14812783,0.71466387,0.23531289,1.72503145,0.56106081
-5.68784392,2.46203358,0.03571458,0.36492126,0.02793989,1.08149680,0.70260249,0.22780413,1.58933421,0.53588088
-5.68184092,2.33239740,0.03458415,0.34692894,0.02559942,1.01917163,0.69243380,0.22025601,1.46285512,0.51432762
-5.67583792,2.21688327,0.03368543,0.33177146,0.02350109,0.96171479,0.68430553,0.21280000,1.34720177,0.49695096
-5.66983492,2.11707229,0.03303614,0.31979173,0.02165158,0.90959507,0.67830793,0.20555936,1.24370599,0.48425026
-5.66383192,2.03425857,0.03264966,0.31127120,0.02005589,0.86317751,0.67446636,0.19864445,1.15341533,0.47666443
-5.65782891,1.96942809,0.03253468,0.30642638,0.01871727,0.82271657,0.67273684,0.19214893,1.07709210,0.47456297
-5.65182591,1.92324511,0.03269500,0.30540662,0.01763720,0.78835303,0.67300476,0.18614696,1.01521892,0.47823796
-5.64582291,1.89604584,0.03312941,0.30829297,0.01681529,0.76011418,0.67508703,0.18069146,0.96800938,0.48789699
-5.63981991,1.88783859,0.03383166,0.31509790,0.01624925,0.73791727,0.67873737,0.17581356,0.93542259,0.50365702
-5.63381691,1.89831009,0.03479053,0.32576594,0.01593479,0.72157586,0.68365467,0.17152308,0.91718059,0.52553923
