energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,3.23295871,0.32790002,1.15901291,0.00105846,1.08501192,0.16885744,0.00000000,1.75703430,0.69173378
-5.99399700,3.18972806,0.31988778,1.12340354,0.00110217,1.08183842,0.16946699,0.00000000,1.76103997,0.68632385
-5.98799400,3.14456643,0.31278314,1.09173514,0.00114899,1.07438181,0.17040351,0.00000000,1.75731494,0.67898757
-5.98199100,3.09754244,0.30653118,1.06421865,0.00119865,1.06256569,0.17163107,0.00000000,1.74562515,0.66967454
-5.97598799,3.04886571,0.30107990,1.04100899,0.00125095,1.04643333,0.17312167,0.00000000,1.72595514,0.65840041
-5.96998499,2.99889063,0.29638123,1.02220823,0.00130571,1.02614824,0.17485503,0.00000000,1.69850953,0.64524767
-5.96398199,2.94811122,0.29239147,1.00786841,0.00136281,1.00198985,0.17681790,0.00000000,1.66370624,0.63036349
-5.95797899,2.89714734,0.28907117,0.99799383,0.00142213,0.97434468,0.17900288,0.00000000,1.62216149,0.61395484
-5.95197599,2.84672299,0.28638453,0.99254251,0.00148358,0.94369335,0.18140686,0.00000000,1.57466757,0.59628100
-5.94597299,2.79763779,0.28429843,0.99142695,0.00154709,0.91059418,0.18402922,0.00000000,1.52216447,0.57764416
-5.93996998,2.75073346,0.28278137,0.99451413,0.00161259,0.87566417,0.18686984,0.00000000,1.46570675,0.55837832
-5.93396698,2.70685718,0.28180228,1.00162535,0.00167998,0.83955818,0.18992710,0.00000000,1.40642720,0.53883720
-5.92796398,2.66682403,0.28132956,1.01253594,0.00174920,0.80294746,0.19319611,0.00000000,1.34549905,0.51938181
-5.92196098,2.63138050,0.28133050,1.02697544,0.00182012,0.76649825,0.19666705,0.00000000,1.28409825,0.50036805
-5.91595798,2.60117139,0.28177107,1.04462865,0.00189266,0.73085148,0.20032407,0.00000000,1.22336757,0.48213504
-5.90995498,2.57671164,0.28261645,1.06513792,0.00196668,0.69660429,0.20414452,0.00000000,1.16438360,0.46499460
-5.90395198,2.55836473,0.28383214,1.08810704,0.00204208,0.66429397,0.20809878,0.00000000,1.10812807,0.44922219
-5.89794897,2.54632851,0.28538569,1.11310688,0.00211872,0.63438488,0.21215068,0.00000000,1.05546417,0.43504967
-5.89194597,2.54062927,0.28724920,1.13968302,0.00219650,0.60725852,0.21625841,0.00000000,1.00711842,0.42265991
-5.88594297,2.54112389,0.28940224,1.16736516,0.00227533,0.58320697,0.22037597,0.00000000,0.96366848,0.41218352
-5.87993997,2.54750993,0.29183519,1.19567828,0.00235513,0.56242963,0.22445514,0.00000000,0.92553661,0.40369740
-5.87393697,2.55934278,0.29455280,1.22415512,0.00243586,0.54503308,0.22844766,0.00000000,0.89298874,0.39722520
-5.86793397,2.57605890,0.29757775,1.25234975,0.00251748,0.53103385,0.23230776,0.00000000,0.86613850,0.39273940
-5.86193097,2.59700372,0.30095396,1.27985142,0.00259997,0.52036356,0.23599475,0.00000000,0.84495567,0.39016485
-5.85592796,2.62146278,0.30474942,1.30629848,0.00268334,0.51287629,0.23947555,0.00000000,0.82927815,0.38938336
-5.84992496,2.64869458,0.30905831,1.33139145,0.00276755,0.50835745,0.24272714,0.00000000,0.81882697,0.39023937
-5.84392196,2.67796342,0.31400226,1.35490480,0.00285255,0.50653398,0.24573859,0.00000000,0.81322315,0.39254608
-5.83791896,2.70857102,0.31973033,1.37669684,0.00293826,0.50708534,0.24851275,0.00000000,0.81200605,0.39609214
-5.83191596,2.73988525,0.32641789,1.39671711,0.00302448,0.50965488,0.25106742,0.00000000,0.81465225,0.40064838
-5.82591296,2.77136506,0.33426394,1.41501086,0.00311095,0.51386143,0.25343588,0.00000000,0.82059445,0.40597467
-5.81990995,2.80258046,0.34348703,1.43172023,0.00319726,0.51931066,0.25566675,0.00000000,0.82923994,0.41182649
-5.81390695,2.83322685,0.35431966,1.44708183,0.00328290,0.52560605,0.25782318,0.00000000,0.83998801,0.41796134
-5.80790395,2.86313317,0.36700123,1.46142064,0.00336716,0.53235925,0.25998127,0.00000000,0.85224612,0.42414456
-5.80190095,2.89226355,0.38176965,1.47514015,0.00344922,0.53919966,0.26222786,0.00000000,0.86544441,0.43015482
-5.79589795,2.92071247,0.39885181,1.48870894,0.00352808,0.54578306,0.26465761,0.00000000,0.87904839,0.43578883
-5.78989495,2.94869346,0.41845308,1.50264389,0.00360262,0.55179911,0.26736948,0.00000000,0.89256958,0.44086550
-5.78389195,2.97652199,0.44074634,1.51749056,0.00367157,0.55697770,0.27046285,0.00000000,0.90557396,0.44522933
-5.77788894,3.00459297,0.46586073,1.53380130,0.00373362,0.56109391,0.27403314,0.00000000,0.91768816,0.44875291
-5.77188594,3.03335396,0.49387071,1.55211173,0.00378738,0.56397158,0.27816739,0.00000000,0.92860338,0.45133870
-5.76588294,3.06327497,0.52478584,1.57291663,0.00383148,0.56548533,0.28293973,0.00000000,0.93807686,0.45291979
