energy_ev,total_up,Ga_p_up,Ga_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,2.41410460,0.04124844,0.00000000,2.04543894,1.36751379,1.29366432,0.00000000
-5.99399700,2.31682840,0.03972454,0.00000000,1.99264793,1.30016501,1.22515618,0.00000000
-5.98799400,2.23231831,0.03850168,0.00000000,1.95349854,1.23870010,1.16323351,0.00000000
-5.98199100,2.15975286,0.03755258,0.00000000,1.92661354,1.18294574,1.10766332,0.00000000
-5.97598799,2.09804566,0.03684412,0.00000000,1.91033515,1.13259986,1.05808047,0.00000000
-5.96998499,2.04589452,0.03633862,0.00000000,1.90278944,1.08725105,1.01400909,0.00000000
-5.96398199,2.00183556,0.03599531,0.00000000,1.90195561,1.04640042,0.97488641,0.00000000
-5.95797899,1.96430010,0.03577178,0.00000000,1.90573779,1.00948514,0.94008781,0.00000000
-5.95197599,1.93167278,0.03562546,0.00000000,1.91203694,0.97590301,0.90895251,0.00000000
-5.94597299,1.90234879,0.03551506,0.00000000,1.91882054,0.94503690,0.88080896,0.00000000
-5.93996998,1.87478850,0.03540191,0.00000000,1.92418782,0.91627857,0.85499913,0.00000000
-5.93396698,1.84756761,0.03525112,0.00000000,1.92642844,0.88905091,0.83090099,0.00000000
-5.92796398,1.81942143,0.03503265,0.00000000,1.92407270,0.86282794,0.80794856,0.00000000
-5.92196098,1.78928174,0.03472207,0.00000000,1.91593193,0.83715190,0.78564880,0.00000000
-5.91595798,1.75630531,0.03430118,0.00000000,1.90112776,0.81164703,0.76359512,0.00000000
-5.90995498,1.71989318,0.03375832,0.00000000,1.87910950,0.78602952,0.74147698,0.00000000
-5.90395198,1.67970041,0.03308844,0.00000000,1.84965954,0.76011355,0.71908546,0.00000000
-5.89794897,1.63563611,0.03229298,0.00000000,1.81288662,0.73381315,0.69631479,0.00000000
-5.89194597,1.58785418,0.03137944,0.00000000,1.76920787,0.70714011,0.67315986,0.00000000
-5.88594297,1.53673527,0.03036083,0.00000000,1.71932043,0.68019808,0.64970997,0.00000000
-5.87993997,1.48286099,0.02925486,0.00000000,1.66416409,0.65317318,0.62613920,0.00000000
-5.87393697,1.42698166,0.02808307,0.00000000,1.60487669,0.62632168,0.60269380,0.00000000
-5.86793397,1.36997882,0.02686980,0.00000000,1.54274405,0.59995519,0.57967721,0.00000000
-5.86193097,1.31282429,0.02564114,0.00000000,1.47914661,0.57442415,0.55743329,0.00000000
-5.85592796,1.25653726,0.02442385,0.00000000,1.41550462,0.55010008,0.53632844,0.00000000
-5.84992496,1.20214117,0.02324430,0.00000000,1.35322415,0.52735752,0.51673332,0.00000000
-5.84392196,1.15062180,0.02212747,0.00000000,1.29364563,0.50655618,0.49900471,0.00000000
-5.83791896,1.10288822,0.02109606,0.00000000,1.23799665,0.48802398,0.48346839,0.00000000
-5.83191596,1.05973769,0.02016969,0.00000000,1.18735056,0.47204168,0.47040335,0.00000000
-5.82591296,1.02182583,0.01936427,0.00000000,1.14259195,0.45882938,0.46002808,0.00000000
-5.81990995,0.98964266,0.01869151,0.00000000,1.10439001,0.44853568,0.45248929,0.00000000
-5.81390695,0.96349542,0.01815860,0.00000000,1.07318021,0.44122948,0.44785343,0.00000000
-5.80790395,0.94349825,0.01776806,0.00000000,1.04915465,0.43689492,0.44610127,0.00000000
-5.80190095,0.92956918,0.01751777,0.00000000,1.03226110,0.43542953,0.44712574,0.00000000
-5.79589795,0.92143402,0.01740111,0.00000000,1.02221036,0.43664547,0.45073300,0.00000000
-5.78989495,0.91863707,0.01740729,0.00000000,1.01849144,0.44027407,0.45664678,0.00000000
-5.78389195,0.92055799,0.01752182,0.00000000,1.02039382,0.44597324,0.46451577,0.00000000
-5.77788894,0.92643412,0.01772706,0.00000000,1.02703579,0.45333756,0.47392379,0.00000000
-5.77188594,0.93538746,0.01800287,0.00000000,1.03739788,0.46191070,0.48440239,0.00000000
-5.76588294,0.94645515,0.01832731,0.00000000,1.05035998,0.47119970,0.49544547,0.00000000
-5.75987994,0.95862245,0.01867742,0.00000000,1.06474088,0.48069053,0.50652522,0.00000000
-5.75387694,0.97085693,0.01903001,0.00000000,1.07933893,0.48986449,0.51710908,0.00000000
-5.74787394,0.98214267,0.01936234,0.00000000,1.09297220,0.49821467,0.52667673,0.00000000
-5.74187094,0.99151324,0.01965292,0.00000000,1.10451698,0.50526194,0.53473677,0.00000000
-5.73586793,0.99808223,0.01988212,0.00000000,1.11294308,0.51056990,0.54084226,0.00000000
-5.72986493,1.00107032,0.02003277,0.00000000,1.11734495,0.51375818,0.54460460,0.00000000
-5.72386193,0.99982783,0.02009059,0.00000000,1.11696743,0.51451351,0.54570521,0.00000000
-5.71785893,0.99385217,0.02004460,0.00000000,1.11122541,0.51259833,0.54390449,0.00000000
-5.71185593,0.98279942,0.01988728,0.00000000,1.09971684,0.50785648,0.53904792,0.00000000
-5.70585293,0.96648994,0.01961473,0.00000000,1.08222875,0.50021588,0.53106886,0.00000000
-5.69984992,0.94490793,0.01922661,0.00000000,1.05873635,0.48968814,0.51998824,0.00000000
-5.69384692,0.91819506,0.01872597,0.00000000,1.02939552,0.47636523,0.50591108,0.00000000
-5.68784392,0.88663885,0.01811901,0.00000000,0.99452920,0.46041333,0.48902011,0.00000000
-5.68184092,0.85065630,0.01741473,0.00000000,0.95460854,0.44206445,0.46956692,0.00000000
-5.67583792,0.81077381,0.01662444,0.00000000,0.91022987,0.42160590,0.44786101,0.00000000
-5.66983492,0.76760431,0.01576134,0.00000000,0.86208861,0.39936859,0.42425741,0.00000000
-5.66383192,0.72182275,0.01483993,0.00000000,0.81095139,0.37571423,0.39914330,0.00000000
-5.65782891,0.67414107,0.01387553,0.00000000,0.75762765,0.35102244,0.37292441,0.00000000
-5.65182591,0.62528369,0.01288372,0.00000000,0.70294190,0.32567807,0.34601165,0.00000000
-5.64582291,0.57596452,0.01187992,0.00000000,0.64770790,0.30005923,0.31880865,0.00000000
-5.63981991,0.52686640,0.01087891,0.00000000,0.59270549,0.27452671,0.29170052,0.00000000
-5.63381691,0.47862352,0.00989453,0.00000000,0.53866104,0.24941482,0.26504431,0.00000000
-5.62781391,0.43180740,0.00893933,0.00000000,0.48623194,0.22502415,0.23916142,0.00000000
-5.62181091,0.38691671,0.00802445,0.00000000,0.43599546,0.20161624,0.21433208,0.00000000
-5.61580790,0.34437088,0.00715948,0.00000000,0.38844202,0.17941032,0.19079196,0.00000000
-5.60980490,0.30450750,0.00635238,0.00000000,0.34397288,0.15858188,0.16873083,0.00000000
-5.60380190,0.26758323,0.00560964,0.00000000,0.30290161,0.13926316,0.14829315,0.00000000
-5.59779890,0.23377767,0.00493628,0.00000000,0.26545921,0.12154514,0.12958030,0.00000000
-5.59179590,0.20319982,0.00433607,0.00000000,0.23180199,0.10548085,0.11265422,0.00000000
-5.58579290,0.17589647,0.00381175,0.00000000,0.20202168,0.09108973,0.09754207,0.00000000
