energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up,Y_p_up,Y_d_up
-6.00000000,2.96745870,0.01973838,0.04507736,0.02820433,2.06029083,1.22385434,0.60448290,0.79156546,0.23949868
-5.99399700,2.89752650,0.02034784,0.04260553,0.02762911,2.01435580,1.20312002,0.58829286,0.78169001,0.23023907
-5.98799400,2.82599874,0.02088551,0.04029849,0.02700668,1.96671753,1.18055708,0.57289466,0.76970823,0.22092765
-5.98199100,2.75238514,0.02134093,0.03814095,0.02633536,1.91705082,1.15590144,0.55816647,0.75550225,0.21153585
-5.97598799,2.67628325,0.02170503,0.03611672,0.02561429,1.86510367,1.12895251,0.54397800,0.73900983,0.20204657
-5.96998499,2.59739144,0.02197035,0.03420944,0.02484352,1.81070495,1.09957942,0.53019491,0.72022587,0.19245472
-5.96398199,2.51551722,0.02213124,0.03240324,0.02402414,1.75376855,1.06772463,0.51668272,0.69920183,0.18276725
-5.95797899,2.43058088,0.02218389,0.03068331,0.02315827,1.69429409,1.03340455,0.50331052,0.67604325,0.17300258
-5.95197599,2.34261486,0.02212644,0.02903633,0.02224909,1.63236452,0.99670768,0.48995414,0.65090537,0.16318962
-5.94597299,2.25175927,0.02195893,0.02745088,0.02130078,1.56814102,0.95779029,0.47649907,0.62398737,0.15336628
-5.93996998,2.15825418,0.02168328,0.02591762,0.02031842,1.50185575,0.91687008,0.46284291,0.59552540,0.14357784
-5.93396698,2.06242945,0.02130314,0.02442951,0.01930789,1.43380280,0.87421821,0.44889758,0.56578475,0.13387500
-5.92796398,1.96469261,0.02082382,0.02298179,0.01827574,1.36432814,0.83015013,0.43459113,0.53505153,0.12431196
-5.92196098,1.86551573,0.02025205,0.02157198,0.01722899,1.29381889,0.78501561,0.41986928,0.50362431,0.11494444
-5.91595798,1.76542163,0.01959585,0.02019976,0.01617497,1.22269245,0.73918845,0.40469655,0.47180583,0.10582786
-5.90995498,1.66497023,0.01886427,0.01886679,0.01512115,1.15138595,0.69305629,0.38905714,0.43989532,0.09701567
-5.90395198,1.56474529,0.01806716,0.01757648,0.01407494,1.08034626,0.64701081,0.37295539,0.40818146,0.08855790
-5.89794897,1.46534206,0.01721498,0.01633378,0.01304353,1.01002087,0.60143867,0.35641579,0.37693625,0.08050005
-5.89194597,1.36735589,0.01631854,0.01514489,0.01203374,0.94084978,0.55671347,0.33948265,0.34640998,0.07288220
-5.88594297,1.27137215,0.01538879,0.01401701,0.01105187,0.87325848,0.51318878,0.32221918,0.31682724,0.06573846
-5.87993997,1.17795738,0.01443659,0.01295809,0.01010361,0.80765207,0.47119247,0.30470625,0.28838411,0.05909671
-5.87393697,1.08765174,0.01347254,0.01197661,0.00919394,0.74441045,0.43102229,0.28704053,0.26124640,0.05297858
-5.86793397,1.00096272,0.01250677,0.01108135,0.00832707,0.68388459,0.39294276,0.26933233,0.23554902,0.04739966
-5.86193097,0.91836004,0.01154884,0.01028121,0.00750641,0.62639368,0.35718322,0.25170300,0.21139621,0.04236994
-5.85592796,0.84027162,0.01060755,0.00958508,0.00673457,0.57222326,0.32393701,0.23428210,0.18886262,0.03789432
-5.84992496,0.76708062,0.00969086,0.00900167,0.00601335,0.52162397,0.29336159,0.21720430,0.16799514,0.03397325
-5.84392196,0.69912344,0.00880580,0.00853945,0.00534380,0.47481104,0.26557954,0.20060630,0.14881519,0.03060347
-5.83791896,0.63668853,0.00795847,0.00820651,0.00472624,0.43196441,0.24068015,0.18462376,0.13132151,0.02777864
-5.83191596,0.58001610,0.00715393,0.00801056,0.00416034,0.39322926,0.21872159,0.16938837,0.11549320,0.02549006
-5.82591296,0.52929861,0.00639626,0.00795879,0.00364520,0.35871712,0.19973337,0.15502526,0.10129292,0.02372726
-5.81990995,0.48468194,0.00568859,0.00805787,0.00317942,0.32850732,0.18371911,0.14165072,0.08867015,0.02247858
-5.81390695,0.44626735,0.00503309,0.00831390,0.00276119,0.30264888,0.17065942,0.12937049,0.07756443,0.02173156
-5.80790395,0.41411398,0.00443110,0.00873232,0.00238835,0.28116267,0.16051480,0.11827841,0.06790842,0.02147337
-5.80190095,0.38824205,0.00388318,0.00931791,0.00205852,0.26404398,0.15322853,0.10845569,0.05963081,0.02169104
-5.79589795,0.36863654,0.00338921,0.01007472,0.00176914,0.25126527,0.14872948,0.09997067,0.05265902,0.02237164
-5.78989495,0.35525127,0.00294851,0.01100602,0.00151757,0.24277919,0.14693487,0.09287906,0.04692150,0.02350245
-5.78389195,0.34801336,0.00255992,0.01211429,0.00130116,0.23852173,0.14775281,0.08722455,0.04234986,0.02507096
-5.77788894,0.34682789,0.00222194,0.01340115,0.00111729,0.23841547,0.15108480,0.08303986,0.03888051,0.02706494
-5.77188594,0.35158250,0.00193282,0.01486737,0.00096343,0.24237283,0.15682797,0.08034792,0.03645603,0.02947242
-5.76588294,0.36215204,0.00169067,0.01651283,0.00083722,0.25029920,0.16487726,0.07916325,0.03502615,0.03228167
-5.75987994,0.37840270,0.00149355,0.01833652,0.00073644,0.26209584,0.17512727,0.07949340,0.03454826,0.03548123
-5.75387694,0.40019585,0.00133954,0.02033654,0.00065908,0.27766242,0.18747392,0.08134032,0.03498765,0.03905987
-5.74787394,0.42739099,0.00122681,0.02251012,0.00060336,0.29689912,0.20181576,0.08470153,0.03631725,0.04300662
-5.74187094,0.45984793,0.00115365,0.02485363,0.00056770,0.31970806,0.21805487,0.08957117,0.03851699,0.04731076
-5.73586793,0.49742786,0.00111850,0.02736257,0.00055075,0.34599404,0.23609736,0.09594076,0.04157281,0.05196183
-5.72986493,0.53999326,0.00111997,0.03003158,0.00055134,0.37566438,0.25585320,0.10379959,0.04547530,0.05694961
-5.72386193,0.58740649,0.00115681,0.03285441,0.00056849,0.40862792,0.27723559,0.11313487,0.05021795,0.06226406
