energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,4.40440377,0.02513793,0.32762533,1.20535500,0.66623390,2.76088692,2.15833270,1.40933075,0.00000000
-5.99399700,4.30457838,0.02361163,0.32161053,1.16436081,0.63868844,2.64179740,2.14616381,1.35372901,0.00000000
-5.98799400,4.20510049,0.02206358,0.31512546,1.12077864,0.61076095,2.51894656,2.13685532,1.29661073,0.00000000
-5.98199100,4.10756049,0.02051354,0.30824298,1.07524053,0.58283769,2.39415063,2.13081611,1.23879284,0.00000000
-5.97598799,4.01335140,0.01897987,0.30102923,1.02836022,0.55526373,2.26910928,2.12834939,1.18103851,0.00000000
-5.96998499,3.92364527,0.01747915,0.29354338,0.98072191,0.52833697,2.14537719,2.12964538,1.12404443,0.00000000
-5.96398199,3.83938077,0.01602600,0.28583808,0.93287166,0.50230469,2.02434504,2.13477823,1.06843241,0.00000000
-5.95797899,3.76126176,0.01463288,0.27796060,0.88531178,0.47736283,1.90722998,2.14370731,1.01474498,0.00000000
-5.95197599,3.68976667,0.01331009,0.26995449,0.83849786,0.45365766,1.79507499,2.15628284,0.96344515,0.00000000
-5.94597299,3.62516728,0.01206577,0.26186171,0.79283847,0.43128963,1.68875648,2.17225561,0.91491958,0.00000000
-5.93996998,3.56755572,0.01090603,0.25372508,0.74869701,0.41031899,1.58899855,2.19129049,0.86948487,0.00000000
-5.93396698,3.51687780,0.00983511,0.24559078,0.70639535,0.39077273,1.49639262,2.21298320,0.82739600,0.00000000
-5.92796398,3.47297051,0.00885560,0.23751085,0.66621870,0.37265236,1.41142044,2.23687953,0.78885628,0.00000000
-5.92196098,3.43560164,0.00796871,0.22954539,0.62842121,0.35594190,1.33447882,2.26249643,0.75402802,0.00000000
-5.91595798,3.40450933,0.00717446,0.22176437,0.59323169,0.34061578,1.26590417,2.28934390,0.72304293,0.00000000
-5.90995498,3.37943921,0.00647203,0.21424879,0.56085895,0.32664596,1.20599515,2.31694685,0.69601180,0.00000000
-5.90395198,3.36017741,0.00585993,0.20709123,0.53149632,0.31400815,1.15503197,2.34486591,0.67303253,0.00000000
-5.89794897,3.34657754,0.00533622,0.20039557,0.50532497,0.30268653,1.11329098,2.37271619,0.65419624,0.00000000
-5.89194597,3.33858038,0.00489876,0.19427586,0.48251573,0.29267710,1.08105374,2.40018326,0.63959099,0.00000000
-5.88594297,3.33622512,0.00454528,0.18885441,0.46322928,0.28398920,1.05860981,2.42703528,0.62930299,0.00000000
-5.87993997,3.33965169,0.00427351,0.18425907,0.44761459,0.27664554,1.04625318,2.45313082,0.62341512,0.00000000
-5.87393697,3.34909382,0.00408123,0.18061974,0.43580571,0.27068051,1.04427231,2.47842174,0.62200316,0.00000000
-5.86793397,3.36486333,0.00396628,0.17806440,0.42791709,0.26613721,1.05293431,2.50295091,0.62512967,0.00000000
-5.86193097,3.38732608,0.00392651,0.17671463,0.42403756,0.26306321,1.07246408,2.52684465,0.63283620,0.00000000
-5.85592796,3.41687089,0.00395974,0.17668080,0.42422351,0.26150548,1.10301956,2.55030017,0.64513411,0.00000000
-5.84992496,3.45387286,0.00406364,0.17805731,0.42849147,0.26150474,1.14466425,2.57356834,0.66199474,0.00000000
-5.84392196,3.49865282,0.00423562,0.18091787,0.43681061,0.26308957,1.19733881,2.59693270,0.68333943,0.00000000
-5.83791896,3.55143503,0.00447270,0.18531111,0.44909575,0.26627067,1.26083325,2.62068548,0.70902999,0.00000000
-5.83191596,3.61230533,0.00477136,0.19125677,0.46520111,0.27103551,1.33476146,2.64510192,0.73886043,0.00000000
-5.82591296,3.68117204,0.00512741,0.19874257,0.48491547,0.27734381,1.41853996,2.67041411,0.77255033,0.00000000
-5.81990995,3.75773188,0.00553592,0.20772207,0.50795911,0.28512396,1.51137230,2.69678582,0.80974044,0.00000000
-5.81390695,3.84144302,0.00599105,0.21811345,0.53398282,0.29427066,1.61224078,2.72428968,0.84999102,0.00000000
-5.80790395,3.93150724,0.00648611,0.22979958,0.56256939,0.30464402,1.71990646,2.75288813,0.89278311,0.00000000
-5.80190095,4.02686265,0.00701342,0.24262927,0.59323757,0.31607006,1.83291855,2.78241933,0.93752307,0.00000000
-5.79589795,4.12618824,0.00756445,0.25641982,0.62544884,0.32834274,1.94963342,2.81258905,0.98355036,0.00000000
-5.78989495,4.22792074,0.00812985,0.27096077,0.65861669,0.34122752,2.06824333,2.84296934,1.03014858,0.00000000
-5.78389195,4.33028386,0.00869957,0.28601890,0.69211843,0.35446623,2.18681441,2.87300434,1.07655943,0.00000000
-5.77788894,4.43132944,0.00926305,0.30134423,0.72530903,0.36778321,2.30333279,2.90202336,1.12199937,0.00000000
-5.77188594,4.52898921,0.00980946,0.31667695,0.75753682,0.38089248,2.41575748,2.92926085,1.16567840,0.00000000
-5.76588294,4.62113549,0.01032789,0.33175493,0.78816026,0.39350559,2.52207812,2.95388264,1.20682039,0.00000000
-5.75987994,4.70564846,0.01080770,0.34632168,0.81656542,0.40534000,2.62037526,2.97501727,1.24468414,0.00000000
-5.75387694,4.78048734,0.01123874,0.36013436,0.84218321,0.41612752,2.70888070,2.99179119,1.27858459,0.00000000
-5.74787394,4.84376248,0.01161169,0.37297157,0.86450599,0.42562260,2.78603518,3.00336610,1.30791310,0.00000000
-5.74187094,4.89380494,0.01191830,0.38464060,0.88310253,0.43360996,2.85054081,3.00897669,1.33215618,0.00000000
-5.73586793,4.92923057,0.01215168,0.39498374,0.89763083,0.43991142,2.90140565,3.00796688,1.35091170,0.00000000
-5.72986493,4.94899518,0.01230647,0.40388346,0.90784825,0.44439152,2.93797817,2.99982273,1.36390189,0.00000000
-5.72386193,4.95243828,0.01237905,0.41126613,0.91361827,0.44696169,2.95996976,2.98420018,1.37098250,0.00000000
-5.71785893,4.93931270,0.01236764,0.41710412,0.91491368,0.44758279,2.96746399,2.96094626,1.37214763,0.00000000
-5.71185593,4.90979867,0.01227232,0.42141610,0.91181598,0.44626588,2.96091181,2.93011226,1.36752983,0.00000000
-5.70585293,4.86450095,0.01209504,0.42426548,0.90451088,0.44307122,2.94111270,2.89195827,1.35739541,0.00000000
-5.69984992,4.80442898,0.01183954,0.42575705,0.89328015,0.43810541,2.90918231,2.84694844,1.34213498,0.00000000
-5.69384692,4.73096046,0.01151121,0.42603190,0.87849003,0.43151693,2.86650796,2.79573704,1.32224954,0.00000000
-5.68784392,4.64578973,0.01111686,0.42526079,0.86057679,0.42349010,2.81469379,2.73914582,1.29833255,0.00000000
-5.68184092,4.55086304,0.01066451,0.42363625,0.84002994,0.41423786,2.75549800,2.67813361,1.27104876,0.00000000
-5.67583792,4.44830357,0.01016313,0.42136376,0.81737390,0.40399362,2.69076489,2.61375943,1.24111047,0.00000000
-5.66983492,4.34032935,0.00962229,0.41865235,0.79314886,0.39300241,2.62235480,2.54714093,1.20925246,0.00000000
-5.66383192,4.22916796,0.00905191,0.41570507,0.76789170,0.38151202,2.55207499,2.47940996,1.17620626,0.00000000
-5.65782891,4.11697174,0.00846192,0.41270978,0.74211769,0.36976412,2.48161448,2.41166762,1.14267524,0.00000000
-5.65182591,4.00573741,0.00786198,0.40983062,0.71630382,0.35798605,2.41248573,2.34494063,1.10931123,0.00000000
-5.64582291,3.89723380,0.00726127,0.40720058,0.69087441,0.34638345,2.34597553,2.28014146,1.07669384,0.00000000
-5.63981991,3.79294084,0.00666821,0.40491563,0.66618941,0.33513408,2.28310702,2.21803388,1.04531324,0.00000000
-5.63381691,3.69400255,0.00609030,0.40303044,0.64253603,0.32438305,2.22461432,2.15920563,1.01555713,0.00000000
-5.62781391,3.60119590,0.00553400,0.40155619,0.62012373,0.31423958,2.17093044,2.10404956,0.98770225,0.00000000
-5.62181091,3.51491672,0.00500464,0.40046028,0.59908270,0.30477548,2.12218848,2.05275388,0.96191090,0.00000000
-5.61580790,3.43518292,0.00450640,0.39966825,0.57946576,0.29602515,2.07823579,2.00530198,0.93823217,0.00000000
-5.60980490,3.36165443,0.00404226,0.39906747,0.56125334,0.28798727,2.03865967,1.96148158,0.91660794,0.00000000
-5.60380190,3.29366830,0.00361413,0.39851278,0.54436132,0.28062780,2.00282313,1.92090260,0.89688302,0.00000000
-5.59779890,3.23028710,0.00322286,0.39783347,0.52865091,0.27388419,1.96990867,1.88302261,0.87881886,0.00000000
-5.59179590,3.17035747,0.00286839,0.39684146,0.51394034,0.26767058,1.93896747,1.84717847,0.86211010,0.00000000
-5.58579290,3.11257607,0.00254985,0.39534024,0.50001746,0.26188354,1.90897183,1.81262241,0.84640294,0.00000000
-5.57978989,3.05555906,0.00226572,0.39313410,0.48665272,0.25640822,1.87886799,1.77856060,0.83131451,0.00000000
-5.57378689,2.99791206,0.00201394,0.39003720,0.47361188,0.25112451,1.84762707,1.74419226,0.81645228,0.00000000
-5.56778389,2.93829689,0.00179208,0.38588210,0.46066791,0.24591290,1.81429191,1.70874748,0.80143251,0.00000000
-5.56178089,2.87549229,0.00159748,0.38052737,0.44761153,0.24065992,1.77801783,1.67152181,0.78589715,0.00000000
-5.55577789,2.80844598,0.00142733,0.37386390,0.43426008,0.23526272,1.73810589,1.63190624,0.76952830,0.00000000
-5.54977489,2.73631611,0.00127880,0.36581963,0.42046440,0.22963294,1.69402761,1.58941138,0.75205988,0.00000000
-5.54377189,2.65850071,0.00114917,0.35636270,0.40611354,0.22369949,1.64544064,1.54368486,0.73328614,0.00000000
-5.53776888,2.57465474,0.00103581,0.34550260,0.39113732,0.21741032,1.59219518,1.49452168,0.71306688,0.00000000
-5.53176588,2.48469450,0.00093633,0.33328978,0.37550682,0.21073326,1.53433174,1.44186747,0.69132938,0.00000000
-5.52576288,2.38879038,0.00084856,0.31981334,0.35923290,0.20365587,1.47207074,1.38581481,0.66806733,0.00000000
-5.51975988,2.28734906,0.00077060,0.30519740,0.34236310,0.19618442,1.40579541,1.32659359,0.64333698,0.00000000
-5.51375688,2.18098689,0.00070080,0.28959608,0.32497715,0.18834227,1.33602895,1.26455607,0.61725111,0.00000000
-5.50775388,2.07049646,0.00063777,0.27318755,0.30718151,0.18016762,1.26340780,1.20015790,0.58997116,0.00000000
-5.50175088,1.95680854,0.00058038,0.25616741,0.28910326,0.17171095,1.18865233,1.13393636,0.56169825,0.00000000
-5.49574787,1.84095157,0.00052772,0.23874180,0.27088370,0.16303223,1.11253668,1.06648700,0.53266350,0.00000000
-5.48974487,1.72401078,0.00047909,0.22112042,0.25267199,0.15419804,1.03585905,0.99843996,0.50311825,0.00000000
-5.48374187,1.60708897,0.00043395,0.20350992,0.23461921,0.14527888,0.95941376,0.93043715,0.47332462,0.00000000
