energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.37053166,0.01609797,0.04076811,0.52320853,0.32223280,0.87036150,0.00000000,0.42494050,0.13444589
-5.99399700,1.38499531,0.01581618,0.04115605,0.51717799,0.33363103,0.87921849,0.00000000,0.42410340,0.13771429
-5.98799400,1.41146210,0.01560285,0.04189259,0.51606464,0.34771752,0.89578373,0.00000000,0.42632292,0.14234106
-5.98199100,1.44889485,0.01544710,0.04295028,0.51952968,0.36421403,0.91940850,0.00000000,0.43131353,0.14822974
-5.97598799,1.49608043,0.01533708,0.04429688,0.52715990,0.38280455,0.94933151,0.00000000,0.43873208,0.15526634
-5.96998499,1.55166474,0.01526050,0.04589618,0.53848181,0.40314291,0.98470106,0.00000000,0.44819060,0.16332198
-5.96398199,1.61418970,0.01520521,0.04770905,0.55297655,0.42486101,1.02459844,0.00000000,0.45926990,0.17225561
-5.95797899,1.68213114,0.01515968,0.04969432,0.57009518,0.44757733,1.06806198,0.00000000,0.47153356,0.18191691
-5.95197599,1.75393669,0.01511344,0.05180976,0.58927375,0.47090568,1.11411101,0.00000000,0.48454162,0.19214914
-5.94597299,1.82806238,0.01505751,0.05401294,0.60994782,0.49446372,1.16176905,0.00000000,0.49786371,0.20279204
-5.93996998,1.90300696,0.01498458,0.05626206,0.63156587,0.51788108,1.21008554,0.00000000,0.51109106,0.21368455
-5.93396698,1.97734303,0.01488930,0.05851668,0.65360136,0.54080686,1.25815557,0.00000000,0.52384706,0.22466751
-5.92796398,2.04974409,0.01476827,0.06073835,0.67556299,0.56291606,1.30513691,0.00000000,0.53579600,0.23558606
-5.92196098,2.11900680,0.01462007,0.06289115,0.69700298,0.58391504,1.35026407,0.00000000,0.54664983,0.24629190
-5.91595798,2.18406804,0.01444508,0.06494212,0.71752323,0.60354555,1.39285904,0.00000000,0.55617274,0.25664522
-5.90995498,2.24401633,0.01424534,0.06686157,0.73677917,0.62158739,1.43233843,0.00000000,0.56418347,0.26651636
-5.90395198,2.29809780,0.01402418,0.06862330,0.75448148,0.63785968,1.46821709,0.00000000,0.57055556,0.27578717
-5.89794897,2.34571663,0.01378598,0.07020469,0.77039566,0.65222065,1.50010831,0.00000000,0.57521540,0.28435200
-5.89194597,2.38643055,0.01353570,0.07158682,0.78433975,0.66456621,1.52772084,0.00000000,0.57813853,0.29211845
-5.88594297,2.41994189,0.01327859,0.07275434,0.79618043,0.67482731,1.55085313,0.00000000,0.57934443,0.29900773
-5.87993997,2.44608506,0.01301976,0.07369544,0.80582787,0.68296644,1.56938532,0.00000000,0.57889000,0.30495481
-5.87393697,2.46481127,0.01276387,0.07440168,0.81322974,0.68897350,1.58326954,0.00000000,0.57686233,0.30990828
-5.86793397,2.47617143,0.01251485,0.07486781,0.81836475,0.69286127,1.59251909,0.00000000,0.57337100,0.31383002
-5.86193097,2.48029834,0.01227563,0.07509158,0.82123619,0.69466084,1.59719731,0.00000000,0.56854033,0.31669464
-5.85592796,2.47738894,0.01204802,0.07507351,0.82186576,0.69441720,1.59740648,0.00000000,0.56250207,0.31848885
-5.84992496,2.46768761,0.01183262,0.07481664,0.82028815,0.69218531,1.59327754,0.00000000,0.55538860,0.31921067
-5.84392196,2.45147113,0.01162880,0.07432632,0.81654645,0.68802680,1.58496093,0.00000000,0.54732723,0.31886860
