energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.37561940,0.03705052,0.07345706,0.18009735,0.12932677,0.03712854,0.48346590,0.17125744,0.37957416
-5.99399700,1.34221952,0.03567700,0.07232998,0.18036057,0.12666544,0.03570190,0.47607056,0.16658989,0.36494976
-5.98799400,1.31572262,0.03438189,0.07153971,0.18164772,0.12464842,0.03440730,0.47127582,0.16303765,0.35189832
-5.98199100,1.29619678,0.03317395,0.07109310,0.18395094,0.12329032,0.03325549,0.46911821,0.16063828,0.34037759
-5.97598799,1.28378693,0.03206386,0.07099849,0.18728399,0.12260694,0.03225770,0.46965755,0.15943813,0.33036979
-5.96998499,1.27871655,0.03106389,0.07126632,0.19168366,0.12261575,0.03142561,0.47297872,0.15949233,0.32188124
-5.96398199,1.28128633,0.03018764,0.07190965,0.19721052,0.12333621,0.03077140,0.47919236,0.16086439,0.31494116
-5.95797899,1.29186943,0.02944965,0.07294449,0.20394886,0.12478984,0.03030763,0.48843430,0.16362521,0.30959989
-5.95197599,1.31090330,0.02886509,0.07438983,0.21200573,0.12700016,0.03004716,0.50086365,0.16785160,0.30592631
-5.94597299,1.33887762,0.02844937,0.07626747,0.22150896,0.12999227,0.03000289,0.51665926,0.17362422,0.30400463
-5.93996998,1.37631857,0.02821771,0.07860153,0.23260414,0.13379216,0.03018758,0.53601471,0.18102490,0.30393059
-5.93396698,1.42376918,0.02818480,0.08141766,0.24545056,0.13842573,0.03061345,0.55913154,0.19013350,0.30580691
-5.92796398,1.48176623,0.02836430,0.08474199,0.26021603,0.14391743,0.03129184,0.58621105,0.20102414,0.30973835
-5.92196098,1.55081370,0.02876850,0.08859977,0.27707081,0.15028866,0.03223275,0.61744458,0.21376105,0.31582604
-5.91595798,1.63135371,0.02940778,0.09301378,0.29618067,0.15755585,0.03344440,0.65300259,0.22839403,0.32416162
-5.90995498,1.72373538,0.03029020,0.09800259,0.31769924,0.16572835,0.03493268,0.69302279,0.24495376,0.33482089
-5.90395198,1.82818276,0.03142103,0.10357864,0.34176006,0.17480613,0.03670065,0.73759778,0.26344693,0.34785745
-5.89794897,1.94476289,0.03280223,0.10974634,0.36846840,0.18477746,0.03874801,0.78676255,0.28385162,0.36329638
-5.89194597,2.07335540,0.03443204,0.11650017,0.39789329,0.19561654,0.04107065,0.84048243,0.30611292,0.38112816
-5.88594297,2.21362495,0.03630453,0.12382297,0.43006008,0.20728139,0.04366015,0.89864207,0.33013922,0.40130326
-5.87993997,2.36499813,0.03840922,0.13168442,0.46494388,0.21971197,0.04650342,0.96103604,0.35579923,0.42372742
-5.87393697,2.52664622,0.04073079,0.14003995,0.50246424,0.23282872,0.04958245,1.02736156,0.38292001,0.44825817
-5.86793397,2.69747520,0.04324887,0.14882999,0.54248128,0.24653164,0.05287410,1.09721409,0.41128630,0.47470257
-5.86193097,2.87612424,0.04593798,0.15797980,0.58479376,0.26070011,0.05635011,1.17008607,0.44064123,0.50281667
-5.85592796,3.06097356,0.04876763,0.16739984,0.62913908,0.27519340,0.05997726,1.24536928,0.47068852,0.53230661
-5.84992496,3.25016228,0.05170257,0.17698679,0.67519544,0.28985207,0.06371765,1.32236109,0.50109638,0.56283172
-5.84392196,3.44161644,0.05470324,0.18662512,0.72258631,0.30450022,0.06752922,1.40027466,0.53150293,0.59400951
-5.83791896,3.63308689,0.05772641,0.19618938,0.77088693,0.31894869,0.07136645,1.47825302,0.56152324,0.62542248
-5.83191596,3.82219641,0.06072606,0.20554694,0.81963301,0.33299899,0.07518123,1.55538673,0.59075769,0.65662684
-5.82591296,4.00649478,0.06365436,0.21456131,0.86833112,0.34644815,0.07892387,1.63073478,0.61880158,0.68716263
-5.81990995,4.18352013,0.06646288,0.22309580,0.91647061,0.35909399,0.08254430,1.70334794,0.64525555,0.71656518
-5.81390695,4.35086474,0.06910388,0.23101746,0.96353670,0.37074099,0.08599330,1.77229409,0.66973660,0.74437738
-5.80790395,4.50624274,0.07153170,0.23820120,1.00902416,0.38120635,0.08922387,1.83668428,0.69188918,0.77016238
-5.80190095,4.64755742,0.07370416,0.24453376,1.05245124,0.39032602,0.09219260,1.89569894,0.71139608,0.79351629
-5.79589795,4.77296540,0.07558401,0.24991766,1.09337329,0.39796058,0.09486093,1.94861298,0.72798855,0.81408025
-5.78989495,4.88093534,0.07714017,0.25427467,1.13139557,0.40400055,0.09719649,1.99481894,0.74145529,0.83155161
-5.78389195,4.97029853,0.07834897,0.25754890,1.16618482,0.40837106,0.09917411,2.03384726,0.75165004,0.84569348
-5.77788894,5.04028956,0.07919508,0.25970919,1.19747924,0.41103558,0.10077687,2.06538281,0.75849721,0.85634246
-5.77188594,5.09057519,0.07967233,0.26075087,1.22509631,0.41199850,0.10199673,2.08927704,0.76199558,0.86341421
-5.76588294,5.12127019,0.07978408,0.26069665,1.24893852,0.41130658,0.10283508,2.10555522,0.76221962,0.86690638
-5.75987994,5.13293951,0.07954348,0.25959670,1.26899654,0.40904894,0.10330291,2.11441846,0.75931861,0.86689912
-5.75387694,5.12658643,0.07897326,0.25752785,1.28534979,0.40535587,0.10342079,2.11624043,0.75351332,0.86355280
-5.74787394,5.10362723,0.07810529,0.25459196,1.29816457,0.40039620,0.10321843,2.11155881,0.74509060,0.85710318
-5.74187094,5.06585309,0.07697976,0.25091347,1.30768961,0.39437345,0.10273410,2.10106175,0.73439587,0.84785422
-5.73586793,5.01538062,0.07564416,0.24663622,1.31424927,0.38752092,0.10201375,2.08556989,0.72182388,0.83616864
