energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,4.05926547,1.13656270,2.92598543,0.00654267,0.05420540,0.01540276,0.64719126,0.42229158,0.15415534
-5.99399700,3.97595981,1.11636557,2.87634691,0.00632550,0.05109152,0.01555569,0.63078021,0.41327876,0.14786391
-5.98799400,3.88522444,1.09349319,2.82107278,0.00610602,0.04792256,0.01569544,0.61324392,0.40332199,0.14145782
-5.98199100,3.78841054,1.06828882,2.76102494,0.00588827,0.04474623,0.01582194,0.59478384,0.39259738,0.13502665
-5.97598799,3.68685614,1.04109660,2.69706822,0.00567581,0.04160692,0.01593442,0.57560708,0.38127817,0.12865394
-5.96998499,3.58186166,1.01225556,2.63005404,0.00547167,0.03854489,0.01603141,0.55592338,0.36953105,0.12241603
-5.96398199,3.47467045,0.98209502,2.56080717,0.00527828,0.03559570,0.01611077,0.53594219,0.35751312,0.11638135
-5.95797899,3.36645432,0.95093113,2.49011585,0.00509744,0.03278981,0.01616980,0.51587025,0.34536950,0.11061005
-5.95197599,3.25830423,0.91906483,2.41872528,0.00493029,0.03015240,0.01620535,0.49590938,0.33323176,0.10515390
-5.94597299,3.15122551,0.88678073,2.34733412,0.00477738,0.02770347,0.01621394,0.47625461,0.32121704,0.10005653
-5.93996998,3.04613712,0.85434707,2.27659364,0.00463863,0.02545791,0.01619194,0.45709252,0.30942781,0.09535383
-5.93396698,2.94387394,0.82201619,2.20710894,0.00451346,0.02342594,0.01613576,0.43859971,0.29795227,0.09107451
-5.92796398,2.84519126,0.79002558,2.13944149,0.00440079,0.02161342,0.01604198,0.42094143,0.28686517,0.08724071
-5.92196098,2.75077046,0.75859893,2.07411240,0.00429917,0.02002244,0.01590757,0.40427019,0.27622909,0.08386866
-5.91595798,2.66122491,0.72794726,2.01160575,0.00420686,0.01865174,0.01573003,0.38872443,0.26609591,0.08096926
-5.90995498,2.57710541,0.69826971,1.95237131,0.00412189,0.01749732,0.01550757,0.37442716,0.25650841,0.07854867
-5.90395198,2.49890442,0.66975396,1.89682637,0.00404223,0.01655287,0.01523917,0.36148450,0.24750201,0.07660870
-5.89794897,2.42705884,0.64257621,1.84535629,0.00396583,0.01581030,0.01492477,0.34998436,0.23910637,0.07514721
-5.89194597,2.36195115,0.61690071,1.79831376,0.00389073,0.01526011,0.01456526,0.33999508,0.23134690,0.07415836
-5.88594297,2.30390901,0.59287877,1.75601691,0.00381518,0.01489180,0.01416254,0.33156425,0.22424622,0.07363282
-5.87993997,2.25320375,0.57064765,1.71874641,0.00373769,0.01469417,0.01371957,0.32471773,0.21782540,0.07355788
-5.87393697,2.21004822,0.55032909,1.68674218,0.00365712,0.01465562,0.01324029,0.31945908,0.21210499,0.07391766
-5.86793397,2.17459474,0.53202804,1.66020008,0.00357273,0.01476435,0.01272960,0.31576931,0.20710611,0.07469325
-5.86193097,2.14693376,0.51583151,1.63926926,0.00348422,0.01500860,0.01219325,0.31360733,0.20285122,0.07586300
-5.85592796,2.12709418,0.50180787,1.62405068,0.00339175,0.01537687,0.01163781,0.31291093,0.19936498,0.07740286
-5.84992496,2.11504565,0.49000670,1.61459732,0.00329599,0.01585803,0.01107049,0.31359849,0.19667504,0.07928691
-5.84392196,2.11070358,0.48045932,1.61091644,0.00319805,0.01644162,0.01049902,0.31557143,0.19481270,0.08148801
-5.83791896,2.11393689,0.47318001,1.61297407,0.00309952,0.01711795,0.00993154,0.31871735,0.19381375,0.08397862
-5.83191596,2.12457857,0.46816803,1.62070178,0.00300237,0.01787838,0.00937646,0.32291384,0.19371903,0.08673172
-5.82591296,2.14243862,0.46541018,1.63400536,0.00290894,0.01871545,0.00884226,0.32803270,0.19457513,0.08972187
-5.81990995,2.16731865,0.46488392,1.65277506,0.00282186,0.01962315,0.00833743,0.33394470,0.19643477,0.09292628
-5.81390695,2.19902738,0.46656071,1.67689657,0.00274397,0.02059701,0.00787026,0.34052429,0.19935705,0.09632592
-5.80790395,2.23739562,0.47040941,1.70626197,0.00267821,0.02163428,0.00744874,0.34765433,0.20340731,0.09990652
-5.80190095,2.28228969,0.47639931,1.74077959,0.00262756,0.02273400,0.00708042,0.35523042,0.20865661,0.10365934
-5.79589795,2.33362156,0.48450264,1.78038179,0.00259494,0.02389701,0.00677231,0.36316460,0.21518069,0.10758183
-5.78989495,2.39135482,0.49469619,1.82502963,0.00258308,0.02512585,0.00653076,0.37138811,0.22305822,0.11167780
-5.78389195,2.45550487,0.50696173,1.87471363,0.00259444,0.02642460,0.00636132,0.37985315,0.23236853,0.11595735
-5.77788894,2.52613288,0.52128517,1.92944982,0.00263115,0.02779859,0.00626870,0.38853325,0.24318850,0.12043631
-5.77188594,2.60333277,0.53765423,1.98927085,0.00269486,0.02925407,0.00625661,0.39742232,0.25558891,0.12513515
-5.76588294,2.68721126,0.55605475,2.05421206,0.00278673,0.03079767,0.00632774,0.40653225,0.26963008,0.13007761
-5.75987994,2.77786157,0.57646553,2.12429277,0.00290733,0.03243589,0.00648363,0.41588923,0.28535711,0.13528875
-5.75387694,2.87533159,0.59885215,2.19949365,0.00305662,0.03417449,0.00672460,0.42552883,0.30279474,0.14079277
-5.74787394,2.97958817,0.62315993,2.27973120,0.00323390,0.03601785,0.00704971,0.43549016,0.32194223,0.14661051
-5.74187094,3.09047941,0.64930650,2.36483068,0.00343779,0.03796836,0.00745666,0.44580935,0.34276832,0.15275684
-5.73586793,3.20769720,0.67717440,2.45449934,0.00366626,0.04002580,0.00794180,0.45651286,0.36520670,0.15923808
-5.72986493,3.33074239,0.70660433,2.54830155,0.00391667,0.04218685,0.00850005,0.46761087,0.38915229,0.16604949
-5.72386193,3.45889529,0.73738946,2.64563782,0.00418576,0.04444467,0.00912494,0.47909118,0.41445841,0.17317317
-5.71785893,3.59119360,0.76927140,2.74572947,0.00446979,0.04678865,0.00980863,0.49091422,0.44093541,0.18057635
-5.71185593,3.72642014,0.80193818,2.84761039,0.00476454,0.04920430,0.01054191,0.50300918,0.46835069,0.18821021
-5.70585293,3.86310179,0.83502464,2.95012726,0.00506549,0.05167328,0.01131435,0.51527191,0.49643036,0.19600950
-5.69984992,3.99952089,0.86811542,3.05194891,0.00536787,0.05417365,0.01211438,0.52756449,0.52486269,0.20389277
-5.69384692,4.13373939,0.90075073,3.15158525,0.00566682,0.05668032,0.01292948,0.53971678,0.55330310,0.21176349
-5.68784392,4.26363557,0.93243456,3.24741547,0.00595747,0.05916553,0.01374636,0.55152976,0.58138082,0.21951184
