energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,8.07147558,1.12589485,2.47084224,0.01941339,0.83767820,2.30726016,3.23579013,0.03102208,1.17699320
-5.99399700,7.97649108,1.10861243,2.49876926,0.01991034,0.81397944,2.27707050,3.15461928,0.03147761,1.15316885
-5.98799400,7.88137213,1.08765338,2.52673342,0.02038282,0.78991552,2.24561404,3.07549726,0.03194951,1.12906609
-5.98199100,7.78769288,1.06322946,2.55479599,0.02083709,0.76573832,2.21311778,2.99954760,0.03242588,1.10482208
-5.97598799,7.69706158,1.03562728,2.58303425,0.02128109,0.74169468,2.17987994,2.92785383,0.03289643,1.08059516
-5.96998499,7.61105573,1.00519762,2.61152942,0.02172415,0.71801856,2.14624853,2.86142637,0.03335249,1.05655869
-5.96398199,7.53115848,0.97234330,2.64035415,0.02217651,0.69492372,2.11259805,2.80117181,0.03378710,1.03289414
-5.95797899,7.45869866,0.93750607,2.66956033,0.02264886,0.67259760,2.07930551,2.74786560,0.03419484,1.00978404
-5.95197599,7.39479643,0.90115306,2.69916737,0.02315176,0.65119623,2.04672706,2.70212884,0.03457174,0.98740486
-5.94597299,7.34031643,0.86376327,2.72915183,0.02369516,0.63084057,2.01517642,2.66440964,0.03491505,0.96592029
-5.93996998,7.29583001,0.82581469,2.75943848,0.02428778,0.61161413,1.98490622,2.63496959,0.03522299,0.94547508
-5.93396698,7.26158779,0.78777226,2.78989358,0.02493663,0.59356208,1.95609303,2.61387561,0.03549452,0.92618966
-5.92796398,7.23750351,0.75007724,2.82032058,0.02564653,0.57669172,1.92882691,2.60099716,0.03572907,0.90815581
-5.92196098,7.22314972,0.71313810,2.85045875,0.02641970,0.56097422,1.90310580,2.59600888,0.03592630,0.89143340
-5.91595798,7.21776557,0.67732318,2.87998489,0.02725549,0.54634753,1.87883494,2.59839851,0.03608585,0.87604843
-5.90995498,7.22027649,0.64295528,2.90851850,0.02815014,0.53272034,1.85583136,2.60747985,0.03620720,0.86199223
-5.90395198,7.22932545,0.61030805,2.93563034,0.02909678,0.51997679,1.83383278,2.62241025,0.03628948,0.84922203
-5.89794897,7.24331480,0.57960439,2.96085448,0.03008543,0.50798190,1.81251084,2.64221244,0.03633138,0.83766264
-5.89194597,7.26045776,0.55101646,2.98370364,0.03110325,0.49658731,1.79148739,2.66579995,0.03633112,0.82720936
-5.88594297,7.27883797,0.52466750,3.00368745,0.03213479,0.48563722,1.77035341,2.69200567,0.03628643,0.81773186
-5.87993997,7.29647550,0.50063488,3.02033336,0.03316251,0.47497437,1.74868929,2.71961281,0.03619460,0.80907901
-5.87393697,7.31139740,0.47895447,3.03320929,0.03416722,0.46444566,1.72608555,2.74738771,0.03605258,0.80108445
-5.86793397,7.32171061,0.45962590,3.04194764,0.03512875,0.45390748,1.70216302,2.77411348,0.03585705,0.79357268
-5.86193097,7.32567503,0.44261851,3.04626941,0.03602658,0.44323033,1.67659150,2.79862400,0.03560463,0.78636567
