energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,7.65956354,0.01297041,1.23843195,0.31981889,4.92773764,3.28431905,0.06405421,2.23736889
-5.99399700,7.53129100,0.01254871,1.21057664,0.31474540,4.87413465,3.21478891,0.06379877,2.21418595
-5.98799400,7.40282633,0.01209853,1.18290468,0.30908716,4.82017380,3.14622061,0.06350552,2.19017681
-5.98199100,7.27568124,0.01162496,1.15577518,0.30293020,4.76714992,3.07918371,0.06320447,2.16560573
-5.97598799,7.15133981,0.01113395,1.12953714,0.29636336,4.71629152,3.01424919,0.06292512,2.14073052
-5.96998499,7.03121350,0.01063212,1.10451937,0.28947564,4.66873226,2.95196989,0.06269612,2.11579288
-5.96398199,6.91660934,0.01012647,1.08102325,0.28235387,4.62549251,2.89286675,0.06254487,2.09101203
-5.95797899,6.80871293,0.00962420,1.05931850,0.27508098,4.58747169,2.83742126,0.06249739,2.06658205
-5.95197599,6.70858588,0.00913244,1.03964180,0.26773473,4.55545110,2.78607431,0.06257819,2.04267304
-5.94597299,6.61717647,0.00865811,1.02219808,0.26038709,4.53010591,2.73923060,0.06281026,2.01943575
-5.93996998,6.53534075,0.00820769,1.00716379,0.25310406,4.51202426,2.69726753,0.06321511,1.99700907
-5.93396698,6.46387057,0.00778714,0.99469159,0.24594593,4.50173092,2.66054686,0.06381271,1.97552940
-5.92796398,6.40352439,0.00740179,0.98491559,0.23896785,4.49971254,2.62942737,0.06462154,1.95514101
-5.92196098,6.35505658,0.00705625,0.97795632,0.23222062,4.50644124,2.60427664,0.06565839,1.93600598
-5.91595798,6.31924101,0.00675439,0.97392479,0.22575145,4.52239384,2.58547993,0.06693815,1.91831279
-5.90995498,6.29688550,0.00649940,0.97292494,0.21960470,4.54806413,2.57344492,0.06847349,1.90228237
-5.90395198,6.28883441,0.00629373,0.97505397,0.21382240,4.58396625,2.56860091,0.07027435,1.88817101
-5.89794897,6.29595786,0.00613920,0.98040052,0.20844446,4.63062827,2.57139196,0.07234734,1.87626929
-5.89194597,6.31912729,0.00603705,0.98904048,0.20350859,4.68857574,2.58226387,0.07469511,1.86689714
-5.88594297,6.35917838,0.00598803,1.00103073,0.19904979,4.75830588,2.60164548,0.07731563,1.86039502
-5.87993997,6.41686337,0.00599247,1.01640134,0.19509963,4.84025401,2.62992528,0.08020149,1.85711156
-5.87393697,6.49279610,0.00605036,1.03514660,0.19168511,4.93475451,2.66742474,0.08333930,1.85738869
-5.86793397,6.58739339,0.00616146,1.05721586,0.18882742,5.04199902,2.71437005,0.08670919,1.86154488
-5.86193097,6.70081721,0.00632537,1.08250474,0.18654063,5.16199496,2.77086432,0.09028454,1.86985785
-5.85592796,6.83292174,0.00654155,1.11084759,0.18483032,5.29452746,2.83686202,0.09403193,1.88254767
-5.84992496,6.98320936,0.00680945,1.14201187,0.18369243,5.43912742,2.91214742,0.09791137,1.89976145
-5.84392196,7.15079886,0.00712849,1.17569499,0.18311237,5.59504844,2.99631878,0.10187686,1.92156054
-5.83791896,7.33440837,0.00749808,1.21152411,0.18306445,5.76125397,3.08877913,0.10587716,1.94791088
-5.83191596,7.53235441,0.00791768,1.24905902,0.18351169,5.93641621,3.18873454,0.10985700,1.97867716
-5.82591296,7.74256737,0.00838669,1.28779812,0.18440616,6.11892670,3.29520006,0.11375836,2.01362090
-5.81990995,7.96262263,0.00890449,1.32718736,0.18568972,6.30691828,3.40701291,0.11752205,2.05240235
-5.81390695,8.18978563,0.00947032,1.36663170,0.18729516,6.49829715,3.52285245,0.12108936,2.09458609
-5.80790395,8.42106819,0.01008323,1.40550850,0.18914782,6.69078337,3.64126561,0.12440379,2.13964969
-5.80190095,8.65329312,0.01074197,1.44318229,0.19116739,6.88195750,3.76069664,0.12741266,2.18699483
