energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,5.69354964,0.01220421,0.31602952,2.41058830,2.87154306,0.03701772,2.75958993,0.05253700,0.45206825
-5.99399700,5.78957732,0.01396251,0.31160491,2.43789874,2.92526137,0.03778770,2.81720132,0.05362448,0.45866075
-5.98799400,5.88180509,0.01589951,0.30666337,2.46464412,2.97602347,0.03859091,2.87358749,0.05489378,0.46455650
-5.98199100,5.97033076,0.01801761,0.30123706,2.49068867,3.02375761,0.03943326,2.92877734,0.05636837,0.46973585
-5.97598799,6.05515983,0.02031677,0.29537220,2.51587939,3.06833020,0.04032067,2.98271514,0.05806636,0.47418967
-5.96998499,6.13617974,0.02279422,0.28912659,2.54003515,3.10953745,0.04125873,3.03524901,0.05999963,0.47791794
-5.96398199,6.21314226,0.02544442,0.28256682,2.56293854,3.14710220,0.04225237,3.08612490,0.06217312,0.48092808
-5.95797899,6.28565532,0.02825899,0.27576549,2.58433136,3.18067622,0.04330556,3.13498662,0.06458436,0.48323330
-5.95197599,6.35318462,0.03122680,0.26879846,2.60391410,3.20984805,0.04442101,3.18138202,0.06722332,0.48485080
-5.94597299,6.41506530,0.03433416,0.26174212,2.62134973,3.23415606,0.04560002,3.22477525,0.07007250,0.48579994
-5.93996998,6.47052322,0.03756519,0.25467100,2.63627174,3.25310630,0.04684224,3.26456484,0.07310739,0.48610046
-5.93396698,6.51870498,0.04090225,0.24765557,2.64829631,3.26619427,0.04814565,3.30010661,0.07629715,0.48577080
-5.92796398,6.55871543,0.04432649,0.24076035,2.65703782,3.27292962,0.04950651,3.33074086,0.07960557,0.48482651
-5.92196098,6.58966106,0.04781852,0.23404250,2.66212739,3.27286273,0.05091943,3.35582240,0.08299232,0.48327905
-5.91595798,6.61069710,0.05135909,0.22755072,2.66323310,3.26561175,0.05237752,3.37475212,0.08641433,0.48113484
-5.90995498,6.62107628,0.05492990,0.22132457,2.66008121,3.25088878,0.05387257,3.38700884,0.08982730,0.47839472
-5.90395198,6.62019678,0.05851430,0.21539426,2.65247699,3.22852400,0.05539536,3.39217969,0.09318730,0.47505396
-5.89794897,6.60764690,0.06209800,0.20978071,2.64032420,3.19848622,0.05693593,3.38998764,0.09645231,0.47110270
-5.89194597,6.58324424,0.06566971,0.20449608,2.62364186,3.16089902,0.05848394,3.38031488,0.09958371,0.46652698
-5.88594297,6.54706709,0.06922163,0.19954450,2.60257761,3.11605127,0.06002903,3.36322054,0.10254760,0.46131020
-5.87993997,6.49947624,0.07274979,0.19492306,2.57741640,3.06440151,0.06156114,3.33895205,0.10531587,0.45543509
-5.87393697,6.44112575,0.07625420,0.19062302,2.54858413,3.00657560,0.06307082,3.30794916,0.10786700,0.44888594
-5.86793397,6.37296167,0.07973880,0.18663101,2.51664566,2.94335774,0.06454949,3.27084032,0.11018655,0.44165110
-5.86193097,6.29620838,0.08321123,0.18293034,2.48229707,2.87567474,0.06598959,3.22843136,0.11226726,0.43372552
-5.85592796,6.21234273,0.08668233,0.17950220,2.44635226,2.80457435,0.06738469,3.18168673,0.11410888,0.42511321
-5.84992496,6.12305672,0.09016553,0.17632678,2.40972433,2.73119822,0.06872947,3.13170405,0.11571750,0.41582945
-5.84392196,6.03021031,0.09367599,0.17338423,2.37340233,2.65675067,0.07001969,3.07968293,0.11710480,0.40590259
-5.83791896,5.93577613,0.09722976,0.17065544,2.33842436,2.58246443,0.07125193,3.02688931,0.11828686,0.39537528
-5.83191596,5.84177860,0.10084275,0.16812250,2.30584807,2.50956484,0.07242344,2.97461696,0.11928288,0.38430514
-5.82591296,5.75023005,0.10452974,0.16576913,2.27671964,2.43923396,0.07353181,2.92414759,0.12011383,0.37276466
-5.81990995,5.66306678,0.10830350,0.16358071,2.25204270,2.37257597,0.07457468,2.87671151,0.12080102,0.36084040
-5.81390695,5.58208786,0.11217388,0.16154427,2.23274817,2.31058539,0.07554945,2.83345018,0.12136477,0.34863147
