energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,2.44266971,0.00397407,0.27900233,0.84793870,0.35143944,0.90032193,0.55371397,0.00345574,1.13739729
-5.99399700,2.57092920,0.00406607,0.29514644,0.89077371,0.36761956,0.94217215,0.58774974,0.00367114,1.19525791
-5.98799400,2.70300095,0.00415192,0.31176049,0.93452788,0.38418719,0.98528203,0.62251380,0.00392059,1.25527914
-5.98199100,2.83812823,0.00423092,0.32876583,0.97888641,0.40110890,1.02926911,0.65778547,0.00420332,1.31713220
-5.97598799,2.97548923,0.00430284,0.34607118,1.02350993,0.41835489,1.07370693,0.69332748,0.00451849,1.38045822
-5.96998499,3.11419170,0.00436779,0.36357215,1.06803455,0.43589525,1.11812921,0.72888668,0.00486501,1.44486425
-5.96398199,3.25327079,0.00442623,0.38115126,1.11207313,0.45369624,1.16203572,0.76419557,0.00524147,1.50992071
-5.95797899,3.39169091,0.00447890,0.39867861,1.15521821,0.47171687,1.20489994,0.79897496,0.00564597,1.57516035
-5.95197599,3.52835181,0.00452672,0.41601310,1.19704656,0.48990600,1.24617821,0.83293759,0.00607604,1.64007935
-5.94597299,3.66209949,0.00457078,0.43300436,1.23712543,0.50820014,1.28532026,0.86579277,0.00652856,1.70414071
-5.93996998,3.79174168,0.00461227,0.44949528,1.27502038,0.52652211,1.32178073,0.89725180,0.00699967,1.76678002
-5.93396698,3.91606778,0.00465237,0.46532497,1.31030465,0.54478085,1.35503147,0.92703410,0.00748478,1.82741370
-5.92796398,4.03387288,0.00469231,0.48033226,1.34256966,0.56287212,1.38457408,0.95487368,0.00797858,1.88544965
-5.92196098,4.14398497,0.00473321,0.49435945,1.37143639,0.58068052,1.40995225,0.98052588,0.00847503,1.94030004
-5.91595798,4.24529438,0.00477613,0.50725616,1.39656715,0.59808240,1.43076361,1.00377383,0.00896752,1.99139575
-5.90995498,4.33678447,0.00482200,0.51888324,1.41767719,0.61494982,1.44667042,1.02443463,0.00944893,2.03820221
-5.90395198,4.41756204,0.00487164,0.52911639,1.43454580,0.63115522,1.45740879,1.04236458,0.00991180,2.08023570
-5.89794897,4.48688620,0.00492573,0.53784949,1.44702597,0.64657668,1.46279604,1.05746358,0.01034851,2.11707967
-5.89194597,4.54419425,0.00498479,0.54499737,1.45505250,0.66110335,1.46273582,1.06967813,0.01075147,2.14840009
-5.88594297,4.58912325,0.00504922,0.55049798,1.45864765,0.67464101,1.45722085,1.07900295,0.01111335,2.17395921
-5.87993997,4.62152609,0.00511931,0.55431372,1.45792419,0.68711710,1.44633307,1.08548102,0.01142728,2.19362681
-5.87393697,4.64148090,0.00519519,0.55643214,1.45308531,0.69848525,1.43024120,1.08920200,0.01168707,2.20738837
-5.86793397,4.64929327,0.00527689,0.55686562,1.44442139,0.70872880,1.40919583,1.09029904,0.01188741,2.21534947
-5.86193097,4.64549072,0.00536435,0.55565044,1.43230335,0.71786309,1.38352216,1.08894413,0.01202405,2.21773606
-5.85592796,4.63080930,0.00545735,0.55284494,1.41717295,0.72593650,1.35361070,1.08534209,0.01209397,2.21489035
-5.84992496,4.60617273,0.00555557,0.54852715,1.39953002,0.73302983,1.31990635,1.07972347,0.01209545,2.20726213
-5.84392196,4.57266466,0.00565857,0.54279187,1.37991734,0.73925428,1.28289626,1.07233669,0.01202817,2.19539605
-5.83791896,4.53149513,0.00576573,0.53574732,1.35890348,0.74474783,1.24309687,1.06343964,0.01189323,2.17991487
-5.83191596,4.48396245,0.00587627,0.52751161,1.33706450,0.74967026,1.20104077,1.05329122,0.01169313,2.16149963
-5.82591296,4.43141213,0.00598922,0.51820919,1.31496512,0.75419701,1.15726379,1.04214309,0.01143170,2.14086734
-5.81990995,4.37519465,0.00610339,0.50796727,1.29314027,0.75851208,1.11229280,1.03023197,0.01111403,2.11874732
-5.81390695,4.31662377,0.00621736,0.49691264,1.27207782,0.76280044,1.06663457,1.01777294,0.01074627,2.09585703
-5.80790395,4.25693728,0.00632947,0.48516875,1.25220326,0.76724007,1.02076620,1.00495385,0.01033551,2.07287872
-5.80190095,4.19726181,0.00643782,0.47285327,1.23386703,0.77199432,0.97512725,0.99193121,0.00988960,2.05043776
-5.79589795,4.13858331,0.00654028,0.46007621,1.21733507,0.77720469,0.93011367,0.97882764,0.00941689,2.02908370
-5.78989495,4.08172426,0.00663451,0.44693857,1.20278302,0.78298458,0.88607390,0.96573097,0.00892609,2.00927493
-5.78389195,4.02732858,0.00671802,0.43353163,1.19029430,0.78941418,0.84330673,0.95269512,0.00842602,1.99136755
-5.77788894,3.97585464,0.00678819,0.41993672,1.17986201,0.79653685,0.80206112,0.93974240,0.00792546,1.97560881
-5.77188594,3.92757644,0.00684237,0.40622551,1.17139468,0.80435713,0.76253768,0.92686744,0.00743291,1.96213536
-5.76588294,3.88259249,0.00687795,0.39246073,1.16472526,0.81284033,0.72489141,0.91404224,0.00695652,1.95097622
-5.75987994,3.84084170,0.00689246,0.37869724,1.15962302,0.82191399,0.68923569,0.90122216,0.00650384,1.94205998
-5.75387694,3.80212505,0.00688362,0.36498322,1.15580755,0.83147075,0.65564695,0.88835258,0.00608183,1.93522586
-5.74787394,3.76613166,0.00684951,0.35136162,1.15296417,0.84137279,0.62416969,0.87537576,0.00569667,1.93023766
-5.74187094,3.73246767,0.00678856,0.33787149,1.15075985,0.85145730,0.59482169,0.86223759,0.00535374,1.92679995
-5.73586793,3.70068615,0.00669973,0.32454924,1.14885886,0.86154291,0.56759892,0.84889385,0.00505756,1.92457523
-5.72986493,3.67031640,0.00658249,0.31142977,1.14693730,0.87143663,0.54247994,0.83531567,0.00481174,1.92320130
-5.72386193,3.64089107,0.00643690,0.29854721,1.14469589,0.88094088,0.51942968,0.82149383,0.00461897,1.92230788
-5.71785893,3.61196962,0.00626365,0.28593547,1.14187031,0.88986044,0.49840229,0.80744177,0.00448100,1.92153145
-5.71185593,3.58315711,0.00606402,0.27362840,1.13823885,0.89800881,0.47934317,0.79319705,0.00439862,1.92052783
-5.70585293,3.55411751,0.00583989,0.26165953,1.13362699,0.90521377,0.46219008,0.77882126,0.00437168,1.91898195
-5.69984992,3.52458106,0.00559366,0.25006164,1.12790895,0.91132198,0.44687337,0.76439837,0.00439907,1.91661440
-5.69384692,3.49434586,0.00532823,0.23886591,1.12100635,0.91620224,0.43331559,0.75003156,0.00447875,1.91318483
-5.68784392,3.46327380,0.00504685,0.22810091,1.11288422,0.91974760,0.42143054,0.73583878,0.00460771,1.90849228
-5.68184092,3.43128178,0.00475308,0.21779149,1.10354493,0.92187610,0.41112204,0.72194733,0.00478209,1.90237278
-5.67583792,3.39832900,0.00445066,0.20795756,1.09302048,0.92253022,0.40228262,0.70848757,0.00499712,1.89469470
-5.66983492,3.36440161,0.00414339,0.19861297,1.08136387,0.92167534,0.39479235,0.69558630,0.00524723,1.88535246
-5.66383192,3.32949601,0.00383501,0.18976451,1.06864014,0.91929713,0.38851811,0.68336011,0.00552610,1.87425935
-5.65782891,3.29360214,0.00352915,0.18141117,1.05491771,0.91539832,0.38331333,0.67190901,0.00582678,1.86134004
-5.65182591,3.25668795,0.00322916,0.17354366,1.04026059,0.90999501,0.37901855,0.66131072,0.00614175,1.84652352
-5.64582291,3.21868643,0.00293810,0.16614434,1.02472199,0.90311279,0.37546269,0.65161594,0.00646313,1.82973708
-5.63981991,3.17948589,0.00265863,0.15918747,1.00833954,0.89478299,0.37246518,0.64284486,0.00678276,1.81090184
-5.63381691,3.13892433,0.00239298,0.15263989,0.99113246,0.88503921,0.36983887,0.63498500,0.00709247,1.78993002
-5.62781391,3.09678831,0.00214294,0.14646207,0.97310072,0.87391447,0.36739365,0.62799065,0.00738418,1.76672437
-5.62181091,3.05281640,0.00190982,0.14060947,0.95422611,0.86143906,0.36494061,0.62178378,0.00765018,1.74117973
-5.61580790,3.00670697,0.00169449,0.13503418,0.93447500,0.84763925,0.36229662,0.61625655,0.00788326,1.71318641
-5.60980490,2.95813002,0.00149737,0.12968669,0.91380263,0.83253691,0.35928898,0.61127511,0.00807697,1.68263553
-5.60380190,2.90674216,0.00131852,0.12451782,0.89215839,0.81614999,0.35576006,0.60668469,0.00822574,1.64942557
-5.59779890,2.85220410,0.00115760,0.11948063,0.86949186,0.79849397,0.35157164,0.60231567,0.00832509,1.61346998
-5.59179590,2.79419943,0.00101402,0.11453216,0.84575906,0.77958396,0.34660871,0.59799026,0.00837170,1.57470512
-5.58579290,2.73245388,0.00088691,0.10963511,0.82092850,0.75943744,0.34078254,0.59352969,0.00836354,1.53309826
-5.57978989,2.66675379,0.00077525,0.10475913,0.79498676,0.73807738,0.33403300,0.58876138,0.00829991,1.48865493
-5.57378689,2.59696297,0.00067785,0.09988196,0.76794315,0.71553561,0.32632986,0.58352584,0.00818139,1.44142529
-5.56778389,2.52303703,0.00059346,0.09499008,0.73983328,0.69185612,0.31767317,0.57768312,0.00800989,1.39150913
-5.56178089,2.44503443,0.00052079,0.09007912,0.71072133,0.66709818,0.30809261,0.57111826,0.00778848,1.33905915
-5.55577789,2.36312375,0.00045857,0.08515393,0.68070098,0.64133893,0.29764598,0.56374583,0.00752131,1.28428240
-5.54977489,2.27758689,0.00040555,0.08022831,0.64989499,0.61467545,0.28641692,0.55551309,0.00721344,1.22743971
-5.54377189,2.18881800,0.00036054,0.07532456,0.61845337,0.58722604,0.27451193,0.54640186,0.00687065,1.16884319
-5.53776888,2.09731840,0.00032246,0.07047278,0.58655060,0.55913066,0.26205694,0.53642890,0.00649926,1.10885193
-5.53176588,2.00368765,0.00029031,0.06571020,0.55438166,0.53055046,0.24919356,0.52564503,0.00610589,1.04786600
-5.52576288,1.90861138,0.00026317,0.06108037,0.52215752,0.50166647,0.23607536,0.51413278,0.00569730,0.98631915
-5.51975988,1.81284651,0.00024028,0.05663246,0.49010001,0.47267740,0.22286407,0.50200302,0.00528011,0.92467048
-5.51375688,1.71720457,0.00022093,0.05242073,0.45843653,0.44379679,0.20972625,0.48939064,0.00486071,0.86339540
-5.50775388,1.62253402,0.00020454,0.04850412,0.42739481,0.41524945,0.19683023,0.47644956,0.00444502,0.80297642
-5.50175088,1.52970241,0.00019059,0.04494609,0.39719786,0.38726757,0.18434374,0.46334741,0.00403842,0.74389393
-5.49574787,1.43957913,0.00017869,0.04181480,0.36805951,0.36008650,0.17243206,0.45026016,0.00364561,0.68661756
-5.48974487,1.35301975,0.00016846,0.03918336,0.34018049,0.33394047,0.16125693,0.43736703,0.00327053,0.63159818
-5.48374187,1.27085225,0.00015962,0.03713053,0.31374540,0.30905847,0.15097610,0.42484596,0.00291639,0.57926109
-5.47773887,1.19386600,0.00015194,0.03574144,0.28892049,0.28566030,0.14174355,0.41286985,0.00258558,0.53000029
-5.47173587,1.12280352,0.00014521,0.03510849,0.26585233,0.26395310,0.13371026,0.40160388,0.00227975,0.48417420
-5.46573287,1.05835532,0.00013926,0.03533233,0.24466744,0.24412839,0.12702541,0.39120376,0.00199983,0.44210270
-5.45972986,1.00115762,0.00013398,0.03652272,0.22547267,0.22635956,0.12183796,0.38181528,0.00174609,0.40406555
-5.45372686,0.95179271,0.00012922,0.03879922,0.20835635,0.21080016,0.11829825,0.37357474,0.00151826,0.37030204
