energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.46000423,-0.30647640,0.08934691,-0.10379040,0.04752068,-0.01143465,0.00026348,-0.00037506,0.07382500,-0.03529970,0.15366382,-0.05437662,0.05852734,-0.04321088,0.00332067,-0.00311564,0.18895316,-0.14042289
-5.99399700,0.49620309,-0.28991700,0.09460149,-0.09631844,0.05191084,-0.01150177,0.00028233,-0.00034861,0.08020867,-0.03402024,0.16773956,-0.05333889,0.06290289,-0.04082735,0.00352801,-0.00288455,0.20316380,-0.13222570
-5.98799400,0.53445088,-0.27597295,0.10051676,-0.08944373,0.05643296,-0.01184591,0.00030209,-0.00033042,0.08680684,-0.03307832,0.18226715,-0.05295432,0.06752620,-0.03875460,0.00375407,-0.00268476,0.21832919,-0.12518638
-5.98199100,0.57419388,-0.26501976,0.10699370,-0.08328143,0.06103252,-0.01247527,0.00032222,-0.00031999,0.09351984,-0.03253035,0.19704784,-0.05332373,0.07232753,-0.03704909,0.00399420,-0.00251755,0.23423378,-0.11946393
-5.97598799,0.61486084,-0.25740011,0.11393410,-0.07793326,0.06565367,-0.01339967,0.00034221,-0.00031696,0.10024146,-0.03242816,0.21186869,-0.05454230,0.07723541,-0.03576103,0.00424386,-0.00238416,0.25065892,-0.11520291
-5.96998499,0.65587875,-0.25341638,0.12124360,-0.07348611,0.07024078,-0.01462965,0.00036158,-0.00032100,0.10686164,-0.03281780,0.22650791,-0.05669736,0.08217872,-0.03493353,0.00449872,-0.00228566,0.26738931,-0.11253033
-5.96398199,0.69668965,-0.25332407,0.12883479,-0.07001118,0.07474009,-0.01617561,0.00037986,-0.00033183,0.11326934,-0.03373851,0.24074082,-0.05986626,0.08708889,-0.03460182,0.00475471,-0.00222287,0.28421971,-0.11155303
-5.95797899,0.73676755,-0.25732621,0.13662992,-0.06756355,0.07910147,-0.01804685,0.00039663,-0.00034922,0.11935568,-0.03522167,0.25434638,-0.06411408,0.09190204,-0.03479268,0.00500817,-0.00219633,0.30096141,-0.11235552
-5.95197599,0.77563487,-0.26556868,0.14456336,-0.06618222,0.08328014,-0.02025071,0.00041153,-0.00037288,0.12501710,-0.03728983,0.26711382,-0.06949152,0.09656104,-0.03552401,0.00525594,-0.00220626,0.31744847,-0.11499835
-5.94597299,0.81287753,-0.27813642,0.15258347,-0.06589040,0.08723829,-0.02279167,0.00042423,-0.00040254,0.13015850,-0.03995577,0.27884925,-0.07603267,0.10101731,-0.03680451,0.00549538,-0.00225247,0.33354310,-0.11951690
-5.93996998,0.84815786,-0.29505066,0.16065384,-0.06669625,0.09094646,-0.02567056,0.00043445,-0.00043783,0.13469622,-0.04322173,0.28938187,-0.08375303,0.10523229,-0.03863357,0.00572451,-0.00233439,0.34913998,-0.12592070
-5.93396698,0.88122458,-0.31626711,0.16875375,-0.06859374,0.09438472,-0.02888388,0.00044199,-0.00047836,0.13856060,-0.04707865,0.29856952,-0.09264759,0.10917859,-0.04100124,0.00594200,-0.00245105,0.36416929,-0.13419314
-5.92796398,0.91191925,-0.34167533,0.17687788,-0.07156382,0.09754334,-0.03242325,0.00044670,-0.00052362,0.14169819,-0.05150565,0.30630327,-0.10268930,0.11284050,-0.04388841,0.00614720,-0.00260106,0.37859808,-0.14429182
