energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,0.76275357,-1.23757083,0.19091981,-0.25292851,0.23339396,-0.19398598,0.00741230,-0.00927393,0.18466186,-0.35359454,0.01987615,-0.03473149,0.16022627,-0.25562940
-5.99399700,0.74589234,-1.25387597,0.18536220,-0.25617939,0.22559390,-0.19676974,0.00751989,-0.00948515,0.17380435,-0.35879489,0.01808084,-0.03555608,0.16835550,-0.25840660
-5.98799400,0.73373952,-1.26529328,0.18073322,-0.25849262,0.21935495,-0.19877313,0.00766678,-0.00966317,0.16409151,-0.36266307,0.01638871,-0.03626006,0.17742591,-0.26011096
-5.98199100,0.72644337,-1.27157494,0.17708277,-0.25981682,0.21476001,-0.19995488,0.00785488,-0.00980584,0.15561298,-0.36509872,0.01481452,-0.03683086,0.18738170,-0.26073422
-5.97598799,0.72405604,-1.27260870,0.17444807,-0.26012648,0.21185544,-0.20029337,0.00808481,-0.00991160,0.14843429,-0.36603512,0.01337007,-0.03725872,0.19815046,-0.26030307
-5.96998499,0.72653599,-1.26841378,0.17285392,-0.25942141,0.21065056,-0.19978609,0.00835578,-0.00997951,0.14259619,-0.36543867,0.01206434,-0.03753663,0.20964546,-0.25887754
-5.96398199,0.73375423,-1.25913353,0.17231390,-0.25772565,0.21111865,-0.19844861,0.00866557,-0.01000923,0.13811498,-0.36330768,0.01090380,-0.03766038,0.22176866,-0.25654825
-5.95797899,0.74550427,-1.24502532,0.17283245,-0.25508603,0.21319921,-0.19631328,0.00901050,-0.01000103,0.13498389,-0.35967059,0.00989270,-0.03762841,0.23441429,-0.25343289
-5.95197599,0.76151542,-1.22644831,0.17440766,-0.25157034,0.21680153,-0.19342754,0.00938551,-0.00995580,0.13317536,-0.35458391,0.00903349,-0.03744171,0.24747300,-0.24967189
-5.94597299,0.78146903,-1.20384970,0.17703483,-0.24726528,0.22180941,-0.18985214,0.00978428,-0.00987503,0.13264429,-0.34812969,0.00832730,-0.03710362,0.26083627,-0.24542354
-5.93996998,0.80501689,-1.17774994,0.18071041,-0.24227433,0.22808687,-0.18565920,0.01019942,-0.00976081,0.13333196,-0.34041301,0.00777437,-0.03661967,0.27440112,-0.24085880
-5.93396698,0.83180120,-1.14872756,0.18543631,-0.23671542,0.23548469,-0.18093023,0.01062265,-0.00961579,0.13517050,-0.33155929,0.00737450,-0.03599735,0.28807481,-0.23615585
-5.92796398,0.86147527,-1.11740409,0.19122423,-0.23071863,0.24384746,-0.17575423,0.01104510,-0.00944319,0.13808781,-0.32171164,0.00712753,-0.03524588,0.30177939,-0.23149472
-5.92196098,0.89372391,-1.08442944,0.19809981,-0.22442392,0.25302091,-0.17022583,0.01145761,-0.00924677,0.14201255,-0.31102824,0.00703367,-0.03437597,0.31545595,-0.22705212
-5.91595798,0.92828279,-1.05046815,0.20610632,-0.21797883,0.26285919,-0.16444357,0.01185101,-0.00903079,0.14687904,-0.29967981,0.00709387,-0.03339959,0.32906827,-0.22299665
-5.90995498,0.96495558,-1.01618666,0.21530767,-0.21153626,0.27323183,-0.15850829,0.01221646,-0.00879996,0.15263187,-0.28784714,0.00730999,-0.03232972,0.34260584,-0.21948447
-5.90395198,1.00362813,-0.98224188,0.22579048,-0.20525230,0.28402997,-0.15252175,0.01254577,-0.00855936,0.15922985,-0.27571871,0.00768500,-0.03118012,0.35608584,-0.21665565
-5.89794897,1.04427859,-0.94927103,0.23766493,-0.19928405,0.29517155,-0.14658526,0.01283167,-0.00831445,0.16664916,-0.26348828,0.00822299,-0.02996511,0.36955416,-0.21463125
-5.89194597,1.08698297,-0.91788285,0.25106425,-0.19378756,0.30660530,-0.14079858,0.01306814,-0.00807089,0.17488544,-0.25135259,0.00892905,-0.02869931,0.38308511,-0.21351112
-5.88594297,1.13191527,-0.88865004,0.26614273,-0.18891572,0.31831313,-0.13525878,0.01325054,-0.00783452,0.18395472,-0.23950897,0.00980913,-0.02739746,0.39677979,-0.21337251
-5.87993997,1.17934191,-0.86210288,0.28307207,-0.18481618,0.33031071,-0.13005933,0.01337586,-0.00761124,0.19389297,-0.22815284,0.01086964,-0.02607416,0.41076312,-0.21426947
-5.87393697,1.22961014,-0.83872391,0.30203605,-0.18162933,0.34264632,-0.12528906,0.01344281,-0.00740687,0.20475423,-0.21747524,0.01211713,-0.02474373,0.42517937,-0.21623300
-5.86793397,1.28313063,-0.81894342,0.32322364,-0.17948626,0.35539766,-0.12103128,0.01345182,-0.00722708,0.21660743,-0.20766013,0.01355765,-0.02341999,0.44018629,-0.21927178
-5.86193097,1.34035455,-0.80313564,0.34682062,-0.17850669,0.36866695,-0.11736282,0.01340509,-0.00707723,0.22953178,-0.19888171,0.01519625,-0.02211607,0.45594805,-0.22337359
-5.85592796,1.40174577,-0.79161550,0.37299983,-0.17879701,0.38257419,-0.11435304,0.01330642,-0.00696228,0.24361107,-0.19130150,0.01703627,-0.02084429,0.47262695,-0.22850709
-5.84992496,1.46774930,-0.78463569,0.40191061,-0.18044830,0.39724909,-0.11206278,0.01316114,-0.00688664,0.25892698,-0.18506551,0.01907868,-0.01961599,0.49037438,-0.23462392
-5.84392196,1.53875711,-0.78238395,0.43366751,-0.18353442,0.41282181,-0.11054330,0.01297581,-0.00685404,0.27555172,-0.18030120,0.02132142,-0.01844140,0.50932121,-0.24166107
-5.83791896,1.61507291,-0.78498056,0.46833898,-0.18811021,0.42941311,-0.10983513,0.01275803,-0.00686748,0.29354042,-0.17711469,0.02375875,-0.01732952,0.52956809,-0.24954318
-5.83191596,1.69687767,-0.79247585,0.50593646,-0.19420979,0.44712416,-0.10996695,0.01251610,-0.00692904,0.31292351,-0.17558790,0.02638072,-0.01628808,0.55117598,-0.25818483
-5.82591296,1.78419756,-0.80484796,0.54640441,-0.20184509,0.46602676,-0.11095443,0.01225871,-0.00703986,0.33369967,-0.17577596,0.02917278,-0.01532341,0.57415756,-0.26749262
-5.81990995,1.87687622,-0.82200065,0.58961199,-0.21100456,0.48615435,-0.11279914,0.01199461,-0.00720003,0.35582962,-0.17770497,0.03211544,-0.01444040,0.59846988,-0.27736693
-5.81390695,1.97455326,-0.84376163,0.63534686,-0.22165220,0.50749434,-0.11548760,0.01173227,-0.00740851,0.37923121,-0.18137011,0.03518425,-0.01364252,0.62400877,-0.28770341
-5.80790395,2.07665031,-0.86988132,0.68331171,-0.23372698,0.52998230,-0.11899049,0.01147958,-0.00766315,0.40377621,-0.18673428,0.03834989,-0.01293173,0.65060546,-0.29839402
-5.80190095,2.18236614,-0.90003253,0.73312389,-0.24714270,0.55349827,-0.12326208,0.01124356,-0.00796059,0.42928897,-0.19372739,0.04157852,-0.01230859,0.67802574,-0.30932779
-5.79589795,2.29068174,-0.93381125,0.78431858,-0.26178830,0.57786561,-0.12824004,0.01103011,-0.00829635,0.45554719,-0.20224636,0.04483239,-0.01177223,0.70597199,-0.32039123
-5.78989495,2.40037574,-0.97073889,0.83635560,-0.27752889,0.60285250,-0.13384559,0.01084384,-0.00866482,0.48228500,-0.21215597,0.04807063,-0.01132048,0.73408818,-0.33146857
-5.78389195,2.51005022,-1.01026623,0.88863001,-0.29420724,0.62817610,-0.13998414,0.01068789,-0.00905937,0.50919818,-0.22329055,0.05125025,-0.01094992,0.76196784,-0.34244183
-5.77788894,2.61816629,-1.05177946,0.94048621,-0.31164609,0.65350936,-0.14654636,0.01056392,-0.00947240,0.53595149,-0.23545660,0.05432738,-0.01065604,0.78916490,-0.35319096
-5.77188594,2.72308845,-1.09460843,0.99123533,-0.32965107,0.67849019,-0.15340993,0.01047203,-0.00989555,0.56218786,-0.24843631,0.05725854,-0.01043336,0.81520703,-0.36359410
-5.76588294,2.82313594,-1.13803721,1.04017530,-0.34801422,0.70273267,-0.16044163,0.01041082,-0.01031982,0.58753911,-0.26199197,0.06000211,-0.01027564,0.83961110,-0.37352810
-5.75987994,2.91663921,-1.18131709,1.08661296,-0.36651826,0.72583975,-0.16750015,0.01037752,-0.01073579,0.61163771,-0.27587118,0.06251973,-0.01017608,0.86190010,-0.38286944
-5.75387694,3.00199913,-1.22368169,1.12988730,-0.38494119,0.74741711,-0.17443924,0.01036811,-0.01113388,0.63412923,-0.28981277,0.06477772,-0.01012754,0.88162089,-0.39149565
-5.74787394,3.07774622,-1.26436412,1.16939299,-0.40306144,0.76708723,-0.18111137,0.01037753,-0.01150457,0.65468470,-0.30355316,0.06674839,-0.01012275,0.89836200,-0.39928711
-5.74187094,3.14259743,-1.30261560,1.20460306,-0.42066309,0.78450343,-0.18737160,0.01039989,-0.01183870,0.67301260,-0.31683322,0.06841112,-0.01015463,0.91177065,-0.40612950
-5.73586793,3.19550767,-1.33772511,1.23508980,-0.43754132,0.79936290,-0.19308178,0.01042872,-0.01212773,0.68886970,-0.32940514,0.06975331,-0.01021651,0.92156818,-0.41191658
-5.72986493,3.23571377,-1.36903948,1.26054287,-0.45350754,0.81141841,-0.19811467,0.01045728,-0.01236404,0.70207045,-0.34103927,0.07077099,-0.01030241,0.92756330,-0.41655340
-5.72386193,3.26276873,-1.39598300,1.28078374,-0.46839436,0.82048799,-0.20235803,0.01047875,-0.01254114,0.71249424,-0.35153068,0.07146909,-0.01040728,0.92966226,-0.41995975
