energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,2.63148225,0.00817277,0.31392984,0.97008971,1.00188349,0.67265945,0.06364420,1.11232965,0.00000000
-5.99399700,2.79033395,0.00868546,0.32914992,1.01593767,1.06401826,0.72015418,0.06757181,1.18643869,0.00000000
-5.98799400,2.94588055,0.00919074,0.34344417,1.06178905,1.12485357,0.76692428,0.07142797,1.25951845,0.00000000
-5.98199100,3.09488100,0.00967843,0.35646552,1.10634763,1.18315399,0.81213758,0.07513765,1.33018112,0.00000000
-5.97598799,3.23418178,0.01013852,0.36789589,1.14836497,1.23771224,0.85496374,0.07862865,1.39705359,0.00000000
-5.96998499,3.36080858,0.01056149,0.37745632,1.18667403,1.28738391,0.89459857,0.08183402,1.45881762,0.00000000
-5.96398199,3.47205719,0.01093858,0.38491615,1.22022159,1.33112213,0.93028910,0.08469447,1.51425077,0.00000000
-5.95797899,3.56558046,0.01126211,0.39010115,1.24809819,1.36801090,0.96135843,0.08716073,1.56226667,0.00000000
-5.95197599,3.63946802,0.01152574,0.39289998,1.26956470,1.39729583,0.98722948,0.08919580,1.60195309,0.00000000
-5.94597299,3.69231563,0.01172476,0.39326905,1.28407458,1.41841097,1.00744664,0.09077685,1.63260646,0.00000000
-5.93996998,3.72328141,0.01185626,0.39123528,1.29129101,1.43100090,1.02169444,0.09189699,1.65376132,0.00000000
-5.93396698,3.73212664,0.01191935,0.38689687,1.29109824,1.43493679,1.02981245,0.09256653,1.66521348,0.00000000
-5.92796398,3.71923931,0.01191525,0.38042198,1.28360666,1.43032608,1.03180559,0.09281394,1.66703592,0.00000000
-5.92196098,3.68563939,0.01184742,0.37204537,1.26915147,1.41751499,1.02784948,0.09268621,1.65958665,0.00000000
-5.91595798,3.63296543,0.01172150,0.36206319,1.24828486,1.39708408,1.01829049,0.09224887,1.64350803,0.00000000
-5.90995498,3.56344280,0.01154536,0.35082614,1.22176199,1.36983658,1.00364022,0.09158541,1.61971758,0.00000000
-5.90395198,3.47983467,0.01132895,0.33873113,1.19052130,1.33678016,0.98456477,0.09079623,1.58939036,0.00000000
-5.89794897,3.38537731,0.01108420,0.32621195,1.15565971,1.29910264,0.96186888,0.08999712,1.55393355,0.00000000
-5.89194597,3.28370192,0.01082483,0.31372899,1.11840359,1.25814253,0.93647561,0.08931729,1.51495399,0.00000000
-5.88594297,3.17874542,0.01056612,0.30175859,1.08007643,1.21535533,0.90940210,0.08889694,1.47421972,0.00000000
-5.87993997,3.07465319,0.01032470,0.29078200,1.04206419,1.17227671,0.88173225,0.08888453,1.43361680,0.00000000
-5.87393697,2.97567638,0.01011823,0.28127447,1.00577943,1.13048373,0.85458724,0.08943363,1.39510254,0.00000000
-5.86793397,2.88606694,0.00996514,0.27369450,0.97262509,1.09155519,0.82909470,0.09069964,1.36065685,0.00000000
-5.86193097,2.80997306,0.00988429,0.26847349,0.94395902,1.05703225,0.80635760,0.09283618,1.33223268,0.00000000
-5.85592796,2.75133754,0.00989469,0.26600600,0.92105998,1.02838029,0.78742368,0.09599140,1.31170727,0.00000000
-5.84992496,2.71380166,0.01001516,0.26664057,0.90509610,1.00695297,0.77325638,0.10030421,1.30083513,0.00000000
-5.84392196,2.70061638,0.01026396,0.27067139,0.89709624,0.99395926,0.76470809,0.10590052,1.30120423,0.00000000
-5.83791896,2.71456308,0.01065854,0.27833076,0.89792508,0.99043418,0.76249638,0.11288953,1.31419612,0.00000000
-5.83191596,2.75788504,0.01121510,0.28978261,0.90826227,0.99721377,0.76718407,0.12136022,1.34095113,0.00000000
