energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,8.41200469,-3.79939631,0.06673457,-0.05393481,0.45778377,-0.20247337,4.73338343,-2.22196644,1.37120158,-0.34919097,0.13604185,-0.04874971,4.01374080,-2.00636456
-5.99399700,8.18395315,-3.74474112,0.06409487,-0.05631278,0.44694442,-0.20492405,4.68428875,-2.19798414,1.32595939,-0.34806078,0.13304271,-0.04812092,3.90918523,-1.96830013
-5.98799400,7.93967211,-3.69550703,0.06140029,-0.05879442,0.43549269,-0.20707856,4.61886153,-2.17356839,1.27908463,-0.34749295,0.12981336,-0.04764598,3.79573036,-1.93392023
-5.98199100,7.68077982,-3.65288836,0.05865633,-0.06136680,0.42346074,-0.20901496,4.53693795,-2.14974814,1.23092496,-0.34758717,0.12638776,-0.04733404,3.67417685,-1.90387185
-5.97598799,7.40905453,-3.61820953,0.05586933,-0.06401434,0.41088990,-0.21083345,4.43871919,-2.12768949,1.18182400,-0.34845728,0.12279937,-0.04719484,3.54542203,-1.87885178
-5.96998499,7.12642794,-3.59292070,0.05304682,-0.06671920,0.39783129,-0.21265413,4.32478127,-2.10868610,1.13212028,-0.35023050,0.11908058,-0.04723886,3.41045529,-1.85960699
-5.96398199,6.83497139,-3.57858754,0.05019777,-0.06946177,0.38434589,-0.21461406,4.19606977,-2.09414354,1.08214600,-0.35304619,0.11526222,-0.04747747,3.27034966,-1.84693244
-5.95797899,6.53687445,-3.57687443,0.04733271,-0.07222128,0.37050382,-0.21686341,4.05387987,-2.08555739,1.03222542,-0.35705392,0.11137306,-0.04792302,3.12624959,-1.84166596
-5.95197599,6.23441614,-3.58952100,0.04446368,-0.07497646,0.35638307,-0.21956114,3.89982246,-2.08448527,0.98267280,-0.36241108,0.10743940,-0.04858885,2.97935499,-1.84467970
-5.94597299,5.92992982,-3.61831177,0.04160412,-0.07770629,0.34206768,-0.22287014,3.73577822,-2.09251323,0.93378995,-0.36927989,0.10348475,-0.04948931,2.83090214,-1.85686807
-5.93996998,5.62576326,-3.66503918,0.03876858,-0.08039080,0.32764545,-0.22695205,3.56384209,-2.11121706,0.88586345,-0.37782389,0.09952957,-0.05063963,2.68214218,-1.87913186
-5.93396698,5.32423582,-3.73146054,0.03597239,-0.08301177,0.31320554,-0.23196201,3.38626077,-2.14211937,0.83916173,-0.38820399,0.09559113,-0.05205570,2.53431804,-1.91235875
-5.92796398,5.02759487,-3.81924955,0.03323120,-0.08555349,0.29883589,-0.23804349,3.20536655,-2.18664375,0.79393223,-0.40057414,0.09168354,-0.05375380,2.38864096,-1.95740034
-5.92196098,4.73797380,-3.92994342,0.03056055,-0.08800335,0.28462088,-0.24532320,3.02351049,-2.24606699,0.75039875,-0.41507665,0.08781780,-0.05575015,2.24626778,-2.01504615
-5.91595798,4.45735360,-4.06488671,0.02797542,-0.09035234,0.27063916,-0.25390659,2.84299796,-2.32147088,0.70875935,-0.43183726,0.08400212,-0.05806042,2.10827974,-2.08599494
-5.90995498,4.18753003,-4.22517330,0.02548971,-0.09259535,0.25696200,-0.26387370,2.66602924,-2.41369504,0.66918482,-0.45096009,0.08024221,-0.06069908,1.97566416,-2.17082420
-5.90395198,3.93008775,-4.41158796,0.02311597,-0.09473125,0.24365209,-0.27527569,2.49464739,-2.52329232,0.63181799,-0.47252243,0.07654181,-0.06367869,1.84929933,-2.26995850
-5.89794897,3.68638236,-4.62454926,0.02086495,-0.09676284,0.23076294,-0.28813212,2.33069517,-2.65048822,0.59677385,-0.49656969,0.07290319,-0.06700907,1.72994339,-2.38363770
-5.89194597,3.45753099,-4.86405566,0.01874549,-0.09869642,0.21833889,-0.30242899,2.17578204,-2.79514598,0.56414058,-0.52311043,0.06932784,-0.07069647,1.61822741,-2.51188606
