energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.99066226,0.65298190,0.21230455,0.00625775,0.18887384,0.19436214,0.08716820,0.00867773,0.50014101
-5.99399700,1.04893649,0.68182735,0.22523058,0.00656457,0.20457119,0.19214054,0.09284771,0.00962693,0.52354026
-5.98799400,1.11270358,0.71220510,0.23889422,0.00692615,0.22033580,0.19146279,0.09947875,0.01062230,0.55093989
-5.98199100,1.18148940,0.74378378,0.25315363,0.00734429,0.23598225,0.19234819,0.10704681,0.01165632,0.58221168
-5.97598799,1.25466590,0.77617721,0.26784477,0.00781925,0.25131993,0.19477391,0.11551528,0.01272003,0.61711933
-5.96998499,1.33145705,0.80895444,0.28278403,0.00834960,0.26615712,0.19867495,0.12482464,0.01380318,0.65531784
-5.96398199,1.41094955,0.84165138,0.29777163,0.00893224,0.28030529,0.20394540,0.13489212,0.01489431,0.69635631
-5.95797899,1.49210834,0.87378366,0.31259581,0.00956231,0.29358357,0.21044100,0.14561214,0.01598095,0.73968411
-5.95197599,1.57379675,0.90486025,0.32703748,0.01023323,0.30582313,0.21798292,0.15685734,0.01704986,0.78466052
-5.94597299,1.65480068,0.93439734,0.34087551,0.01093687,0.31687145,0.22636265,0.16848039,0.01808727,0.83056777
-5.93996998,1.73385654,0.96193222,0.35389216,0.01166359,0.32659615,0.23534799,0.18031649,0.01907922,0.87662714
-5.93396698,1.80968210,0.98703654,0.36587882,0.01240253,0.33488844,0.24468986,0.19218657,0.02001190,0.92201784
-5.92796398,1.88100941,1.00932874,0.37664166,0.01314183,0.34166603,0.25412977,0.20390112,0.02087195,0.96589822
-5.92196098,1.94661886,1.02848520,0.38600705,0.01386888,0.34687526,0.26340777,0.21526457,0.02164686,1.00742854
-5.91595798,2.00537339,1.04424993,0.39382669,0.01457072,0.35049266,0.27227049,0.22608005,0.02232532,1.04579470
-5.90995498,2.05625154,1.05644246,0.39998210,0.01523431,0.35252562,0.28047919,0.23615450,0.02289752,1.08023208
-5.90395198,2.09837833,1.06496379,0.40438844,0.01584694,0.35301238,0.28781736,0.24530387,0.02335546,1.11004867
-5.89794897,2.13105281,1.06980018,0.40699747,0.01639656,0.35202120,0.29409764,0.25335825,0.02369318,1.13464655
-5.89194597,2.15377114,1.07102479,0.40779951,0.01687217,0.34964881,0.29916791,0.26016678,0.02390698,1.15354103
-5.88594297,2.16624441,1.06879698,0.40682428,0.01726408,0.34601813,0.30291613,0.26560216,0.02399550,1.16637651
-5.87993997,2.16841019,1.06335931,0.40414070,0.01756428,0.34127542,0.30527391,0.26956455,0.02395982,1.17293861
-5.87393697,2.16043757,1.05503228,0.39985544,0.01776666,0.33558677,0.30621856,0.27198478,0.02380338,1.17316186
