energy_ev,total_up,Hg_p_up,Hg_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,2.53840826,2.00082799,0.44871204,0.56692138,0.01956115,0.23973814,0.74147284
-5.99399700,2.61482049,2.06518831,0.45976471,0.58384568,0.02020322,0.24915940,0.76454074
-5.98799400,2.68792029,2.12934791,0.46998969,0.60134723,0.02082761,0.25784110,0.78577832
-5.98199100,2.75702484,2.19296964,0.47928155,0.61937498,0.02142865,0.26564094,0.80494887
-5.97598799,2.82144124,2.25562823,0.48754032,0.63783601,0.02200040,0.27243031,0.82183252
-5.96998499,2.88045994,2.31679606,0.49467022,0.65658913,0.02253663,0.27809639,0.83622739
-5.96398199,2.93335193,2.37583510,0.50057883,0.67544099,0.02303072,0.28254413,0.84795084
-5.95797899,2.97937053,2.43199589,0.50517683,0.69414509,0.02347579,0.28569779,0.85684097
-5.95197599,3.01775797,2.48442423,0.50837834,0.71240399,0.02386466,0.28750210,0.86275826
-5.94597299,3.04775691,2.53217558,0.51010187,0.72987471,0.02419006,0.28792304,0.86558746
-5.93996998,3.06862652,2.57423706,0.51027196,0.74617711,0.02444472,0.28694816,0.86523969
-5.93396698,3.07966260,2.60955611,0.50882123,0.76090504,0.02462160,0.28458639,0.86165463
-5.92796398,3.08022073,2.63707470,0.50569292,0.77363968,0.02471408,0.28086748,0.85480274
-5.92196098,3.06974146,2.65576758,0.50084371,0.78396456,0.02471624,0.27584095,0.84468744
-5.91595798,3.04777606,2.66468259,0.49424661,0.79148138,0.02462310,0.26957471,0.83134702
-5.90995498,3.01401148,2.66298122,0.48589377,0.79582600,0.02443081,0.26215325,0.81485619
-5.90395198,2.96829302,2.64997699,0.47579904,0.79668371,0.02413693,0.25367564,0.79532712
-5.89794897,2.91064325,2.62516998,0.46400001,0.79380294,0.02374059,0.24425318,0.77290977
-5.89194597,2.84127599,2.58827524,0.45055944,0.78700692,0.02324263,0.23400704,0.74779133
-5.88594297,2.76060421,2.53924385,0.43556596,0.77620239,0.02264568,0.22306560,0.72019488
-5.87993997,2.66924117,2.47827509,0.41913381,0.76138517,0.02195418,0.21156192,0.69037686
-5.87393697,2.56799440,2.40581926,0.40140172,0.74264219,0.02117436,0.19963113,0.65862363
