energy_ev,total_up,As_p_up,As_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-3.20260130,1.85933581,0.78319702,0.00000000,1.39909883,0.53428453,0.64321336,0.00000000
-3.19659830,1.91452606,0.81882635,0.00000000,1.47656413,0.55293004,0.65017019,0.00000000
-3.19059530,1.97786761,0.85773319,0.00000000,1.56061164,0.57362768,0.65999953,0.00000000
-3.18459230,2.04821582,0.89933990,0.00000000,1.65011350,0.59600688,0.67242122,0.00000000
-3.17858929,2.12419766,0.94297618,0.00000000,1.74376456,0.61963609,0.68707212,0.00000000
-3.17258629,2.20425056,0.98789370,0.00000000,1.84010758,0.64403426,0.70352053,0.00000000
-3.16658329,2.28666852,1.03328396,0.00000000,1.93756449,0.66868429,0.72128309,0.00000000
-3.16058029,2.36965392,1.07829883,0.00000000,2.03447342,0.69304803,0.73984333,0.00000000
-3.15457729,2.45137357,1.12207339,0.00000000,2.12913062,0.71658230,0.75867146,0.00000000
-3.14857429,2.53001714,1.16375039,0.00000000,2.21983623,0.73875559,0.77724446,0.00000000
-3.14257129,2.60385596,1.20250542,0.00000000,2.30494224,0.75906468,0.79506575,0.00000000
-3.13656828,2.67129996,1.23757206,0.00000000,2.38290122,0.77705076,0.81168380,0.00000000
-3.13056528,2.73095071,1.26826592,0.00000000,2.45231382,0.79231434,0.82670880,0.00000000
-3.12456228,2.78164832,1.29400664,0.00000000,2.51197293,0.80452843,0.83982683,0.00000000
-3.11855928,2.82251023,1.31433688,0.00000000,2.56090280,0.81344939,0.85081096,0.00000000
-3.11255628,2.85296022,1.32893740,0.00000000,2.59839099,0.81892506,0.85952875,0.00000000
-3.10655328,2.87274611,1.33763745,0.00000000,2.62401155,0.82089971,0.86594588,0.00000000
-3.10055028,2.88194532,1.34041999,0.00000000,2.63763819,0.81941562,0.87012570,0.00000000
-3.09454727,2.88095767,1.33742122,0.00000000,2.63944647,0.81461106,0.87222470,0.00000000
-3.08854427,2.87048557,1.32892437,0.00000000,2.62990452,0.80671484,0.87248402,0.00000000
-3.08254127,2.85150224,1.31534798,0.00000000,2.60975251,0.79603740,0.87121743,0.00000000
-3.07653827,2.82520908,1.29722889,0.00000000,2.57997157,0.78295893,0.86879614,0.00000000
-3.07053527,2.79298393,1.27520080,0.00000000,2.54174331,0.76791483,0.86563116,0.00000000
-3.06453227,2.75632251,1.24996918,0.00000000,2.49640172,0.75137922,0.86215401,0.00000000
-3.05852926,2.71677539,1.22228364,0.00000000,2.44537956,0.73384700,0.85879649,0.00000000
-3.05252626,2.67588342,1.19290904,0.00000000,2.39015178,0.71581537,0.85597060,0.00000000
-3.04652326,2.63511450,1.16259656,0.00000000,2.33217836,0.69776552,0.85404932,0.00000000
-3.04052026,2.59580438,1.13205610,0.00000000,2.27284954,0.68014517,0.85334929,0.00000000
-3.03451726,2.55910435,1.10193114,0.00000000,2.21343567,0.66335283,0.85411603,0.00000000
-3.02851426,2.52593798,1.07277733,0.00000000,2.15504408,0.64772435,0.85651246,0.00000000
-3.02251126,2.49696882,1.04504554,0.00000000,2.09858495,0.63352234,0.86061109,0.00000000
-3.01650825,2.47258035,1.01907011,0.00000000,2.04474736,0.62092881,0.86639037,0.00000000
-3.01050525,2.45286882,0.99506282,0.00000000,1.99398652,0.61004134,0.87373505,0.00000000
-3.00450225,2.43764905,0.97311240,0.00000000,1.94652237,0.60087284,0.88244078,0.00000000
-2.99849925,2.42647255,0.95318972,0.00000000,1.90234919,0.59335479,0.89222224,0.00000000
-2.99249625,2.41865666,0.93515793,0.00000000,1.86125527,0.58734378,0.90272476,0.00000000
-2.98649325,2.41332307,0.91878699,0.00000000,1.82285122,0.58263087,0.91353841,0.00000000
-2.98049025,2.40944348,0.90377168,0.00000000,1.78660514,0.57895329,0.92421416,0.00000000
-2.97448724,2.40589004,0.88975193,0.00000000,1.75188246,0.57600794,0.93428107,0.00000000
-2.96848424,2.40148789,0.87633457,0.00000000,1.71798826,0.57346589,0.94326382,0.00000000
-2.96248124,2.39506747,0.86311511,0.00000000,1.68420974,0.57098731,0.95069986,0.00000000
-2.95647824,2.38551392,0.84969872,0.00000000,1.64985681,0.56823614,0.95615526,0.00000000
-2.95047524,2.37181179,0.83571928,0.00000000,1.61429869,0.56489377,0.95923896,0.00000000
-2.94447224,2.35308307,0.82085580,0.00000000,1.57699511,0.56067145,0.95961465,0.00000000
-2.93846923,2.32861751,0.80484556,0.00000000,1.53752093,0.55532066,0.95701027,0.00000000
-2.93246623,2.29789431,0.78749366,0.00000000,1.49558335,0.54864142,0.95122470,0.00000000
-2.92646323,2.26059514,0.76867876,0.00000000,1.45103168,0.54048826,0.94213190,0.00000000
-2.92046023,2.21660861,0.74835521,0.00000000,1.40385965,0.53077375,0.92968241,0.00000000
-2.91445723,2.16602697,0.72655171,0.00000000,1.35420113,0.51946984,0.91390269,0.00000000
-2.90845423,2.10913607,0.70336711,0.00000000,1.30232007,0.50660701,0.89489238,0.00000000
-2.90245123,2.04639999,0.67896396,0.00000000,1.24859600,0.49227179,0.87282016,0.00000000
-2.89644822,1.97844172,0.65356031,0.00000000,1.19350644,0.47660271,0.84791842,0.00000000
-2.89044522,1.90602155,0.62742080,0.00000000,1.13760773,0.45978544,0.82047726,0.00000000
-2.88444222,1.83001469,0.60084747,0.00000000,1.08151571,0.44204722,0.79083812,0.00000000
-2.87843922,1.75138933,0.57417112,0.00000000,1.02588759,0.42365123,0.75938752,0.00000000
-2.87243622,1.67118654,0.54774375,0.00000000,0.97140603,0.40489116,0.72655089,0.00000000
-2.86643322,1.59050265,0.52193255,0.00000000,0.91876646,0.38608630,0.69278702,0.00000000
-2.86043022,1.51047486,0.49711555,0.00000000,0.86866798,0.36757745,0.65858289,0.00000000
-2.85442721,1.43227021,0.47367932,0.00000000,0.82180824,0.34972370,0.62444910,0.00000000
-2.84842421,1.35707788,0.45201842,0.00000000,0.77888203,0.33290010,0.59091574,0.00000000
-2.84242121,1.28610436,0.43253654,0.00000000,0.74058332,0.31749635,0.55852859,0.00000000
-2.83641821,1.22057097,0.41564886,0.00000000,0.70760989,0.30391610,0.52784548,0.00000000
-2.83041521,1.16171270,0.40178524,0.00000000,0.68066981,0.29257677,0.49943259,0.00000000
-2.82441221,1.11077745,0.39139363,0.00000000,0.66048851,0.28390959,0.47386043,0.00000000
-2.81840920,1.06902456,0.38494301,0.00000000,0.64781536,0.27835941,0.45169929,0.00000000
-2.81240620,1.03772144,0.38292539,0.00000000,0.64342860,0.27638397,0.43351390,0.00000000
-2.80640320,1.01813730,0.38585603,0.00000000,0.64813729,0.27845218,0.41985704,0.00000000
-2.80040020,1.01153299,0.39427145,0.00000000,0.66277945,0.28504111,0.41126209,0.00000000
-2.79439720,1.01914619,0.40872478,0.00000000,0.68821531,0.29663124,0.40823422,0.00000000
-2.78839420,1.04217147,0.42977796,0.00000000,0.72531531,0.31369984,0.41124030,0.00000000
-2.78239120,1.08173499,0.45799076,0.00000000,0.77494223,0.33671225,0.42069757,0.00000000
-2.77638819,1.13886395,0.49390655,0.00000000,0.83792767,0.36611101,0.43696114,0.00000000
-2.77038519,1.21445138,0.53803492,0.00000000,0.91504313,0.40230291,0.46031065,0.00000000
-2.76438219,1.30921697,0.59083172,0.00000000,1.00696638,0.44564428,0.49093644,0.00000000
-2.75837919,1.42366537,0.65267689,0.00000000,1.11424416,0.49642475,0.52892558,0.00000000
-2.75237619,1.55804348,0.72385095,0.00000000,1.23725262,0.55485004,0.57424858,0.00000000
-2.74637319,1.71229850,0.80451113,0.00000000,1.37615710,0.62102452,0.62674708,0.00000000
-2.74037019,1.88603908,0.89466805,0.00000000,1.53087314,0.69493408,0.68612354,0.00000000
-2.73436718,2.07850151,0.99416423,0.00000000,1.70103060,0.77643040,0.75193344,0.00000000
-2.72836418,2.28852345,1.10265550,0.00000000,1.88594318,0.86521722,0.82358087,0.00000000
-2.72236118,2.51452722,1.21959659,0.00000000,2.08458508,0.96083976,0.90031797,0.00000000
-2.71635818,2.75451455,1.34423186,0.00000000,2.29557678,1.06267784,0.98124898,0.00000000
-2.71035518,3.00607443,1.47559215,0.00000000,2.51718144,1.16994367,1.06533918,0.00000000
-2.70435218,3.26640505,1.61249850,0.00000000,2.74731316,1.28168474,1.15142888,0.00000000
-2.69834917,3.53235040,1.75357311,0.00000000,2.98355778,1.39679226,1.23825263,0.00000000
-2.69234617,3.80045130,1.89725776,0.00000000,3.22320641,1.51401531,1.32446320,0.00000000
-2.68634317,4.06701003,2.04183953,0.00000000,3.46330140,1.63198061,1.40865995,0.00000000
-2.68034017,4.32816705,2.18548319,0.00000000,3.70069358,1.74921753,1.48942073,0.00000000
-2.67433717,4.57998741,2.32626947,0.00000000,3.93210941,1.86418774,1.56533640,0.00000000
-2.66833417,4.81855431,2.46223802,0.00000000,4.15422573,1.97531869,1.63504671,0.00000000
-2.66233117,5.04006626,2.59143361,0.00000000,4.36374980,2.08103970,1.69727638,0.00000000
-2.65632816,5.24093446,2.71195384,0.00000000,4.55750149,2.17981953,1.75086981,0.00000000
-2.65032516,5.41787656,2.82199680,0.00000000,4.73249481,2.27020409,1.79482317,0.00000000
-2.64432216,5.56800319,2.91990666,0.00000000,4.88601543,2.35085269,1.82831254,0.00000000
-2.63831916,5.68889387,3.00421557,0.00000000,5.01569132,2.42057180,1.85071689,0.00000000
-2.63231616,5.77865919,3.07368025,0.00000000,5.11955379,2.47834466,1.86163500,0.00000000
-2.62631316,5.83598702,3.12731192,0.00000000,5.19608648,2.52335601,1.86089557,0.00000000
-2.62031016,5.86017091,3.16439851,0.00000000,5.24426063,2.55501072,1.84856017,0.00000000
-2.61430715,5.85111984,3.18451845,0.00000000,5.26355550,2.57294589,1.82491883,0.00000000
-2.60830415,5.80934926,3.18754564,0.00000000,5.25396322,2.57703611,1.79047866,0.00000000
-2.60230115,5.73595405,3.17364581,0.00000000,5.21597855,2.56739166,1.74594591,0.00000000
-2.59629815,5.63256502,3.14326454,0.00000000,5.15057416,2.54435008,1.69220227,0.00000000
-2.59029515,5.50129106,3.09710791,0.00000000,5.05916300,2.50846157,1.63027654,0.00000000
-2.58429215,5.34464955,3.03611658,0.00000000,4.94354965,2.46046902,1.56131274,0.00000000
-2.57828914,5.16548827,2.96143488,0.00000000,4.80587297,2.40128360,1.48653602,0.00000000
-2.57228614,4.96690184,2.87437606,0.00000000,4.64854268,2.33195695,1.40721770,0.00000000
-2.56628314,4.75214631,2.77638532,0.00000000,4.47417241,2.25365128,1.32464067,0.00000000
-2.56028014,4.52455472,2.66900209,0.00000000,4.28551201,2.16760831,1.24006658,0.00000000
-2.55427714,4.28745693,2.55382284,0.00000000,4.08538148,2.07511847,1.15470556,0.00000000
-2.54827414,4.04410592,2.43246570,0.00000000,3.87660873,1.97749109,1.06968968,0.00000000
-2.54227114,3.79761285,2.30653790,0.00000000,3.66197303,1.87602668,0.98605078,0.00000000
-2.53626813,3.55089231,2.17760684,0.00000000,3.44415561,1.77199192,0.90470293,0.00000000
-2.53026513,3.30661866,2.04717532,0.00000000,3.22569819,1.66659804,0.82643013,0.00000000
-2.52426213,3.06719399,1.91666126,0.00000000,3.00897021,1.56098275,0.75187900,0.00000000
-2.51825913,2.83472755,1.78738196,0.00000000,2.79614456,1.45619604,0.68155635,0.00000000
-2.51225613,2.61102598,1.66054279,0.00000000,2.58918168,1.35318987,0.61583140,0.00000000
-2.50625313,2.39759358,1.53723005,0.00000000,2.38982128,1.25281147,0.55494202,0.00000000
-2.50025013,2.19564111,1.41840742,0.00000000,2.19958078,1.15580009,0.49900446,0.00000000
-2.49424712,2.00610193,1.30491574,0.00000000,2.01975944,1.06278679,0.44802586,0.00000000
-2.48824412,1.82965360,1.19747517,0.00000000,1.85144680,0.97429681,0.40191879,0.00000000
-2.48224112,1.66674351,1.09668944,0.00000000,1.69553446,0.89075405,0.36051720,0.00000000
-2.47623812,1.51761692,1.00305148,0.00000000,1.55272966,0.81248718,0.32359292,0.00000000
-2.47023512,1.38234576,0.91694983,0.00000000,1.42356992,0.73973693,0.29087213,0.00000000
