energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-6.00000000,5.05451266,0.04105237,0.63378526,0.02895680,0.00000000,2.10800196,2.33133007,1.65989417,0.00000000
-5.99399700,5.14066900,0.04173955,0.64702243,0.02975127,0.00000000,2.15819689,2.36632288,1.67882856,0.00000000
-5.98799400,5.22076685,0.04242452,0.65962110,0.03052627,0.00000000,2.20522117,2.39643276,1.69585337,0.00000000
-5.98199100,5.29486890,0.04310701,0.67152846,0.03128085,0.00000000,2.24883278,2.42167705,1.71114782,0.00000000
-5.97598799,5.36317606,0.04378668,0.68270156,0.03201434,0.00000000,2.28885904,2.44219118,1.72493513,0.00000000
-5.96998499,5.42601404,0.04446296,0.69310624,0.03272637,0.00000000,2.32519687,2.45821854,1.73747757,0.00000000
-5.96398199,5.48381548,0.04513496,0.70271566,0.03341691,0.00000000,2.35781036,2.47009604,1.74907037,0.00000000
-5.95797899,5.53709874,0.04580138,0.71150859,0.03408634,0.00000000,2.38672564,2.47823597,1.76003480,0.00000000
-5.95197599,5.58644385,0.04646039,0.71946759,0.03473549,0.00000000,2.41202335,2.48310507,1.77071027,0.00000000
-5.94597299,5.63246696,0.04710966,0.72657726,0.03536571,0.00000000,2.43382905,2.48520204,1.78144578,0.00000000
-5.93996998,5.67579403,0.04774626,0.73282263,0.03597895,0.00000000,2.45230217,2.48503443,1.79259064,0.00000000
-5.93396698,5.71703498,0.04836677,0.73818790,0.03657781,0.00000000,2.46762389,2.48309613,1.80448476,0.00000000
-5.92796398,5.75675894,0.04896727,0.74265558,0.03716548,0.00000000,2.47998479,2.47984655,1.81744855,0.00000000
-5.92196098,5.79547159,0.04954342,0.74620615,0.03774581,0.00000000,2.48957277,2.47569234,1.83177264,0.00000000
-5.91595798,5.83359511,0.05009062,0.74881823,0.03832315,0.00000000,2.49656182,2.47097244,1.84770774,0.00000000
