energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,3.24032614,0.01002270,0.26548094,0.02698213,0.00000000,1.81407869,0.00000000,0.51054129,0.28696532
-5.99399700,3.36047962,0.01104173,0.27763196,0.02776355,0.00000000,1.87887156,0.00000000,0.52700639,0.30298236
-5.98799400,3.48561552,0.01217959,0.29056578,0.02858521,0.00000000,1.94593504,0.00000000,0.54481624,0.32026475
-5.98199100,3.61641285,0.01344368,0.30434096,0.02945572,0.00000000,2.01564113,0.00000000,0.56412363,0.33888728
-5.97598799,3.75346955,0.01484026,0.31900734,0.03038302,0.00000000,2.08831689,0.00000000,0.58506833,0.35891140
-5.96998499,3.89725594,0.01637402,0.33460142,0.03137399,0.00000000,2.16421949,0.00000000,0.60776817,0.38037974
-5.96398199,4.04807031,0.01804764,0.35114195,0.03243409,0.00000000,2.24351269,0.00000000,0.63231050,0.40331081
-5.95797899,4.20599873,0.01986135,0.36862585,0.03356697,0.00000000,2.32624576,0.00000000,0.65874443,0.42769393
-5.95197599,4.37088102,0.02181254,0.38702463,0.03477420,0.00000000,2.41233582,0.00000000,0.68707412,0.45348485
-5.94597299,4.54228458,0.02389536,0.40628160,0.03605504,0.00000000,2.50155462,0.00000000,0.71725358,0.48060213
-5.93996998,4.71948758,0.02610046,0.42631010,0.03740628,0.00000000,2.59352033,0.00000000,0.74918294,0.50892450
-5.93396698,4.90147250,0.02841475,0.44699265,0.03882210,0.00000000,2.68769491,0.00000000,0.78270673,0.53828956
-5.92796398,5.08693081,0.03082131,0.46818139,0.04029416,0.00000000,2.78338736,0.00000000,0.81761391,0.56849382
-5.92196098,5.27427885,0.03329940,0.48969970,0.04181158,0.00000000,2.87976286,0.00000000,0.85363994,0.59929417
-5.91595798,5.46168462,0.03582462,0.51134506,0.04336118,0.00000000,2.97585746,0.00000000,0.89047080,0.63041097
-5.90995498,5.64710477,0.03836918,0.53289303,0.04492765,0.00000000,3.07059809,0.00000000,0.92774863,0.66153256
-5.90395198,5.82833055,0.04090236,0.55410225,0.04649393,0.00000000,3.16282696,0.00000000,0.96507915,0.69232129
-5.89794897,6.00304104,0.04339111,0.57472034,0.04804147,0.00000000,3.25132965,0.00000000,1.00204027,0.72242067
-5.89194597,6.16886185,0.04580071,0.59449037,0.04955071,0.00000000,3.33486581,0.00000000,1.03819174,0.75146370
-5.88594297,6.32342711,0.04809557,0.61315774,0.05100148,0.00000000,3.41220139,0.00000000,1.07308562,0.77908183
-5.87993997,6.46444248,0.05024017,0.63047715,0.05237343,0.00000000,3.48214125,0.00000000,1.10627695,0.80491443
-5.87393697,6.58974694,0.05219996,0.64621942,0.05364651,0.00000000,3.54356103,0.00000000,1.13733451,0.82861830
-5.86793397,6.69737126,0.05394232,0.66017780,0.05480137,0.00000000,3.59543718,0.00000000,1.16585126,0.84987698
-5.86193097,6.78559100,0.05543748,0.67217364,0.05581983,0.00000000,3.63687426,0.00000000,1.19145409,0.86840933
-5.85592796,6.85297243,0.05665941,0.68206119,0.05668520,0.00000000,3.66712853,0.00000000,1.21381274,0.88397725
-5.84992496,6.89840996,0.05758657,0.68973124,0.05738268,0.00000000,3.68562724,0.00000000,1.23264751,0.89639212
-5.84392196,6.92115398,0.05820258,0.69511364,0.05789969,0.00000000,3.69198314,0.00000000,1.24773574,0.90551981
-5.83791896,6.92082845,0.05849668,0.69817860,0.05822606,0.00000000,3.68600377,0.00000000,1.25891681,0.91128397
-5.83191596,6.89743807,0.05846411,0.69893673,0.05835432,0.00000000,3.66769548,0.00000000,1.26609563,0.91366769
-5.82591296,6.85136501,0.05810620,0.69743789,0.05827982,0.00000000,3.63726224,0.00000000,1.26924454,0.91271333
