energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,9.58380587,2.45844745,6.09913387,0.01612079,0.57057673,0.07971953,1.90287369,0.69159370,0.20633247
-5.99399700,9.59664523,2.51660229,6.09896360,0.01599113,0.57862918,0.07826979,1.89669154,0.68412800,0.20436278
-5.98799400,9.61502493,2.57373306,6.10425176,0.01589941,0.58657654,0.07688580,1.89079308,0.67820982,0.20223026
-5.98199100,9.63870731,2.62914344,6.11497555,0.01584352,0.59431206,0.07558527,1.88525665,0.67390892,0.19995538
-5.97598799,9.66760777,2.68221411,6.13119413,0.01582162,0.60173241,0.07438420,1.88019546,0.67127131,0.19756504
-5.96998499,9.70179596,2.73241671,6.15304519,0.01583225,0.60874029,0.07329654,1.87575599,0.67031851,0.19509211
-5.96398199,9.74148360,2.77932297,6.18073392,0.01587435,0.61524666,0.07233383,1.87211299,0.67104670,0.19257468
-5.95797899,9.78699896,2.82260835,6.21451435,0.01594732,0.62117240,0.07150491,1.86946153,0.67342554,0.19005489
-5.95197599,9.83874897,2.86205032,6.25466374,0.01605094,0.62644943,0.07081564,1.86800640,0.67739688,0.18757757
-5.94597299,9.89717070,2.89752160,6.30145105,0.01618532,0.63102116,0.07026865,1.86794940,0.68287332,0.18518856
-5.93996998,9.96267536,2.92897895,6.35510121,0.01635077,0.63484219,0.06986319,1.86947539,0.68973692,0.18293293
-5.93396698,10.03558789,2.95644869,6.41575724,0.01654768,0.63787760,0.06959499,1.87273798,0.69783813,0.18085321
-5.92796398,10.11608675,2.98001016,6.48344270,0.01677635,0.64010164,0.06945624,1.87784586,0.70699539,0.17898762
-5.92196098,10.20414790,2.99977869,6.55802702,0.01703686,0.64149627,0.06943564,1.88485079,0.71699555,0.17736851
-5.91595798,10.29949763,3.01588935,6.63919637,0.01732896,0.64204963,0.06951862,1.89373815,0.72759544,0.17602107
-5.90995498,10.40157810,3.02848323,6.72643259,0.01765191,0.64175470,0.06968756,1.90442092,0.73852487,0.17496237
-5.90395198,10.50952906,3.03769714,6.81900216,0.01800444,0.64060834,0.06992230,1.91673768,0.74949115,0.17420080
-5.89794897,10.62218828,3.04365789,6.91595696,0.01838474,0.63861089,0.07020061,1.93045500,0.76018529,0.17373599
-5.89194597,10.73811185,3.04648157,7.01614754,0.01879042,0.63576650,0.07049890,1.94527439,0.77028986,0.17355909
-5.88594297,10.85561452,3.04627795,7.11824927,0.01921862,0.63208416,0.07079294,1.96084352,0.77948825,0.17365355
-5.87993997,10.97282875,3.04315949,7.22080064,0.01966611,0.62757946,0.07105871,1.97677126,0.78747521,0.17399627
-5.87393697,11.08777972,3.03725425,7.32225221,0.02012938,0.62227695,0.07127328,1.99264590,0.79396817,0.17455899
-5.86793397,11.19847268,3.02872139,7.42102423,0.02060489,0.61621290,0.07141566,2.00805535,0.79871889,0.17530999
-5.86193097,11.30298777,3.01776766,7.51556997,0.02108919,0.60943830,0.07146766,2.02260838,0.80152481,0.17621583
-5.85592796,11.39957702,3.00466318,7.60444173,0.02157912,0.60202168,0.07141465,2.03595562,0.80223960,0.17724317
-5.84992496,11.48675771,2.98975469,7.68635588,0.02207203,0.59405150,0.07124621,2.04780897,0.80078214,0.17836046
-5.84392196,11.56339663,2.97347460,7.76025356,0.02256588,0.58563781,0.07095664,2.05795840,0.79714355,0.17953948
-5.83791896,11.62877987,2.95634436,7.82535357,0.02305938,0.57691285,0.07054526,2.06628501,0.79139154,0.18075661
-5.83191596,11.68266382,2.93897101,7.88119457,0.02355209,0.56803045,0.07001657,2.07276953,0.78367190,0.18199371
-5.82591296,11.72530396,2.92203646,7.92766413,0.02404439,0.55916391,0.06938012,2.07749568,0.77420676,0.18323876
-5.81990995,11.75745935,2.90627912,7.96501284,0.02453751,0.55050254,0.06865027,2.08064821,0.76328961,0.18448596
-5.81390695,11.78037202,2.89246877,7.99385260,0.02503339,0.54224662,0.06784567,2.08250551,0.75127710,0.18573561
-5.80790395,11.79572207,2.88137527,8.01513896,0.02553459,0.53460121,0.06698863,2.08342730,0.73857800,0.18699344
-5.80190095,11.80556049,2.87373308,8.03013812,0.02604409,0.52776882,0.06610428,2.08383789,0.72563962,0.18826985
-5.79589795,11.81222300,2.87020317,8.04038019,0.02656510,0.52194141,0.06521972,2.08420600,0.71293236,0.18957873
-5.78989495,11.81822935,2.87133485,8.04760080,0.02710081,0.51729203,0.06436300,2.08502207,0.70093291,0.19093618
-5.78389195,11.82617307,2.87752967,8.05367378,0.02765418,0.51396661,0.06356217,2.08677447,0.69010703,0.19235919
-5.77788894,11.83860729,2.88900987,8.06053803,0.02822768,0.51207629,0.06284426,2.08992556,0.68089251,0.19386426
-5.77188594,11.85793242,2.90579343,8.07012204,0.02882312,0.51169075,0.06223436,2.09488911,0.67368306,0.19546609
-5.76588294,11.88629110,2.92767769,8.08426932,0.02944146,0.51283290,0.06175485,2.10201006,0.66881396,0.19717652
-5.75987994,11.92547562,2.95423278,8.10466818,0.03008266,0.51547532,0.06142458,2.11154769,0.66654993,0.19900361
-5.75387694,11.97685223,2.98480576,8.13278903,0.03074564,0.51953867,0.06125838,2.12366296,0.66707571,0.20095102
-5.74787394,12.04130558,3.01853561,8.16983159,0.03142822,0.52489221,0.06126658,2.13841074,0.67048991,0.20301770
-5.74187094,12.11920602,3.05437878,8.21668457,0.03212719,0.53135637,0.06145477,2.15573705,0.67680199,0.20519790
-5.73586793,12.21040059,3.09114412,8.27389900,0.03283837,0.53870754,0.06182363,2.17548160,0.68593276,0.20748153
-5.72986493,12.31422802,3.12753566,8.34167639,0.03355680,0.54668459,0.06236904,2.19738519,0.69771805,0.20985477
-5.72386193,12.42955632,3.16220125,8.41987172,0.03427692,0.55499707,0.06308216,2.22110182,0.71191552,0.21230099
-5.71785893,12.55484092,3.19378460,8.50801085,0.03499279,0.56333459,0.06394982,2.24621454,0.72821404,0.21480182
-5.71185593,12.68819990,3.22097831,8.60532113,0.03569841,0.57137711,0.06495491,2.27225448,0.74624544,0.21733849
-5.70585293,12.82750260,3.24257503,8.71077339,0.03638796,0.57880546,0.06607687,2.29872194,0.76559784,0.21989309
-5.69984992,12.97046673,3.25751465,8.82313311,0.03705612,0.58531184,0.06729231,2.32510854,0.78583025,0.22245000
-5.69384692,13.11475938,3.26492492,8.94101787,0.03769834,0.59060976,0.06857568,2.35091939,0.80648766,0.22499710
-5.68784392,13.25809683,3.26415393,9.06295831,0.03831110,0.59444297,0.06989996,2.37569424,0.82711616,0.22752693
-5.68184092,13.39833837,3.25479292,9.18745942,0.03889216,0.59659307,0.07123742,2.39902661,0.84727756,0.23003760
-5.67583792,13.53356983,3.23668868,9.31305917,0.03944074,0.59688553,0.07256032,2.42058007,0.86656284,0.23253338
-5.66983492,13.66217305,3.20994527,9.43838162,0.03995763,0.59519391,0.07384169,2.44010106,0.88460433,0.23502509
-5.66383192,13.78287827,3.17491521,9.56218217,0.04044527,0.59144210,0.07505604,2.45742768,0.90108599,0.23752999
-5.65782891,13.89479766,3.13218122,9.68338287,0.04090779,0.58560478,0.07618002,2.47249415,0.91575166,0.24007142
-5.65182591,13.99743882,3.08252948,9.80109653,0.04135091,0.57770595,0.07719301,2.48533097,0.92841121,0.24267807
-5.64582291,14.09069840,3.02691621,9.91463882,0.04178189,0.56781582,0.07807770,2.49606086,0.93894434,0.24538287
-5.63981991,14.17483709,2.96642937,10.02352842,0.04220926,0.55604633,0.07882047,2.50489077,0.94730226,0.24822166
-5.63381691,14.25043783,2.90224742,10.12747578,0.04264270,0.54254548,0.07941177,2.51210063,0.95350712,0.25123163
-5.62781391,14.31835018,2.83559729,10.22636174,0.04309272,0.52749088,0.07984632,2.51802933,0.95764965,0.25444962
-5.62181091,14.37962432,2.76771322,10.32020787,0.04357038,0.51108272,0.08012317,2.52305881,0.95988490,0.25791034
-5.61580790,14.43543839,2.69979835,10.40914049,0.04408701,0.49353675,0.08024572,2.52759710,0.96042659,0.26164469
-5.60980490,14.48702336,2.63299048,10.49335092,0.04465391,0.47507723,0.08022153,2.53206104,0.95954022,0.26567818
-5.60380190,14.53558911,2.56833298,10.57305440,0.04528204,0.45593039,0.08006207,2.53685964,0.95753530,0.27002953
-5.59779890,14.58225568,2.50675169,10.64845003,0.04598176,0.43631848,0.07978231,2.54237872,0.95475682,0.27470964
-5.59179590,14.62799255,2.44903820,10.71968413,0.04676261,0.41645468,0.07940029,2.54896752,0.95157651,0.27972089
-5.58579290,14.67356869,2.39583944,10.78681868,0.04763314,0.39653881,0.07893656,2.55692777,0.94838377,0.28505685
-5.57978989,14.71951519,2.34765342,10.84980658,0.04860070,0.37675415,0.07841357,2.56650553,0.94557680,0.29070239
-5.57378689,14.76610138,2.30483052,10.90847454,0.04967143,0.35726510,0.07785509,2.57788603,0.94355382,0.29663427
-5.56778389,14.81332484,2.26757954,10.96251425,0.05085008,0.33821580,0.07728555,2.59119140,0.94270472,0.30282208
-5.56178089,14.86091465,2.23597781,11.01148187,0.05214011,0.31972967,0.07672942,2.60648126,0.94340308,0.30922955
-5.55577789,14.90834690,2.20998416,11.05480539,0.05354357,0.30190955,0.07621062,2.62375571,0.94599871,0.31581612
-5.54977489,14.95487067,2.18945402,11.09179918,0.05506120,0.28483851,0.07575197,2.64296038,0.95081068,0.32253868
-5.54377189,14.99954247,2.17415567,11.12168458,0.05669242,0.26858118,0.07537470,2.66399305,0.95812098,0.32935339
-5.53776888,15.04126689,2.16378674,11.14361539,0.05843531,0.25318532,0.07509802,2.68671112,0.96816859,0.33621747
-5.53176588,15.07884114,2.15799037,11.15670691,0.06028666,0.23868368,0.07493872,2.71093959,0.98114428,0.34309082
-5.52576288,15.11100113,2.15637049,11.16006710,0.06224192,0.22509591,0.07491093,2.73647875,0.99718589,0.34993740
-5.51975988,15.13646714,2.15850569,11.15282861,0.06429512,0.21243049,0.07502581,2.76311137,1.01637435,0.35672629
-5.51375688,15.15398727,2.16396160,11.13418053,0.06643884,0.20068659,0.07529143,2.79060875,1.03873031,0.36343231
-5.50775388,15.16237732,2.17230152,11.10339885,0.06866406,0.18985581,0.07571261,2.81873559,1.06421162,0.37003620
-5.50175088,15.16055611,2.18309545,11.05987475,0.07096005,0.17992372,0.07629082,2.84725341,1.09271176,0.37652440
-5.49574787,15.14757565,2.19592750,11.00314017,0.07331426,0.17087123,0.07702423,2.87592259,1.12405917,0.38288830
-5.48974487,15.12264612,2.21040194,10.93289017,0.07571217,0.16267575,0.07790762,2.90450319,1.15801793,0.38912325
