energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,7.92693237,-10.47526144,0.05938324,-0.12541231,0.38461748,-0.52655659,2.17676068,-2.57498712,0.80991396,-0.73093008,0.12557081,-0.14952832,4.04656736,-5.60911513,1.35430263,-2.19784812,0.29772463,-0.42716787
-5.99399700,7.45264905,-10.84249476,0.05310832,-0.12746982,0.35620515,-0.54718601,2.05228911,-2.65823710,0.75234223,-0.75987593,0.12122111,-0.15397250,3.81513944,-5.80646062,1.26474501,-2.28388883,0.28199221,-0.44029084
-5.98799400,6.98312833,-11.17120279,0.04722958,-0.12935329,0.32896732,-0.56595556,1.92823166,-2.73034734,0.69670870,-0.78644375,0.11658706,-0.15793234,3.58430415,-5.98279203,1.17703183,-2.36107590,0.26648043,-0.45191505
-5.98199100,6.52375924,-11.45531737,0.04176510,-0.13100950,0.30316359,-0.58255064,1.80630035,-2.78995569,0.64353441,-0.81017888,0.11172130,-0.16133973,3.35685615,-6.13482694,1.09226602,-2.42784462,0.25137791,-0.46185792
-5.97598799,6.07945149,-11.68946040,0.03672513,-0.13238413,0.27901806,-0.59669523,1.68807225,-2.83590545,0.59326935,-0.83066738,0.10668018,-0.16413138,3.13536687,-6.25965537,1.01142341,-2.48283273,0.23685702,-0.46996195
-5.96998499,5.65456386,-11.86910303,0.03211261,-0.13342377,0.25671787,-0.60815916,1.57496301,-2.86728235,0.54628917,-0.84754781,0.10152281,-0.16625063,2.92214325,-6.35482706,0.93533677,-2.52492054,0.22307157,-0.47609911
-5.96398199,5.25285199,-11.99070191,0.02792395,-0.13407793,0.23641263,-0.61676382,1.46820698,-2.88344476,0.50289390,-0.86052148,0.09630999,-0.16764922,2.71919649,-6.41842656,0.86468525,-2.55326356,0.21015508,-0.48017462
-5.95797899,4.87743590,-12.05180662,0.02414982,-0.13430103,0.21821486,-0.62238638,1.36884445,-2.88404576,0.46330846,-0.86936088,0.09110305,-0.16828888,2.52822129,-6.44913290,0.79998934,-2.56731632,0.19821977,-0.48212970
-5.95197599,4.53078672,-12.05113307,0.02077612,-0.13405422,0.20220111,-0.62496208,1.27771580,-2.86904579,0.42768490,-0.87391586,0.08596267,-0.16814275,2.35058547,-6.44626075,0.74161122,-2.56684613,0.18735625,-0.48194325
-5.94597299,4.21473200,-11.98859954,0.01778482,-0.13330701,0.18841378,-0.62448463,1.19546257,-2.83871529,0.39610591,-0.87411741,0.08094765,-0.16719651,2.18732972,-6.40978130,0.68976003,-2.55193622,0.17763386,-0.47963237
-5.93996998,3.93047774,-11.86532346,0.01515498,-0.13203850,0.17686350,-0.62100483,1.12253490,-2.79362692,0.36858964,-0.86997868,0.07611372,-0.16544916,2.03917660,-6.34032165,0.64450157,-2.52297811,0.16910159,-0.47525170
-5.93396698,3.67864547,-11.68357900,0.01286363,-0.13023828,0.16753204,-0.61462727,1.05920471,-2.73463775,0.34509538,-0.86159350,0.07151245,-0.16291343,1.90654791,-6.23914260,0.60577173,-2.48065354,0.16178954,-0.46889150
-5.92796398,3.45932184,-11.44671727,0.01088663,-0.12790697,0.16037544,-0.60550561,1.00558389,-2.66286196,0.32552994,-0.84913220,0.06719021,-0.15961574,1.78958915,-6.10809582,0.57339291,-2.42590694,0.15571091,-0.46067470
-5.92196098,3.27211837,-11.15905285,0.00919949,-0.12505625,0.15532758,-0.59383636,0.96164640,-2.57963536,0.30975454,-0.83283520,0.06318726,-0.15559580,1.68819969,-5.94956225,0.54709251,-2.35990954,0.15086423,-0.45075291
-5.91595798,3.11623848,-10.82572187,0.00777805,-0.12170850,0.15230376,-0.57985174,0.92725334,-2.48647313,0.29759201,-0.81300454,0.05953709,-0.15090574,1.60206707,-5.76637457,0.52652274,-2.28401707,0.14723594,-0.43930169
-5.90995498,2.99054917,-10.45251805,0.00659917,-0.11789610,0.15120447,-0.56381181,0.90217975,-2.38502284,0.28883403,-0.78999382,0.05626585,-0.14560888,1.53070397,-5.56172731,0.51128071,-2.19972284,0.14480306,-0.42651519
-5.90395198,2.89365452,-10.04571423,0.00564116,-0.11366032,0.15191925,-0.54599633,0.88614205,-2.27701465,0.28324842,-0.76419703,0.05339207,-0.13977813,1.47348620,-5.33907845,0.50092828,-2.10860840,0.14353589,-0.41260048
-5.89794897,2.82396853,-9.61187717,0.00488429,-0.10905001,0.15433038,-0.52669657,0.87882489,-2.16421100,0.28058624,-0.73603670,0.05092654,-0.13349422,1.42969024,-5.10204715,0.49501071,-2.01229402,0.14340059,-0.39777183
-5.89194597,2.77978469,-9.15768352,0.00431108,-0.10412002,0.15831662,-0.50620759,0.87990624,-2.04835777,0.28058859,-0.70595201,0.04887249,-0.12684358,1.39852898,-4.85431171,0.49307351,-1.91239096,0.14436155,-0.38224512
-5.88594297,2.75934017,-8.68974463,0.00390657,-0.09892953,0.16375663,-0.48482115,0.88907974,-1.93113917,0.28299304,-0.67438717,0.04722589,-0.11991624,1.37918428,-4.59951219,0.49467710,-1.81045764,0.14638343,-0.36623270
-5.87993997,2.76087269,-8.21444676,0.00365844,-0.09354034,0.17053230,-0.46281945,0.90607320,-1.81413785,0.28753953,-0.64178065,0.04597607,-0.11280363,1.37083547,-4.34116131,0.49940876,-1.70796117,0.14943282,-0.34993889
-5.87393697,2.78266846,-7.73781240,0.00355712,-0.08801516,0.17853161,-0.44047012,0.93066250,-1.69880186,0.29397581,-0.60855560,0.04510635,-0.10559647,1.37268285,-4.08256693,0.50689166,-1.60624558,0.15347933,-0.33355624
-5.86793397,2.82310003,-7.26538687,0.00359581,-0.08241604,0.18765118,-0.41802219,0.96268021,-1.58641944,0.30206207,-0.57511168,0.04459501,-0.09838282,1.38396558,-3.82676848,0.51679086,-1.50650763,0.15849621,-0.31726275
-5.86193097,2.88065323,-6.80215298,0.00377043,-0.07680290,0.19779824,-0.39570345,1.00201837,-1.47810223,0.31157497,-0.54181849,0.04441617,-0.09124624,1.40397377,-3.57648892,0.52881627,-1.40978057,0.16446037,-0.30121998
-5.85592796,2.95394301,-6.35247475,0.00407950,-0.07123228,0.20889202,-0.37371891,1.04862545,-1.37477714,0.32231080,-0.50901083,0.04454089,-0.08426434,1.43205465,-3.33410299,0.54272281,-1.31692579,0.17135183,-0.28557221
-5.84992496,3.04171816,-5.92006982,0.00452404,-0.06575632,0.22086447,-0.35225040,1.10249719,-1.27718652,0.33408775,-0.47698557,0.04493821,-0.07750756,1.46761310,-3.10162143,0.55830789,-1.22863211,0.17915269,-0.27044644
-5.84392196,3.14285566,-5.50800874,0.00510733,-0.06042198,0.23366025,-0.33145717,1.16366187,-1.18589607,0.34674740,-0.44600021,0.04557616,-0.07103827,1.51010696,-2.88069042,0.57540677,-1.14542173,0.18784552,-0.25595327
-5.83791896,3.25634560,-5.11873795,0.00583471,-0.05527046,0.24723588,-0.31147729,1.23216059,-1.10130937,0.36015512,-0.41627296,0.04642280,-0.06491022,1.55903800,-2.67260431,0.59388611,-1.06766189,0.19741151,-0.24218838
-5.83191596,3.38126816,-4.75412267,0.00671328,-0.05033692,0.26155818,-0.29242967,1.30802328,-1.02368797,0.37419962,-0.38798398,0.04744703,-0.05916834,1.61393940,-2.47832969,0.61363632,-0.99558103,0.20782824,-0.22923454
-5.82591296,3.51676452,-4.41550487,0.00775159,-0.04565040,0.27660188,-0.27441659,1.39124176,-0.95317531,0.38879165,-0.36127774,0.04861945,-0.05384875,1.67436078,-2.29853797,0.63456328,-0.92928804,0.21906740,-0.21716383
