energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
5.53776888,1.01126004,0.03145012,0.06151647,0.47395100,0.08824170,0.67277314,0.10698998,0.02553006,0.13514746
5.54377189,0.99866260,0.03259489,0.05992885,0.47122698,0.08684340,0.65923955,0.10682642,0.02497817,0.13274267
5.54977489,0.98045422,0.03369075,0.05803376,0.46601369,0.08491979,0.64171076,0.10620748,0.02426609,0.12953427
5.55577789,0.95699144,0.03471553,0.05585367,0.45843214,0.08251031,0.62050653,0.10513862,0.02340753,0.12558417
5.56178089,0.92873086,0.03564793,0.05342041,0.44864374,0.07966329,0.59602355,0.10363516,0.02241906,0.12096875
5.56778389,0.89621067,0.03646783,0.05077360,0.43684335,0.07643418,0.56872056,0.10172098,0.02131949,0.11577596
5.57378689,0.86003081,0.03715646,0.04795918,0.42325176,0.07288365,0.53910221,0.09942720,0.02012925,0.11010226
5.57978989,0.82083264,0.03769678,0.04502784,0.40810806,0.06907559,0.50770252,0.09679078,0.01886969,0.10404943
5.58579290,0.77927898,0.03807378,0.04203355,0.39166220,0.06507515,0.47506864,0.09385331,0.01756244,0.09772144
5.59179590,0.73603553,0.03827488,0.03903221,0.37416808,0.06094690,0.44174554,0.09065987,0.01622874,0.09122146
5.59779890,0.69175407,0.03829021,0.03608048,0.35587739,0.05675317,0.40826230,0.08725807,0.01488889,0.08464925
5.60380190,0.64705821,0.03811300,0.03323487,0.33703433,0.05255257,0.37512034,0.08369736,0.01356176,0.07809881
5.60980490,0.60253193,0.03773983,0.03055107,0.31787147,0.04839888,0.34278407,0.08002844,0.01226433,0.07165653
5.61580790,0.55871113,0.03717080,0.02808353,0.29860656,0.04434010,0.31167401,0.07630288,0.01101147,0.06539986
5.62181091,0.51607807,0.03640964,0.02588530,0.27944046,0.04041793,0.28216250,0.07257296,0.00981567,0.05939634
5.62781391,0.47505870,0.03546375,0.02400811,0.26055599,0.03666743,0.25457181,0.06889161,0.00868693,0.05370325
5.63381691,0.43602241,0.03434402,0.02250264,0.24211756,0.03311705,0.22917460,0.06531235,0.00763280,0.04836752
5.63981991,0.39928395,0.03306463,0.02141885,0.22427150,0.02978874,0.20619609,0.06188943,0.00665845,0.04342619
5.64582291,0.36510690,0.03164271,0.02080651,0.20714683,0.02669845,0.18581793,0.05867778,0.00576678,0.03890701
5.65182591,0.33370829,0.03009785,0.02071553,0.19085636,0.02385658,0.16818298,0.05573304,0.00495866,0.03482938
5.65782891,0.30526385,0.02845160,0.02119644,0.17549784,0.02126863,0.15340071,0.05311139,0.00423317,0.03120537
5.66383192,0.27991335,0.02672686,0.02230046,0.16115522,0.01893592,0.14155280,0.05086931,0.00358788,0.02804085
5.66983492,0.25776573,0.02494726,0.02407958,0.14789967,0.01685623,0.13269831,0.04906312,0.00301912,0.02533660
5.67583792,0.23890353,0.02313652,0.02658620,0.13579041,0.01502452,0.12687836,0.04774834,0.00252228,0.02308937
5.68184092,0.22338656,0.02131780,0.02987253,0.12487532,0.01343352,0.12411974,0.04697895,0.00209207,0.02129279
5.68784392,0.21125441,0.01951317,0.03398962,0.11519120,0.01207427,0.12443741,0.04680632,0.00172277,0.01993822
5.69384692,0.20252793,0.01774305,0.03898609,0.10676378,0.01093661,0.12783581,0.04727815,0.00140848,0.01901530
5.69984992,0.19720961,0.01602581,0.04490649,0.09960744,0.01000950,0.13430878,0.04843716,0.00114326,0.01851248
5.70585293,0.19528292,0.01437744,0.05178944,0.09372484,0.00928135,0.14383841,0.05031973,0.00092131,0.01841722
5.71185593,0.19671091,0.01281130,0.05966555,0.08910630,0.00874017,0.15639277,0.05295455,0.00073712,0.01871616
5.71785893,0.20143414,0.01133803,0.06855522,0.08572922,0.00837369,0.17192288,0.05636123,0.00058552,0.01939508
5.72386193,0.20936833,0.00996547,0.07846651,0.08355754,0.00816946,0.19035915,0.06054906,0.00046176,0.02043877
5.72986493,0.22040193,0.00869880,0.08939307,0.08254127,0.00811478,0.21160773,0.06551591,0.00036154,0.02183087
5.73586793,0.23439397,0.00754066,0.10131234,0.08261631,0.00819674,0.23554689,0.07124731,0.00028104,0.02355358
5.74187094,0.25117242,0.00649136,0.11418417,0.08370448,0.00840217,0.26202407,0.07771592,0.00021690,0.02558752
5.74787394,0.27053332,0.00554917,0.12794989,0.08571393,0.00871759,0.29085365,0.08488124,0.00016619,0.02791149
5.75387694,0.29224091,0.00471059,0.14253200,0.08853991,0.00912922,0.32181589,0.09268976,0.00012642,0.03050233
5.75987994,0.31602884,0.00397072,0.15783446,0.09206599,0.00962298,0.35465715,0.10107554,0.00009548,0.03333494
5.76588294,0.34160260,0.00332356,0.17374375,0.09616567,0.01018451,0.38909154,0.10996108,0.00007160,0.03638225
5.77188594,0.36864308,0.00276229,0.19013053,0.10070442,0.01079928,0.42480392,0.11925874,0.00005330,0.03961543
5.77788894,0.39681128,0.00227961,0.20685199,0.10554209,0.01145267,0.46145440,0.12887240,0.00003939,0.04300409
5.78389195,0.42575390,0.00186797,0.22375468,0.11053564,0.01213018,0.49868389,0.13869945,0.00002891,0.04651661
5.78989495,0.45510958,0.00151983,0.24067784,0.11554209,0.01281751,0.53612066,0.14863296,0.00002106,0.05012051
5.79589795,0.48451566,0.00122781,0.25745686,0.12042168,0.01350086,0.57338738,0.15856403,0.00001523,0.05378281
5.80190095,0.51361485,0.00098486,0.27392700,0.12504092,0.01416709,0.61010852,0.16838405,0.00001094,0.05747053
5.80790395,0.54206184,0.00078436,0.28992687,0.12927572,0.01480392,0.64591746,0.17798691,0.00000780,0.06115095
5.81390695,0.56952916,0.00062024,0.30530169,0.13301421,0.01540017,0.68046308,0.18727102,0.00000552,0.06479204
5.81990995,0.59571229,0.00048696,0.31990616,0.13615926,0.01594589,0.71341548,0.19614102,0.00000388,0.06836267
5.82591296,0.62033368,0.00037960,0.33360672,0.13863051,0.01643255,0.74447051,0.20450910,0.00000271,0.07183277
5.83191596,0.64314549,0.00029380,0.34628319,0.14036602,0.01685309,0.77335298,0.21229597,0.00000188,0.07517346
5.83791896,0.66393108,0.00022577,0.35782979,0.14132314,0.01720201,0.79981844,0.21943139,0.00000129,0.07835704
5.84392196,0.68250526,0.00017225,0.36815539,0.14147892,0.01747538,0.82365366,0.22585426,0.00000088,0.08135688
5.84992496,0.69871343,0.00013048,0.37718332,0.14082978,0.01767078,0.84467582,0.23151244,0.00000060,0.08414739
5.85592796,0.71242974,0.00009813,0.38485056,0.13939058,0.01778723,0.86273082,0.23636223,0.00000041,0.08670384
5.86193097,0.72355471,0.00007327,0.39110667,0.13719319,0.01782508,0.87769090,0.24036764,0.00000028,0.08900230
5.86793397,0.73201246,0.00005432,0.39591255,0.13428452,0.01778584,0.88945205,0.24349968,0.00000020,0.09101956
5.87393697,0.73774804,0.00003998,0.39923920,0.13072419,0.01767199,0.89793144,0.24573555,0.00000015,0.09273319
5.87993997,0.74072491,0.00002922,0.40106656,0.12658193,0.01748687,0.90306540,0.24705802,0.00000012,0.09412168
5.88594297,0.74092316,0.00002120,0.40138281,0.12193490,0.01723444,0.90480811,0.24745503,0.00000011,0.09516475
5.89194597,0.73833841,0.00001527,0.40018393,0.11686487,0.01691913,0.90313118,0.24691945,0.00000013,0.09584372
5.89794897,0.73298154,0.00001092,0.39747377,0.11145568,0.01654571,0.89802437,0.24544929,0.00000016,0.09614207
5.90395198,0.72487941,0.00000776,0.39326459,0.10579072,0.01611912,0.88949729,0.24304803,0.00000022,0.09604609
5.90995498,0.71407626,0.00000547,0.38757797,0.09995089,0.01564444,0.87758196,0.23972527,0.00000031,0.09554556
5.91595798,0.70063577,0.00000383,0.38044601,0.09401276,0.01512676,0.86233606,0.23549763,0.00000044,0.09463450
5.92196098,0.68464345,0.00000266,0.37191278,0.08804722,0.01457114,0.84384642,0.23038961,0.00000063,0.09331190
5.92796398,0.66620919,0.00000183,0.36203566,0.08211857,0.01398265,0.82223253,0.22443455,0.00000091,0.09158237
5.93396698,0.64546938,0.00000126,0.35088659,0.07628389,0.01336630,0.79764951,0.21767537,0.00000128,0.08945666
5.93996998,0.62258867,0.00000085,0.33855292,0.07059297,0.01272707,0.77029020,0.21016525,0.00000181,0.08695201
5.94597299,0.59776078,0.00000058,0.32513783,0.06508846,0.01206995,0.74038616,0.20196776,0.00000254,0.08409236
5.95197599,0.57120825,0.00000039,0.31076012,0.05980635,0.01139994,0.70820710,0.19315684,0.00000353,0.08090826
5.95797899,0.54318114,0.00000026,0.29555329,0.05477674,0.01072204,0.67405878,0.18381618,0.00000487,0.07743661
5.96398199,0.51395436,0.00000017,0.27966395,0.05002472,0.01004130,0.63827929,0.17403827,0.00000667,0.07372016
5.96998499,0.48382396,0.00000011,0.26324962,0.04557145,0.00936278,0.60123370,0.16392295,0.00000908,0.06980682
5.97598799,0.45310238,0.00000007,0.24647585,0.04143525,0.00869151,0.56330747,0.15357568,0.00001227,0.06574881
5.98199100,0.42211289,0.00000005,0.22951294,0.03763278,0.00803253,0.52489879,0.14310548,0.00001646,0.06160166
5.98799400,0.39118353,0.00000003,0.21253236,0.03418023,0.00739077,0.48641014,0.13262271,0.00002192,0.05742325
5.99399700,0.36064083,0.00000002,0.19570305,0.03109437,0.00677105,0.44823975,0.12223675,0.00002899,0.05327266
6.00000000,0.33080374,0.00000001,0.17918771,0.02839368,0.00617803,0.41077312,0.11205376,0.00003805,0.04920927
