energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.32751941,0.00659157,0.05154775,0.02161282,1.52230065,1.46122926,0.43707890
-5.99399700,2.41751070,0.00644493,0.05409046,0.02132989,1.58270813,1.52644436,0.45708426
-5.98799400,2.50972682,0.00630287,0.05677982,0.02102957,1.64453237,1.59416082,0.47753740
-5.98199100,2.60304878,0.00616665,0.05960967,0.02071602,1.70699635,1.66354322,0.49822731
-5.97598799,2.69619323,0.00603705,0.06257343,0.02039196,1.76921065,1.73363577,0.51891155
-5.96998499,2.78774275,0.00591428,0.06566464,0.02005858,1.83019377,1.80338321,0.53932165
-5.96398199,2.87618274,0.00579809,0.06887738,0.01971565,1.88889706,1.87165579,0.55916985
-5.95797899,2.95994334,0.00568773,0.07220663,0.01936163,1.94423320,1.93727769,0.57815683
-5.95197599,3.03744498,0.00558206,0.07564845,0.01899388,1.99510732,1.99905791,0.59598019
-5.94597299,3.10714565,0.00547962,0.07920002,0.01860895,2.04044949,2.05582252,0.61234323
-5.93996998,3.16758798,0.00537873,0.08285945,0.01820290,2.07924740,2.10644721,0.62696384
-5.93396698,3.21744430,0.00527759,0.08662535,0.01777163,2.11057788,2.14988897,0.63958292
-5.92796398,3.25555767,0.00517440,0.09049620,0.01731123,2.13363593,2.18521573,0.64997217
-5.92196098,3.28097746,0.00506746,0.09446961,0.01681829,2.14776025,2.21163290,0.65794073
-5.91595798,3.29298779,0.00495524,0.09854130,0.01629023,2.15245410,2.22850581,0.66334064
-5.90995498,3.29112804,0.00483651,0.10270411,0.01572545,2.14740074,2.23537730,0.66607068
-5.90395198,3.27520446,0.00471036,0.10694692,0.01512359,2.13247293,2.23197971,0.66607864
-5.89794897,3.24529286,0.00457624,0.11125370,0.01448555,2.10773605,2.21824106,0.66336184
-5.89194597,3.20173219,0.00443404,0.11560264,0.01381358,2.07344488,2.19428499,0.65796607
-5.88594297,3.14510979,0.00428400,0.11996559,0.01311117,2.03003431,2.16042476,0.64998291
-5.87993997,3.07623902,0.00412676,0.12430778,0.01238298,1.97810433,2.11715145,0.63954574
-5.87393697,2.99613052,0.00396329,0.12858794,0.01163467,1.91840024,2.06511706,0.62682462
-5.86793397,2.90595851,0.00379483,0.13275889,0.01087264,1.85178871,2.00511304,0.61202032
-5.86193097,2.80702371,0.00362281,0.13676858,0.01010386,1.77923099,1.93804541,0.59535785
-5.85592796,2.70071463,0.00344883,0.14056159,0.00933555,1.70175433,1.86490733,0.57707975
-5.84992496,2.58846872,0.00327450,0.14408115,0.00857497,1.62042267,1.78675023,0.55743955
-5.84392196,2.47173517,0.00310144,0.14727148,0.00782914,1.53630800,1.70465481,0.53669556
-5.83791896,2.35194060,0.00293118,0.15008057,0.00710465,1.45046319,1.61970286,0.51510534
-5.83191596,2.23045891,0.00276508,0.15246304,0.00640743,1.36389745,1.53295094,0.49292096
-5.82591296,2.10858614,0.00260433,0.15438321,0.00574267,1.27755510,1.44540695,0.47038529
-5.81990995,1.98752089,0.00244987,0.15581810,0.00511461,1.19229822,1.35801010,0.44772922
-5.81390695,1.86835069,0.00230239,0.15676023,0.00452660,1.10889362,1.27161507,0.42516999
-5.80790395,1.75204409,0.00216236,0.15722003,0.00398097,1.02800428,1.18698040,0.40291041
-5.80190095,1.63944822,0.00202996,0.15722792,0.00347912,0.95018506,1.10476141,0.38113893
-5.79589795,1.53129118,0.00190516,0.15683556,0.00302152,0.87588261,1.02550743,0.36003038
-5.78989495,1.42818839,0.00178775,0.15611659,0.00260784,0.80543891,0.94966291,0.33974719
-5.78389195,1.33065200,0.00167735,0.15516640,0.00223700,0.73909796,0.87757219,0.32044082
-5.77788894,1.23910224,0.00157344,0.15410109,0.00190732,0.67701491,0.80948696,0.30225321
-5.77188594,1.15387970,0.00147547,0.15305552,0.00161661,0.61926695,0.74557598,0.28531810
-5.76588294,1.07525750,0.00138282,0.15218049,0.00136233,0.56586521,0.68593624,0.26976193
-5.75987994,1.00345247,0.00129487,0.15163902,0.00114166,0.51676708,0.63060466,0.25570415
-5.75387694,0.93863461,0.00121105,0.15160189,0.00095164,0.47188825,0.57956996,0.24325705
-5.74787394,0.88093419,0.00113086,0.15224252,0.00078926,0.43111392,0.53278377,0.23252472
-5.74187094,0.83044632,0.00105386,0.15373131,0.00065157,0.39430887,0.49017074,0.22360145
-5.73586793,0.78723274,0.00097971,0.15622964,0.00053569,0.36132610,0.45163717,0.21656939
-5.72986493,0.75132106,0.00090817,0.15988371,0.00043891,0.33201376,0.41707794,0.21149579
-5.72386193,0.72270163,0.00083910,0.16481838,0.00035875,0.30622044,0.38638173,0.20842970
-5.71785893,0.70132269,0.00077246,0.17113138,0.00029294,0.28379894,0.35943450,0.20739862
-5.71185593,0.68708434,0.00070826,0.17888791,0.00023948,0.26460843,0.33612142,0.20840508
-5.70585293,0.67983202,0.00064659,0.18811608,0.00019663,0.24851561,0.31632744,0.21142353
-5.69984992,0.67935038,0.00058761,0.19880317,0.00016293,0.23539472,0.29993686,0.21639773
-5.69384692,0.68535816,0.00053149,0.21089317,0.00013717,0.22512697,0.28683218,0.22323880
-5.68784392,0.69750483,0.00047843,0.22428554,0.00011843,0.21759959,0.27689255,0.23182427
-5.68184092,0.71536969,0.00042862,0.23883545,0.00010604,0.21270473,0.26999210,0.24199828
-5.67583792,0.73846366,0.00038228,0.25435560,0.00009960,0.21033839,0.26599855,0.25357285
-5.66983492,0.76623434,0.00033957,0.27061955,0.00009895,0.21039966,0.26477216,0.26633061
-5.66383192,0.79807419,0.00030069,0.28736663,0.00010421,0.21279033,0.26616518,0.28002877
-5.65782891,0.83333186,0.00026578,0.30430830,0.00011573,0.21741479,0.27002205,0.29440430
-5.65182591,0.87132637,0.00023498,0.32113574,0.00013412,0.22418045,0.27618014,0.30918023
-5.64582291,0.91136359,0.00020843,0.33752861,0.00016027,0.23299845,0.28447115,0.32407291
-5.63981991,0.95275440,0.00018627,0.35316446,0.00019532,0.24378453,0.29472294,0.33879982
-5.63381691,0.99483379,0.00016863,0.36772861,0.00024071,0.25646013,0.30676182,0.35308786
-5.62781391,1.03697985,0.00015568,0.38092417,0.00029814,0.27095327,0.32041492,0.36668148
-5.62181091,1.07863194,0.00014761,0.39248158,0.00036959,0.28719935,0.33551264,0.37935067
-5.61580790,1.11930691,0.00014467,0.40216757,0.00045735,0.30514144,0.35189096,0.39089804
-5.60980490,1.15861266,0.00014715,0.40979288,0.00056394,0.32473012,0.36939334,0.40116498
-5.60380190,1.19625811,0.00015541,0.41521861,0.00069218,0.34592269,0.38787228,0.41003650
-5.59779890,1.23205919,0.00016986,0.41836086,0.00084508,0.36868162,0.40719018,0.41744436
-5.59179590,1.26594021,0.00019102,0.41919334,0.00102587,0.39297233,0.42721972,0.42336856
-5.58579290,1.29793058,0.00021945,0.41774804,0.00123791,0.41876024,0.44784351,0.42783695
-5.57978989,1.32815692,0.00025580,0.41411374,0.00148465,0.44600716,0.46895321,0.43092294
-5.57378689,1.35683079,0.00030079,0.40843261,0.00176955,0.47466722,0.49044807,0.43274153
-5.56778389,1.38423268,0.00035518,0.40089488,0.00209598,0.50468248,0.51223310,0.43344371
-5.56178089,1.41069305,0.00041979,0.39173199,0.00246713,0.53597839,0.53421701,0.43320953
-5.55577789,1.43657123,0.00049546,0.38120857,0.00288590,0.56845945,0.55631004,0.43224023
-5.54977489,1.46223343,0.00058303,0.36961345,0.00335481,0.60200528,0.57842198,0.43074972
-5.54377189,1.48803101,0.00068333,0.35725034,0.00387583,0.63646748,0.60046047,0.42895588
-5.53776888,1.51428003,0.00079717,0.34442845,0.00445034,0.67166740,0.62232989,0.42707209
-5.53176588,1.54124350,0.00092527,0.33145360,0.00507894,0.70739533,0.64393097,0.42529935
-5.52576288,1.56911704,0.00106828,0.31862007,0.00576141,0.74341110,0.66516128,0.42381947
-5.51975988,1.59801912,0.00122674,0.30620362,0.00649662,0.77944647,0.68591674,0.42278951
-5.51375688,1.62798619,0.00140107,0.29445588,0.00728246,0.81520923,0.70609415,0.42233785
-5.50775388,1.65897332,0.00159155,0.28360035,0.00811579,0.85038922,0.72559488,0.42256189
-5.50175088,1.69086019,0.00179830,0.27382992,0.00899246,0.88466601,0.74432948,0.42352763
-5.49574787,1.72346244,0.00202129,0.26530616,0.00990731,0.91771823,0.76222328,0.42527095
-5.48974487,1.75654756,0.00226034,0.25816005,0.01085424,0.94923415,0.77922264,0.42780052
-5.48374187,1.78985476,0.00251512,0.25249409,0.01182627,0.97892321,0.79530159,0.43110213
-5.47773887,1.82311760,0.00278517,0.24838551,0.01281563,1.00652809,0.81046874,0.43514420
-5.47173587,1.85608829,0.00306991,0.24589036,0.01381395,1.03183668,0.82477382,0.43988401
-5.46573287,1.88856225,0.00336866,0.24504803,0.01481236,1.05469351,0.83831372,0.44527441
-5.45972986,1.92040157,0.00368068,0.24588600,0.01580164,1.07501010,0.85123745,0.45127053
-5.45372686,1.95155609,0.00400517,0.24842450,0.01677245,1.09277351,0.86374981,0.45783620
-5.44772386,1.98208069,0.00434131,0.25268058,0.01771544,1.10805281,0.87611325,0.46494953
-5.44172086,2.01214801,0.00468826,0.25867168,0.01862146,1.12100291,0.88864770,0.47260759
-5.43571786,2.04205542,0.00504521,0.26641813,0.01948171,1.13186541,0.90172823,0.48082972
-5.42971486,2.07222593,0.00541133,0.27594467,0.02028786,1.14096640,0.91578016,0.48965938
-5.42371186,2.10320263,0.00578580,0.28728086,0.02103222,1.14871094,0.93127181,0.49916443
-5.41770885,2.13563672,0.00616780,0.30046022,0.02170781,1.15557448,0.94870475,0.50943580
-5.41170585,2.17026939,0.00655646,0.31551835,0.02230847,1.16209129,0.96860184,0.52058452
-5.40570285,2.20790832,0.00695082,0.33248986,0.02282893,1.16884029,0.99149322,0.53273736
-5.39969985,2.24939933,0.00734984,0.35140455,0.02326487,1.17642871,1.01790064,0.54603123
-5.39369685,2.29559461,0.00775230,0.37228273,0.02361291,1.18547410,1.04832055,0.56060644
