energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,4.41362116,0.01224056,0.54875494,1.01960709,0.92016144,1.12369348,0.92453411,0.02106551,2.16615934
-5.99399700,4.44323252,0.01238508,0.54458278,1.03199481,0.92823645,1.14348877,0.92683866,0.02155076,2.18718029
-5.98799400,4.46043390,0.01250649,0.53861654,1.04148171,0.93379933,1.16057698,0.92652240,0.02191013,2.20218293
-5.98199100,4.46549592,0.01260207,0.53099674,1.04800242,0.93691602,1.17487670,0.92368303,0.02213625,2.21121023
-5.97598799,4.45882664,0.01266894,0.52188222,1.05152145,0.93768478,1.18633454,0.91844360,0.02222463,2.21437626
-5.96998499,4.44095371,0.01270417,0.51144417,1.05203212,0.93623302,1.19492269,0.91094861,0.02217376,2.21186010
-5.96398199,4.41250796,0.01270494,0.49986046,1.04955591,0.93271421,1.20063678,0.90136056,0.02198513,2.20390004
-5.95797899,4.37420879,0.01266857,0.48731048,1.04414224,0.92730470,1.20349401,0.88985727,0.02166317,2.19078832
-5.95197599,4.32685137,0.01259272,0.47397071,1.03586846,0.92020069,1.20353184,0.87662962,0.02121508,2.17286617
-5.94597299,4.27129548,0.01247548,0.46001089,1.02484004,0.91161519,1.20080688,0.86187986,0.02065058,2.15051938
-5.93996998,4.20845583,0.01231544,0.44559111,1.01119069,0.90177499,1.19539421,0.84582023,0.01998164,2.12417399
-5.93396698,4.13929340,0.01211186,0.43085954,0.99508233,0.89091764,1.18738687,0.82867182,0.01922202,2.09429213
-5.92796398,4.06480743,0.01186470,0.41595093,0.97670464,0.87928837,1.17689557,0.81066350,0.01838693,2.06136780
-5.92196098,3.98602750,0.01157466,0.40098579,0.95627421,0.86713691,1.16404849,0.79203076,0.01749252,2.02592245
-5.91595798,3.90400554,0.01124324,0.38607016,0.93403291,0.85471420,1.14899106,0.77301428,0.01655548,1.98850013
-5.90995498,3.81980700,0.01087273,0.37129579,0.91024573,0.84226893,1.13188563,0.75385827,0.01559255,1.94966226
-5.90395198,3.73450131,0.01046613,0.35674086,0.88519773,0.83004400,1.11291094,0.73480831,0.01462013,1.90998169
-5.89794897,3.64915113,0.01002716,0.34247080,0.85919028,0.81827273,1.09226135,0.71610884,0.01365392,1.87003625
-5.89194597,3.56480044,0.00956013,0.32853946,0.83253669,0.80717509,1.07014566,0.69800013,0.01270854,1.83040159
-5.88594297,3.48246155,0.00906984,0.31499025,0.80555714,0.79695375,1.04678549,0.68071493,0.01179732,1.79164347
-5.87993997,3.40310104,0.00856149,0.30185740,0.77857313,0.78779030,1.02241326,0.66447475,0.01093207,1.75430946
-5.87393697,3.32762501,0.00804048,0.28916714,0.75190170,0.77984143,0.99726951,0.64948591,0.01012299,1.71892026
-5.86793397,3.25686384,0.00751234,0.27693874,0.72584932,0.77323544,0.97159983,0.63593554,0.00937851,1.68596078
-5.86193097,3.19155696,0.00698253,0.26518556,0.70070593,0.76806902,0.94565122,0.62398754,0.00870540,1.65587102
-5.85592796,3.13233799,0.00645638,0.25391580,0.67673908,0.76440451,0.91966795,0.61377871,0.00810870,1.62903715
-5.84992496,3.07972073,0.00593886,0.24313325,0.65418841,0.76226769,0.89388716,0.60541518,0.00759188,1.60578289
-5.84392196,3.03408655,0.00543456,0.23283781,0.63326070,0.76164626,0.86853405,0.59896928,0.00715691,1.58636141
-5.83791896,2.99567356,0.00494759,0.22302593,0.61412551,0.76248906,0.84381710,0.59447692,0.00680442,1.57094813
-5.83191596,2.96456800,0.00448144,0.21369093,0.59691162,0.76470617,0.81992325,0.59193557,0.00653386,1.55963450
-5.82591296,2.94069842,0.00403903,0.20482325,0.58170435,0.76816982,0.79701334,0.59130304,0.00634359,1.55242317
-5.81990995,2.92383272,0.00362262,0.19641063,0.56854381,0.77271629,0.77521801,0.59249696,0.00623111,1.54922467
-5.81390695,2.91357861,0.00323383,0.18843826,0.55742417,0.77814861,0.75463427,0.59539518,0.00619312,1.54985587
-5.80790395,2.90938754,0.00287367,0.18088897,0.54829400,0.78424023,0.73532278,0.59983691,0.00622566,1.55404045
-5.80190095,2.91056222,0.00254254,0.17374332,0.54105761,0.79073943,0.71730630,0.60562490,0.00632417,1.56141142
-5.79589795,2.91626785,0.00224033,0.16697984,0.53557745,0.79737441,0.70056903,0.61252833,0.00648361,1.57151591
-5.78989495,2.92554687,0.00196646,0.16057519,0.53167748,0.80385898,0.68505735,0.62028664,0.00669843,1.58382221
-5.78389195,2.93733708,0.00171995,0.15450443,0.52914752,0.80989877,0.67068166,0.62861413,0.00696265,1.59772900
-5.77788894,2.95049294,0.00149948,0.14874129,0.52774834,0.81519762,0.65731940,0.63720531,0.00726986,1.61257679
-5.77188594,2.96380945,0.00130349,0.14325847,0.52721758,0.81946418,0.64481931,0.64574085,0.00761323,1.62766125
-5.76588294,2.97604825,0.00113026,0.13802797,0.52727615,0.82241839,0.63300653,0.65389414,0.00798550,1.64224824
-5.75987994,2.98596537,0.00097793,0.13302149,0.52763515,0.82379791,0.62168856,0.66133819,0.00837903,1.65559025
-5.75387694,2.99233975,0.00084463,0.12821075,0.52800298,0.82336396,0.61066187,0.66775285,0.00878580,1.66694370
-5.74787394,2.99400208,0.00072847,0.12356792,0.52809253,0.82090683,0.59971867,0.67283203,0.00919749,1.67558678
-5.74187094,2.98986286,0.00062763,0.11906601,0.52762825,0.81625066,0.58865395,0.67629086,0.00960553,1.68083721
-5.73586793,2.97893906,0.00054034,0.11467921,0.52635288,0.80925735,0.57727218,0.67787256,0.01000125,1.68206941
-5.72986493,2.96037858,0.00046499,0.11038336,0.52403365,0.79982978,0.56539362,0.67735474,0.01037594,1.67873048
-5.72386193,2.93348156,0.00040006,0.10615623,0.52046778,0.78791385,0.55285996,0.67455502,0.01072108,1.67035459
-5.71785893,2.89771811,0.00034418,0.10197795,0.51548705,0.77349969,0.53953910,0.66933570,0.01102848,1.65657509
-5.71185593,2.85274166,0.00029614,0.09783128,0.50896147,0.75662176,0.52532883,0.66160746,0.01129048,1.63713401
-5.70585293,2.79839755,0.00025485,0.09370192,0.50080173,0.73735790,0.51015948,0.65133172,0.01150015,1.61188871
-5.69984992,2.73472660,0.00021935,0.08957877,0.49096051,0.71582745,0.49399531,0.63852180,0.01165146,1.58081524
-5.69384692,2.66196355,0.00018882,0.08545410,0.47943261,0.69218843,0.47683474,0.62324268,0.01173950,1.54400841
-5.68784392,2.58053026,0.00016256,0.08132366,0.46625388,0.66663390,0.45870941,0.60560948,0.01176061,1.50167864
-5.68184092,2.49102424,0.00013996,0.07718673,0.45149905,0.63938757,0.43968226,0.58578455,0.01171253,1.45414564
-5.67583792,2.39420265,0.00012050,0.07304610,0.43527848,0.61069889,0.41984456,0.56397345,0.01159445,1.40182914
-5.66983492,2.29096258,0.00010374,0.06890788,0.41773419,0.58083772,0.39931227,0.54041987,0.01140706,1.34523722
-5.66383192,2.18231816,0.00008933,0.06478133,0.39903501,0.55008874,0.37822175,0.51539975,0.01115256,1.28495254
-5.65782891,2.06937554,0.00007694,0.06067846,0.37937135,0.51874576,0.35672515,0.48921468,0.01083456,1.22161707
-5.65182591,1.95330641,0.00006632,0.05661367,0.35894956,0.48710618,0.33498546,0.46218502,0.01045800,1.15591589
-5.64582291,1.83532118,0.00005726,0.05260327,0.33798627,0.45546562,0.31317167,0.43464281,0.01002898,1.08856061
-5.63981991,1.71664248,0.00004956,0.04866488,0.31670269,0.42411297,0.29145400,0.40692481,0.00955456,1.02027303
-5.63381691,1.59848005,0.00004307,0.04481687,0.29531929,0.39332597,0.26999944,0.37936578,0.00904255,0.95176956
-5.62781391,1.48200739,0.00003767,0.04107777,0.27405081,0.36336728,0.24896777,0.35229231,0.00850126,0.88374672
-5.62181091,1.36834111,0.00003325,0.03746565,0.25310185,0.33448127,0.22850805,0.32601727,0.00793925,0.81686840
-5.61580790,1.25852312,0.00002971,0.03399756,0.23266311,0.30689150,0.20875570,0.30083496,0.00736509,0.75175479
-5.60980490,1.15350605,0.00002699,0.03068903,0.21290828,0.28079872,0.18983032,0.27701703,0.00678712,0.68897348
-5.60380190,1.05414192,0.00002502,0.02755361,0.19399175,0.25637967,0.17183401,0.25480928,0.00621324,0.62903258
-5.59779890,0.96117410,0.00002375,0.02460252,0.17604692,0.23378634,0.15485042,0.23442914,0.00565073,0.57237600
-5.59179590,0.87523231,0.00002315,0.02184440,0.15918539,0.21314573,0.13894441,0.21606388,0.00510607,0.51938065
-5.58579290,0.79683026,0.00002317,0.01928520,0.14349657,0.19456001,0.12416218,0.19986941,0.00458489,0.47035552
-5.57978989,0.72636581,0.00002379,0.01692807,0.12904808,0.17810700,0.11053192,0.18596968,0.00409181,0.42554227
-5.57378689,0.66412295,0.00002499,0.01477350,0.11588647,0.16384079,0.09806490,0.17445631,0.00363051,0.38511715
