energy_ev,total_up,P_s_up,P_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,4.44795336,0.00650182,0.59489934,2.29157976,2.92084125,0.00350375,0.82599785
-5.99399700,4.46890907,0.00678491,0.59886418,2.25001236,2.94744624,0.00348496,0.82863839
-5.98799400,4.48281785,0.00707162,0.60227202,2.20258841,2.96978813,0.00347321,0.82988031
-5.98199100,4.48954829,0.00735635,0.60507738,2.14996267,2.98761911,0.00347078,0.82971384
-5.97598799,4.48902029,0.00763329,0.60722766,2.09283104,3.00071913,0.00348038,0.82814496
-5.96998499,4.48121957,0.00789663,0.60866714,2.03191936,3.00891018,0.00350513,0.82519667
-5.96398199,4.46621286,0.00814068,0.60934175,1.96797315,3.01207112,0.00354851,0.82091003
-5.95797899,4.44416251,0.00836007,0.60920405,1.90174833,3.01015196,0.00361427,0.81534491
-5.95197599,4.41533944,0.00854986,0.60821828,1.83400278,3.00318674,0.00370640,0.80858042
-5.94597299,4.38013335,0.00870570,0.60636499,1.76548864,2.99130410,0.00382896,0.80071490
-5.93996998,4.33905923,0.00882391,0.60364496,1.69694525,2.97473469,0.00398607,0.79186552
-5.93396698,4.29275921,0.00890160,0.60008212,1.62909257,2.95381483,0.00418170,0.78216737
-5.92796398,4.24199922,0.00893670,0.59572519,1.56262479,2.92898568,0.00441964,0.77177211
-5.92196098,4.18766001,0.00892802,0.59064788,1.49820414,2.90078788,0.00470331,0.76084605
-5.91595798,4.13072234,0.00887524,0.58494762,1.43645456,2.86985131,0.00503568,0.74956780
-5.90995498,4.07224658,0.00877893,0.57874278,1.37795540,2.83688031,0.00541910,0.73812541
-5.90395198,4.01334718,0.00864047,0.57216846,1.32323487,2.80263464,0.00585523,0.72671306
-5.89794897,3.95516276,0.00846203,0.56537114,1.27276349,2.76790683,0.00634491,0.71552738
-5.89194597,3.89882293,0.00824647,0.55850228,1.22694743,2.73349691,0.00688807,0.70476344
-5.88594297,3.84541301,0.00799726,0.55171142,1.18612204,2.70018533,0.00748363,0.69461051
-5.87993997,3.79593832,0.00771839,0.54513896,1.15054572,2.66870555,0.00812948,0.68524775
-5.87393697,3.75128951,0.00741422,0.53890915,1.12039442,2.63971728,0.00882244,0.67683986
-5.86793397,3.71221060,0.00708943,0.53312358,1.09575702,2.61378191,0.00955823,0.66953301
-5.86193097,3.67927140,0.00674885,0.52785568,1.07663196,2.59134119,0.01033155,0.66345101
-5.85592796,3.65284566,0.00639737,0.52314638,1.06292540,2.57270039,0.01113609,0.65869208
-5.84992496,3.63309635,0.00603986,0.51900136,1.05445117,2.55801685,0.01196465,0.65532624
-5.84392196,3.61996879,0.00568101,0.51538997,1.05093286,2.54729453,0.01280927,0.65339346
-5.83791896,3.61319241,0.00532532,0.51224594,1.05200811,2.54038502,0.01366136,0.65290278
-5.83191596,3.61229100,0.00497698,0.50946985,1.05723527,2.53699504,0.01451190,0.65383241
-5.82591296,3.61660140,0.00463980,0.50693327,1.06610236,2.53670002,0.01535160,0.65613070
-5.81990995,3.62529955,0.00431720,0.50448432,1.07803829,2.53896326,0.01617116,0.65971819
-5.81390695,3.63743287,0.00401214,0.50195444,1.09242592,2.54315957,0.01696144,0.66449048
-5.80790395,3.65195731,0.00372712,0.49916593,1.10861687,2.54860223,0.01771371,0.67032175
-5.80190095,3.66777716,0.00346415,0.49593995,1.12594727,2.55457180,0.01841982,0.67706885
-5.79589795,3.68378570,0.00322478,0.49210443,1.14375421,2.56034529,0.01907242,0.68457573
-5.78989495,3.69890442,0.00301007,0.48750170,1.16139205,2.56522410,0.01966510,0.69267779
-5.78389195,3.71211895,0.00282067,0.48199525,1.17824812,2.56855928,0.02019250,0.70120611
-5.77788894,3.72250990,0.00265676,0.47547538,1.19375709,2.56977275,0.02065047,0.70999128
-5.77188594,3.72927704,0.00251815,0.46786352,1.20741352,2.56837363,0.02103606,0.71886650
-5.76588294,3.73175594,0.00240428,0.45911496,1.21878207,2.56396873,0.02134758,0.72767003
-5.75987994,3.72942653,0.00231427,0.44921998,1.22750510,2.55626717,0.02158456,0.73624675
-5.75387694,3.72191351,0.00224691,0.43820333,1.23330741,2.54507899,0.02174770,0.74444893
-5.74787394,3.70897941,0.00220078,0.42612222,1.23599809,2.53030830,0.02183878,0.75213628
-5.74187094,3.69051108,0.00217420,0.41306294,1.23546969,2.51194188,0.02186057,0.75917540
-5.73586793,3.66650135,0.00216531,0.39913644,1.23169491,2.49003426,0.02181667,0.76543891
-5.72986493,3.63702751,0.00217212,0.38447305,1.22472125,2.46469068,0.02171145,0.77080447
-5.72386193,3.60222861,0.00219249,0.36921676,1.21466419,2.43604929,0.02154983,0.77515406
-5.71785893,3.56228349,0.00222426,0.35351941,1.20169940,2.40426422,0.02133724,0.77837356
