energy_ev,total_up,Au_p_up,Au_d_up,In_p_up,In_d_up,S_s_up,S_p_up
-6.00000000,3.00027899,0.31848537,1.72717227,0.21571259,0.00406566,0.12613927,0.26909723
-5.99399700,2.95456740,0.29529819,1.73118206,0.20381997,0.00367396,0.12927248,0.27273505
-5.98799400,2.91487881,0.27485539,1.73609563,0.19304144,0.00332316,0.13194231,0.27611230
-5.98199100,2.87985835,0.25698576,1.74119525,0.18327087,0.00301114,0.13409687,0.27907778
-5.97598799,2.84817106,0.24149124,1.74580485,0.17439642,0.00273537,0.13569377,0.28149425
-5.96998499,2.81854938,0.22815598,1.74931166,0.16630511,0.00249310,0.13670120,0.28324206
-5.96398199,2.78983389,0.21675474,1.75118410,0.15888678,0.00228138,0.13709862,0.28422202
-5.95797899,2.76100618,0.20706053,1.75098565,0.15203743,0.00209725,0.13687707,0.28435740
-5.95197599,2.73121358,0.19885125,1.74838447,0.14566178,0.00193778,0.13603919,0.28359505
-5.94597299,2.69978549,0.19191529,1.74315870,0.13967515,0.00180017,0.13459884,0.28190568
-5.93996998,2.66624159,0.18605595,1.73519762,0.13400477,0.00168182,0.13258042,0.27928335
-5.93396698,2.63029262,0.18109481,1.72449900,0.12859045,0.00158035,0.13001801,0.27574425
-5.92796398,2.59183431,0.17687396,1.71116295,0.12338475,0.00149366,0.12695422,0.27132486
-5.92196098,2.55093573,0.17325735,1.69538297,0.11835282,0.00141997,0.12343891,0.26607964
-5.91595798,2.50782299,0.17013117,1.67743463,0.11347188,0.00135778,0.11952791,0.26007834
-5.90995498,2.46285955,0.16740356,1.65766253,0.10873054,0.00130589,0.11528155,0.25340313
-5.90395198,2.41652435,0.16500366,1.63646635,0.10412798,0.00126342,0.11076338,0.24614562
-5.89794897,2.36938871,0.16288023,1.61428630,0.09967303,0.00122976,0.10603879,0.23840393
-5.89194597,2.32209324,0.16099996,1.59158886,0.09538327,0.00120457,0.10117383,0.23027989
-5.88594297,2.27532546,0.15934549,1.56885312,0.09128416,0.00118774,0.09623407,0.22187649
-5.87993997,2.22979890,0.15791339,1.54655823,0.08740813,0.00117937,0.09128366,0.21329566
-5.87393697,2.18623439,0.15671216,1.52517240,0.08379382,0.00117973,0.08638445,0.20463639
-5.86793397,2.14534367,0.15576016,1.50514350,0.08048521,0.00118926,0.08159524,0.19599326
-5.86193097,2.10781585,0.15508386,1.48689177,0.07753087,0.00120850,0.07697128,0.18745539
-5.85592796,2.07430662,0.15471604,1.47080429,0.07498317,0.00123808,0.07256371,0.17910574
-5.84992496,2.04543013,0.15469433,1.45723168,0.07289743,0.00127869,0.06841922,0.17102088
-5.84392196,2.02175359,0.15505982,1.44648644,0.07133111,0.00133104,0.06457979,0.16327101
-5.83791896,2.00379406,0.15585593,1.43884320,0.07034281,0.00139584,0.06108242,0.15592026
-5.83191596,1.99201720,0.15712734,1.43454029,0.06999129,0.00147377,0.05795908,0.14902734
-5.82591296,1.98683758,0.15891911,1.43378260,0.07033437,0.00156546,0.05523650,0.14264613
-5.81990995,1.98862007,0.16127595,1.43674518,0.07142771,0.00167147,0.05293623,0.13682657
-5.81390695,1.99768183,0.16424143,1.44357748,0.07332353,0.00179222,0.05107453,0.13161537
-5.80790395,2.01429455,0.16785738,1.45440760,0.07606923,0.00192806,0.04966245,0.12705681
-5.80190095,2.03868646,0.17216324,1.46934646,0.07970593,0.00207915,0.04870581,0.12319333
-5.79589795,2.07104386,0.17719541,1.48849149,0.08426697,0.00224552,0.04820533,0.12006595
-5.78989495,2.11151183,0.18298667,1.51192958,0.08977642,0.00242704,0.04815664,0.11771457
-5.78389195,2.16019408,0.18956553,1.53973911,0.09624758,0.00262337,0.04855048,0.11617792
-5.77788894,2.21715185,0.19695565,1.57199115,0.10368160,0.00283403,0.04937281,0.11549330
-5.77188594,2.28240206,0.20517525,1.60874953,0.11206617,0.00305831,0.05060503,0.11569616
-5.76588294,2.35591480,0.21423658,1.65007019,0.12137450,0.00329536,0.05222420,0.11681936
-5.75987994,2.43761078,0.22414549,1.69599988,0.13156449,0.00354412,0.05420335,0.11889234
-5.75387694,2.52735887,0.23490115,1.74657445,0.14257835,0.00380339,0.05651183,0.12194010
-5.74787394,2.62497468,0.24649583,1.80181724,0.15434255,0.00407182,0.05911572,0.12598222
-5.74187094,2.73022038,0.25891494,1.86173793,0.16676835,0.00434793,0.06197828,0.13103182
-5.73586793,2.84280668,0.27213734,1.92633216,0.17975287,0.00463011,0.06506051,0.13709465
-5.72986493,2.96239719,0.28613573,1.99558255,0.19318071,0.00491670,0.06832174,0.14416830
-5.72386193,3.08861577,0.30087745,2.06946115,0.20692628,0.00520596,0.07172026,0.15224168
-5.71785893,3.22105698,0.31632542,2.14793383,0.22085670,0.00549615,0.07521402,0.16129469
-5.71185593,3.35929957,0.33243936,2.23096638,0.23483521,0.00578551,0.07876137,0.17129825
-5.70585293,3.50292275,0.34917712,2.31853239,0.24872515,0.00607232,0.08232175,0.18221452
-5.69984992,3.65152464,0.36649620,2.41062247,0.26239426,0.00635492,0.08585640,0.19399749
