energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,4.77304976,1.45070718,1.00429669,0.01151580,0.97669019,1.20032551,1.13463920,0.01466888,2.07764789
-5.99399700,4.78188697,1.45660540,0.99652570,0.01173350,0.96486142,1.21307081,1.14408927,0.01469705,2.09803899
-5.98799400,4.76884251,1.45591362,0.98477514,0.01188505,0.94961802,1.21954988,1.14775253,0.01467200,2.10778297
-5.98199100,4.73419776,1.44889216,0.96916338,0.01196764,0.93119016,1.21969871,1.14559241,0.01460074,2.10676464
-5.97598799,4.67868462,1.43595350,0.94989810,0.01197965,0.90989504,1.21356525,1.13768028,0.01449176,2.09506862
-5.96998499,4.60347253,1.41765444,0.92727198,0.01192066,0.88612995,1.20130925,1.12419505,0.01435482,2.07297974
-5.96398199,4.51014262,1.39468393,0.90165569,0.01179152,0.86036275,1.18319919,1.10541982,0.01420079,2.04097790
-5.95797899,4.40064977,1.36784679,0.87348852,0.01159428,0.83312007,1.15960622,1.08173568,0.01404138,1.99972722
-5.95197599,4.27727361,1.33804366,0.84326688,0.01133219,0.80497374,1.13099529,1.05361277,0.01388894,1.95005996
-5.94597299,4.14255993,1.30624791,0.81153111,0.01100960,0.77652566,1.09791374,1.02159888,0.01375612,1.89295550
-5.93996998,3.99925426,1.27347986,0.77885100,0.01063183,0.74839173,1.06097765,0.98630584,0.01365562,1.82951507
-5.93396698,3.85022954,1.24077930,0.74581041,0.01020504,0.72118526,1.02085636,0.94839433,0.01359981,1.76093300
-5.92796398,3.69841028,1.20917685,0.71299166,0.00973608,0.69550032,0.97825560,0.90855733,0.01360043,1.68846542
-5.92196098,3.54669543,1.17966528,0.68095992,0.00923228,0.67189541,0.93389989,0.86750292,0.01366823,1.61339744
-5.91595798,3.39788247,1.15317141,0.65024835,0.00870129,0.65087819,0.88851461,0.82593691,0.01381265,1.53700991
-5.90995498,3.25459517,1.13052974,0.62134427,0.00815089,0.63289144,0.84280846,0.78454591,0.01404149,1.46054691
-5.90395198,3.11921733,1.11245855,0.59467679,0.00758875,0.61830079,0.79745677,0.74398136,0.01436061,1.38518500
-5.89794897,2.99383473,1.09953940,0.57060649,0.00702233,0.60738468,0.75308640,0.70484507,0.01477369,1.31200539
-5.89194597,2.88018718,1.09220076,0.54941717,0.00645867,0.60032673,0.71026238,0.66767665,0.01528203,1.24196990
-5.88594297,2.77963223,1.09070647,0.53131013,0.00590425,0.59721093,0.66947716,0.63294334,0.01588437,1.17590138
-5.87993997,2.69312180,1.09514955,0.51640116,0.00536492,0.59801982,0.63114232,0.60103235,0.01657688,1.11446948
-5.87393697,2.62119233,1.10545162,0.50472015,0.00484575,0.60263574,0.59558336,0.57224607,0.01735310,1.05818180
-5.86793397,2.56396871,1.12136817,0.49621343,0.00435104,0.61084516,0.56303740,0.54679999,0.01820409,1.00738084
-5.86193097,2.52118157,1.14249944,0.49074880,0.00388423,0.62234606,0.53365381,0.52482355,0.01911856,0.96224653
-5.85592796,2.49219719,1.16830664,0.48812278,0.00344796,0.63675809,0.50749775,0.50636340,0.02008317,0.92280411
-5.84992496,2.47605840,1.19813294,0.48807008,0.00304403,0.65363519,0.48455618,0.49138915,0.02108287,0.88893669
-5.84392196,2.47153495,1.23122832,0.49027474,0.00267349,0.67248028,0.46474607,0.47980100,0.02210127,0.86040201
-5.83791896,2.47718085,1.26677736,0.49438245,0.00233671,0.69276143,0.44792432,0.47143897,0.02312115,0.83685235
-5.83191596,2.49139637,1.30392878,0.50001373,0.00203342,0.71392895,0.43389897,0.46609314,0.02412494,0.81785663
-5.82591296,2.51249205,1.34182548,0.50677733,0.00176284,0.73543273,0.42244106,0.46351465,0.02509521,0.80292388
-5.81990995,2.53875202,1.37963378,0.51428329,0.00152373,0.75673914,0.41329665,0.46342664,0.02601522,0.79152677
-5.81390695,2.56849415,1.41657073,0.52215529,0.00131454,0.77734690,0.40619853,0.46553510,0.02686937,0.78312445
-5.80790395,2.60012470,1.45192812,0.53004175,0.00113343,0.79680125,0.40087712,0.46953888,0.02764367,0.77718374
-5.80190095,2.63218548,1.48509256,0.53762530,0.00097844,0.81470585,0.39707012,0.47513879,0.02832608,0.77319789
