energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,4.97008728,-4.53875547,0.04045517,-0.03231925,0.61529440,-0.55807297,1.32768658,-1.21910439,0.71183985,-0.58967651,0.42118015,-0.35568224,0.00000000,-0.00000000,0.17265213,-0.15921146,2.02863930,-1.86768155
-5.99399700,5.07812716,-4.59610774,0.04304326,-0.03348912,0.63158819,-0.56442217,1.36461588,-1.23457656,0.73354157,-0.60307580,0.44485187,-0.36553982,0.00000000,-0.00000000,0.17471167,-0.16235588,2.07458541,-1.89473931
-5.98799400,5.19979043,-4.67133056,0.04593019,-0.03508067,0.65028058,-0.57412012,1.40756824,-1.25764040,0.75679922,-0.61884767,0.47261903,-0.37934075,0.00000000,-0.00000000,0.17646479,-0.16538246,2.12616793,-1.92859174
-5.98199100,5.33353169,-4.76330945,0.04907788,-0.03707954,0.67098477,-0.58699227,1.45586284,-1.28787635,0.78128271,-0.63684440,0.50435253,-0.39714875,0.00000000,-0.00000000,0.17788538,-0.16823001,2.18299138,-1.96885177
-5.97598799,5.47761788,-4.87078041,0.05244267,-0.03946593,0.69326541,-0.60280228,1.50872518,-1.32475451,0.80662359,-0.65687996,0.53984829,-0.41897623,0.00000000,-0.00000000,0.17895534,-0.17084433,2.24459963,-2.01511171
-5.96998499,5.63013508,-4.99234203,0.05597567,-0.04221431,0.71664825,-0.62125581,1.56530122,-1.36764685,0.83242027,-0.67872972,0.57882496,-0.44478086,0.00000000,-0.00000000,0.17966414,-0.17317941,2.31046762,-2.06694534
-5.96398199,5.78899846,-5.12646345,0.05962323,-0.04529321,0.74063118,-0.64200544,1.62467354,-1.41584054,0.85824471,-0.70213075,0.62092314,-0.47446222,0.00000000,-0.00000000,0.18000810,-0.17519821,2.37999330,-2.12390655
-5.95797899,5.95196670,-5.27148918,0.06332770,-0.04866509,0.76469645,-0.66465666,1.68587919,-1.46855197,0.88365029,-0.72678266,0.66570632,-0.50785852,0.00000000,-0.00000000,0.17998935,-0.17687301,2.45249100,-2.18552480
-5.95197599,6.11666208,-5.42564178,0.06702829,-0.05228633,0.78832368,-0.68877515,1.74792928,-1.52494170,0.90818098,-0.75234966,0.71266405,-0.54474377,0.00000000,-0.00000000,0.17961471,-0.17818526,2.52718719,-2.25129818
-5.94597299,6.28059702,-5.58702428,0.07066225,-0.05610742,0.81100343,-0.71389519,1.80982978,-1.58412998,0.93138147,-0.77846364,0.76121741,-0.58482574,0.00000000,-0.00000000,0.17889442,-0.17912508,2.60321954,-2.32068476
