energy_ev,total_up,Hf_p_up,Hf_d_up,In_p_up,In_d_up,S_s_up,S_p_up
-6.00000000,1.47423414,1.12748085,0.39385149,0.06845937,0.00181815,0.01900063,0.81394782
-5.99399700,1.53586166,1.18268418,0.41322531,0.06988784,0.00188209,0.02018300,0.85454677
-5.98799400,1.59778843,1.23670024,0.43409780,0.07109897,0.00194342,0.02131394,0.89659889
-5.98199100,1.65976559,1.28899442,0.45657132,0.07206432,0.00200153,0.02237707,0.94006905
-5.97598799,1.72154754,1.33905847,0.48073139,0.07276044,0.00205582,0.02335667,0.98490270
-5.96998499,1.78288762,1.38642087,0.50663865,0.07316947,0.00210574,0.02423812,1.03101949
-5.96398199,1.84353367,1.43065672,0.53432092,0.07327952,0.00215080,0.02500834,1.07830732
-5.95797899,1.90322382,1.47139650,0.56376594,0.07308498,0.00219053,0.02565616,1.12661732
-5.95197599,1.96168304,1.50833393,0.59491502,0.07258661,0.00222454,0.02617267,1.17576008
-5.94597299,2.01862088,1.54123238,0.62765821,0.07179145,0.00225245,0.02655146,1.22550359
-5.93996998,2.07373073,1.56993001,0.66183111,0.07071266,0.00227396,0.02678889,1.27557312
-5.93396698,2.12669117,1.59434333,0.69721384,0.06936913,0.00228879,0.02688419,1.32565326
-5.92796398,2.17716944,1.61446939,0.73353229,0.06778505,0.00229674,0.02683947,1.37539239
-5.92196098,2.22482729,1.63038634,0.77046170,0.06598928,0.00229763,0.02665976,1.42440938
-5.91595798,2.26932910,1.64225269,0.80763280,0.06401477,0.00229135,0.02635281,1.47230264
-5.90995498,2.31035211,1.65030495,0.84464015,0.06189781,0.00227785,0.02592893,1.51866110
-5.90395198,2.34759834,1.65485396,0.88105263,0.05967734,0.00225714,0.02540073,1.56307670
-5.89794897,2.38080767,1.65627978,0.91642555,0.05739419,0.00222930,0.02478274,1.60515801
-5.89194597,2.40977123,1.65502513,0.95031404,0.05509041,0.00219450,0.02409106,1.64454414
-5.88594297,2.43434442,1.65158736,0.98228699,0.05280853,0.00215296,0.02334292,1.68091830
-5.87993997,2.45445854,1.64650890,1.01194105,0.05059091,0.00210503,0.02255625,1.71402023
-5.87393697,2.47013010,1.64036624,1.03891389,0.04847914,0.00205112,0.02174917,1.74365665
-5.86793397,2.48146697,1.63375736,1.06289609,0.04651343,0.00199175,0.02093957,1.76970912
-5.86193097,2.48867063,1.62728765,1.08364104,0.04473210,0.00192752,0.02014460,1.79213861
-5.85592796,2.49203393,1.62155464,1.10097241,0.04317096,0.00185911,0.01938030,1.81098640
-5.84992496,2.49193410,1.61713156,1.11478862,0.04186290,0.00178728,0.01866114,1.82637107
-5.84392196,2.48882107,1.61455031,1.12506422,0.04083733,0.00171284,0.01799972,1.83848155
-5.83791896,2.48320130,1.61428423,1.13184810,0.04011966,0.00163667,0.01740642,1.84756654
-5.83191596,2.47561791,1.61673129,1.13525864,0.03973088,0.00155966,0.01688920,1.85392086
