energy_ev,total_up,total_down,B_p_up,B_p_down,B_d_up,B_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.00440948,-0.00441071,0.00113565,-0.00113595,0.00000000,-0.00000000,0.00092005,-0.00092029,0.00120496,-0.00120527,0.00000331,-0.00000331,0.00070227,-0.00070249
-5.99399700,0.00561835,-0.00561986,0.00144695,-0.00144733,0.00000000,-0.00000000,0.00117100,-0.00117130,0.00153610,-0.00153649,0.00000425,-0.00000426,0.00089472,-0.00089499
-5.98799400,0.00710798,-0.00710983,0.00183053,-0.00183100,0.00000000,-0.00000000,0.00147984,-0.00148021,0.00194440,-0.00194487,0.00000543,-0.00000543,0.00113184,-0.00113217
-5.98199100,0.00892894,-0.00893120,0.00229943,-0.00230000,0.00000000,-0.00000000,0.00185691,-0.00185735,0.00244382,-0.00244440,0.00000689,-0.00000689,0.00142167,-0.00142207
-5.97598799,0.01113709,-0.01113982,0.00286802,-0.00286870,0.00000000,-0.00000000,0.00231356,-0.00231409,0.00304981,-0.00305050,0.00000868,-0.00000868,0.00177308,-0.00177357
-5.96998499,0.01379309,-0.01379636,0.00355190,-0.00355273,0.00000000,-0.00000000,0.00286211,-0.00286275,0.00377916,-0.00377999,0.00001086,-0.00001086,0.00219571,-0.00219630
-5.96398199,0.01696176,-0.01696564,0.00436778,-0.00436876,0.00000000,-0.00000000,0.00351568,-0.00351644,0.00464984,-0.00465082,0.00001350,-0.00001350,0.00269985,-0.00270055
-5.95797899,0.02071096,-0.02071553,0.00533313,-0.00533427,0.00000000,-0.00000000,0.00428797,-0.00428886,0.00568069,-0.00568185,0.00001666,-0.00001667,0.00329628,-0.00329711
-5.95197599,0.02511024,-0.02511558,0.00646584,-0.00646718,0.00000000,-0.00000000,0.00519296,-0.00519399,0.00689108,-0.00689242,0.00002044,-0.00002045,0.00399603,-0.00399700
-5.94597299,0.03022901,-0.03023519,0.00778380,-0.00778535,0.00000000,-0.00000000,0.00624455,-0.00624574,0.00830034,-0.00830190,0.00002491,-0.00002492,0.00481009,-0.00481122
-5.93996998,0.03613441,-0.03614150,0.00930430,-0.00930608,0.00000000,-0.00000000,0.00745610,-0.00745746,0.00992726,-0.00992904,0.00003017,-0.00003018,0.00574911,-0.00575042
-5.93396698,0.04288875,-0.04289683,0.01104341,-0.01104543,0.00000000,-0.00000000,0.00883994,-0.00884149,0.01178931,-0.01179132,0.00003631,-0.00003632,0.00682294,-0.00682443
-5.92796398,0.05054673,-0.05055584,0.01301523,-0.01301751,0.00000000,-0.00000000,0.01040681,-0.01040854,0.01390191,-0.01390418,0.00004344,-0.00004345,0.00804020,-0.00804190
-5.92196098,0.05915236,-0.05916255,0.01523113,-0.01523368,0.00000000,-0.00000000,0.01216519,-0.01216712,0.01627759,-0.01628011,0.00005165,-0.00005167,0.00940783,-0.00940974
-5.91595798,0.06873578,-0.06874708,0.01769894,-0.01770176,0.00000000,-0.00000000,0.01412074,-0.01412287,0.01892504,-0.01892782,0.00006108,-0.00006109,0.01093051,-0.01093264
-5.90995498,0.07931006,-0.07932245,0.02042209,-0.02042518,0.00000000,-0.00000000,0.01627563,-0.01627795,0.02184828,-0.02185131,0.00007182,-0.00007184,0.01261023,-0.01261258
-5.90395198,0.09086811,-0.09088160,0.02339887,-0.02340222,0.00000000,-0.00000000,0.01862794,-0.01863044,0.02504577,-0.02504905,0.00008401,-0.00008403,0.01444572,-0.01444830
-5.89794897,0.10337999,-0.10339451,0.02662171,-0.02662531,0.00000000,-0.00000000,0.02117115,-0.02117384,0.02850963,-0.02851314,0.00009778,-0.00009780,0.01643209,-0.01643490
-5.89194597,0.11679055,-0.11680602,0.03007660,-0.03008043,0.00000000,-0.00000000,0.02389374,-0.02389658,0.03222499,-0.03222870,0.00011327,-0.00011329,0.01856040,-0.01856343
-5.88594297,0.13101784,-0.13103416,0.03374265,-0.03374668,0.00000000,-0.00000000,0.02677886,-0.02678182,0.03616952,-0.03617341,0.00013064,-0.00013066,0.02081746,-0.02082069
-5.87993997,0.14595229,-0.14596933,0.03759193,-0.03759613,0.00000000,-0.00000000,0.02980421,-0.02980728,0.04031318,-0.04031719,0.00015005,-0.00015008,0.02318565,-0.02318906
-5.87393697,0.16145687,-0.16147445,0.04158951,-0.04159383,0.00000000,-0.00000000,0.03294217,-0.03294530,0.04461821,-0.04462230,0.00017172,-0.00017175,0.02564297,-0.02564654
-5.86793397,0.17736828,-0.17738621,0.04569372,-0.04569811,0.00000000,-0.00000000,0.03616006,-0.03616322,0.04903947,-0.04904358,0.00019586,-0.00019589,0.02816324,-0.02816694
-5.86193097,0.19349931,-0.19351737,0.04985684,-0.04986125,0.00000000,-0.00000000,0.03942065,-0.03942380,0.05352505,-0.05352912,0.00022275,-0.00022279,0.03071647,-0.03072027
-5.85592796,0.20964237,-0.20966032,0.05402594,-0.05403030,0.00000000,-0.00000000,0.04268296,-0.04268604,0.05801721,-0.05802118,0.00025270,-0.00025274,0.03326942,-0.03327328
