energy_ev,total_up,Ca_p_up,Ca_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.44163265,0.01059686,0.00000000,0.47002003,0.85605505,0.00189055,0.07316558,0.51213087,0.00000000
-5.99399700,1.36780774,0.01012682,0.00000000,0.47080688,0.80279242,0.00165228,0.06932933,0.49149263,0.00000000
-5.98799400,1.29564391,0.00966043,0.00000000,0.47229449,0.74976562,0.00145255,0.06554966,0.47186915,0.00000000
-5.98199100,1.22563680,0.00920074,0.00000000,0.47430012,0.69752354,0.00128928,0.06184565,0.45329966,0.00000000
-5.97598799,1.15826200,0.00875059,0.00000000,0.47662048,0.64660686,0.00116067,0.05823583,0.43581381,0.00000000
-5.96998499,1.09396731,0.00831251,0.00000000,0.47903829,0.59753736,0.00106527,0.05473769,0.41943251,0.00000000
-5.96398199,1.03316648,0.00788869,0.00000000,0.48132993,0.55080813,0.00100201,0.05136718,0.40416911,0.00000000
-5.95797899,0.97623460,0.00748095,0.00000000,0.48327384,0.50687522,0.00097023,0.04813844,0.39003107,0.00000000
-5.95197599,0.92350548,0.00709073,0.00000000,0.48465956,0.46615078,0.00096966,0.04506351,0.37702193,0.00000000
-5.94597299,0.87527075,0.00671913,0.00000000,0.48529672,0.42899798,0.00100041,0.04215233,0.36514369,0.00000000
-5.93996998,0.83178065,0.00636690,0.00000000,0.48502381,0.39572747,0.00106295,0.03941272,0.35439914,0.00000000
-5.93396698,0.79324582,0.00603452,0.00000000,0.48371608,0.36659544,0.00115797,0.03685062,0.34479420,0.00000000
-5.92796398,0.75983981,0.00572223,0.00000000,0.48129225,0.34180286,0.00128639,0.03447035,0.33633982,0.00000000
-5.92196098,0.73170154,0.00543014,0.00000000,0.47771948,0.32149576,0.00144921,0.03227495,0.32905337,0.00000000
-5.91595798,0.70893722,0.00515820,0.00000000,0.47301647,0.30576602,0.00164741,0.03026659,0.32295918,0.00000000
-5.90995498,0.69162116,0.00490635,0.00000000,0.46725423,0.29465259,0.00188184,0.02844694,0.31808808,0.00000000
-5.90395198,0.67979514,0.00467449,0.00000000,0.46055461,0.28814268,0.00215307,0.02681755,0.31447598,0.00000000
-5.89794897,0.67346603,0.00446257,0.00000000,0.45308635,0.28617273,0.00246131,0.02538011,0.31216128,0.00000000
-5.89194597,0.67260177,0.00427054,0.00000000,0.44505906,0.28862914,0.00280622,0.02413670,0.31118129,0.00000000
-5.88594297,0.67712570,0.00409841,0.00000000,0.43671517,0.29534868,0.00318684,0.02308981,0.31156785,0.00000000
-5.87993997,0.68690983,0.00394622,0.00000000,0.42832022,0.30611859,0.00360145,0.02224238,0.31334231,0.00000000
-5.87393697,0.70176746,0.00381397,0.00000000,0.42015211,0.32067673,0.00404751,0.02159763,0.31651018,0.00000000
-5.86793397,0.72144585,0.00370164,0.00000000,0.41248958,0.33871185,0.00452155,0.02115880,0.32105593,0.00000000
-5.86193097,0.74561980,0.00360912,0.00000000,0.40560065,0.35986445,0.00501920,0.02092881,0.32693816,0.00000000
-5.85592796,0.77388684,0.00353614,0.00000000,0.39973142,0.38372838,0.00553514,0.02090980,0.33408561,0.00000000
-5.84992496,0.80576486,0.00348226,0.00000000,0.39509587,0.40985379,0.00606314,0.02110270,0.34239433,0.00000000
-5.84392196,0.84069283,0.00344682,0.00000000,0.39186702,0.43775141,0.00659617,0.02150665,0.35172634,0.00000000
-5.83791896,0.87803502,0.00342889,0.00000000,0.39016991,0.46689860,0.00712650,0.02211857,0.36190993,0.00000000
-5.83191596,0.91708931,0.00342728,0.00000000,0.39007663,0.49674724,0.00764588,0.02293268,0.37274184,0.00000000
-5.82591296,0.95709930,0.00344050,0.00000000,0.39160374,0.52673342,0.00814568,0.02394012,0.38399118,0.00000000
