energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,1.73577543,0.55413946,1.17462389,0.00389650,0.05303368,0.24654080,0.13123658,0.00383596,0.28281302
-5.99399700,1.85520377,0.59392744,1.25633254,0.00414786,0.05549284,0.26327047,0.13925639,0.00410998,0.30456639
-5.98799400,1.97676062,0.63448739,1.33937915,0.00440592,0.05807337,0.27991400,0.14755897,0.00441830,0.32657052
-5.98199100,2.09895442,0.67531135,1.42273230,0.00466734,0.06073777,0.29625229,0.15603917,0.00476036,0.34858350
-5.97598799,2.22032456,0.71589701,1.50538161,0.00492865,0.06345044,0.31207578,0.16459457,0.00513534,0.37036552
-5.96998499,2.33949053,0.75576533,1.58637058,0.00518630,0.06617927,0.32719169,0.17312953,0.00554225,0.39168669
-5.96398199,2.45519969,0.79447783,1.66482862,0.00543681,0.06889698,0.34143089,0.18155903,0.00597989,0.41233503
-5.95797899,2.56637129,0.83165284,1.74000082,0.00567679,0.07158232,0.35465410,0.18981212,0.00644688,0.43212393
-5.95197599,2.67213458,0.86697975,1.81127378,0.00590305,0.07422099,0.36675709,0.19783478,0.00694166,0.45089886
-5.94597299,2.77185874,0.90023056,1.87819613,0.00611267,0.07680611,0.37767448,0.20559199,0.00746248,0.46854287
-5.93996998,2.86517282,0.93126789,1.94049255,0.00630307,0.07933844,0.38738212,0.21306899,0.00800736,0.48498064
-5.93396698,2.95197407,0.96004901,1.99807003,0.00647206,0.08182610,0.39589758,0.22027140,0.00857410,0.50018064
-5.92796398,3.03242385,0.98662533,2.05101592,0.00661788,0.08428395,0.40327895,0.22722438,0.00916019,0.51415531
-5.92196098,3.10693060,1.01113736,2.09958732,0.00673924,0.08673251,0.40962169,0.23397064,0.00976283,0.52695917
-5.91595798,3.17612027,1.03380518,2.14419207,0.00683534,0.08919660,0.41505379,0.24056752,0.01037887,0.53868471
-5.90995498,3.24079511,1.05491462,2.18536193,0.00690588,0.09170364,0.41972942,0.24708308,0.01100477,0.54945642
-5.90395198,3.30188268,1.07480000,2.22371900,0.00695107,0.09428169,0.42382129,0.25359146,0.01163657,0.55942295
-5.89794897,3.36037719,1.09382404,2.25993693,0.00697159,0.09695747,0.42751211,0.26016773,0.01226988,0.56874795
-5.89194597,3.41727611,1.11235603,2.29469884,0.00696859,0.09975419,0.43098562,0.26688246,0.01289989,0.57759993
-5.88594297,3.47351530,1.13074950,2.32865386,0.00694368,0.10268958,0.43441753,0.27379626,0.01352135,0.58614171
-5.87993997,3.52990582,1.14932041,2.36237476,0.00689883,0.10577396,0.43796696,0.28095466,0.01412862,0.59451998
-5.87393697,3.58707624,1.16832721,2.39631882,0.00683637,0.10900873,0.44176871,0.28838349,0.01471571,0.60285560
-5.86793397,3.64542322,1.18795388,2.43079415,0.00675895,0.11238504,0.44592686,0.29608519,0.01527634,0.61123513
-5.86193097,3.70507361,1.20829686,2.46593336,0.00666944,0.11588307,0.45050988,0.30403612,0.01580405,0.61970418
-5.85592796,3.76586003,1.22935671,2.50167609,0.00657090,0.11947166,0.45554765,0.31218519,0.01629231,0.62826287
-5.84992496,3.82731176,1.25103492,2.53776159,0.00646651,0.12310856,0.46103045,0.32045375,0.01673462,0.63686377
-5.84392196,3.88866149,1.27313612,2.57373177,0.00635951,0.12674112,0.46690991,0.32873697,0.01712468,0.64541247
-5.83791896,3.94886793,1.29537554,2.60894481,0.00625313,0.13030762,0.47310190,0.33690657,0.01745649,0.65377074
-5.83191596,4.00665331,1.31739131,2.64259867,0.00615053,0.13373891,0.47949112,0.34481480,0.01772458,0.66176217
-5.82591296,4.06055379,1.33876085,2.67376331,0.00605474,0.13696061,0.48593718,0.35229951,0.01792409,0.66918002
-5.81990995,4.10898047,1.35902046,2.70142012,0.00596858,0.13989554,0.49228166,0.35919007,0.01805096,0.67579675
-5.81390695,4.15028767,1.37768694,2.72450636,0.00589460,0.14246639,0.49835601,0.36531390,0.01810203,0.68137492
-5.80790395,4.18284508,1.39428002,2.74196252,0.00583503,0.14459849,0.50398947,0.37050317,0.01807516,0.68567861
-5.80190095,4.20511016,1.40834441,2.75277997,0.00579172,0.14622253,0.50901704,0.37460152,0.01796935,0.68848496
-5.79589795,4.21569693,1.41947019,2.75604676,0.00576607,0.14727725,0.51328663,0.37747032,0.01778476,0.68959510
-5.78989495,4.21343799,1.42731051,2.75098901,0.00575900,0.14771169,0.51666547,0.37899423,0.01752274,0.68884389
-5.78389195,4.19743666,1.43159578,2.73700627,0.00577088,0.14748726,0.51904507,0.37908583,0.01718588,0.68610801
-5.77788894,4.16710693,1.43214366,2.71369891,0.00580155,0.14657927,0.52034498,0.37768909,0.01677791,0.68131201
-5.77188594,4.12219954,1.42886449,2.68088669,0.00585023,0.14497795,0.52051477,0.37478148,0.01630365,0.67443201
-5.76588294,4.06281339,1.42176214,2.63861775,0.00591555,0.14268899,0.51953462,0.37037475,0.01576894,0.66549693
-5.75987994,3.98939226,1.41093046,2.58716799,0.00599554,0.13973341,0.51741436,0.36451431,0.01518048,0.65458730
-5.75387694,3.90270736,1.39654570,2.52703115,0.00608768,0.13614698,0.51419113,0.35727733,0.01454568,0.64183179
-5.74787394,3.80382741,1.37885573,2.45890058,0.00618891,0.13197904,0.50992598,0.34876956,0.01387252,0.62740161
-5.74187094,3.69407798,1.35816660,2.38364383,0.00629569,0.12729091,0.50469961,0.33912134,0.01316934,0.61150340
-5.73586793,3.57499259,1.33482758,2.30227158,0.00640410,0.12215390,0.49860746,0.32848267,0.01244469,0.59437074
-5.72986493,3.44825828,1.30921545,2.21590268,0.00650994,0.11664702,0.49175462,0.31701787,0.01170711,0.57625499
-5.72386193,3.31565820,1.28171884,2.12572691,0.00660882,0.11085456,0.48425073,0.30490000,0.01096497,0.55741583
-5.71785893,3.17901417,1.25272363,2.03296729,0.00669630,0.10486346,0.47620509,0.29230521,0.01022631,0.53811203
-5.71185593,3.04013144,1.22259977,1.93884358,0.00676804,0.09876090,0.46772239,0.27940747,0.00949872,0.51859278
-5.70585293,2.90074796,1.19169028,1.84453823,0.00681993,0.09263185,0.45889898,0.26637365,0.00878915,0.49909006
-5.69984992,2.76248978,1.16030255,1.75116605,0.00684822,0.08655693,0.44982001,0.25335935,0.00810387,0.47981225
-5.69384692,2.62683403,1.12870219,1.65974848,0.00684966,0.08061056,0.44055741,0.24050540,0.00744837,0.46093920
-5.68784392,2.49508013,1.09710937,1.57119291,0.00682163,0.07485947,0.43116873,0.22793533,0.00682734,0.44261883
-5.68184092,2.36832976,1.06569761,1.48627759,0.00676222,0.06936159,0.42169683,0.21575365,0.00624465,0.42496535
-5.67583792,2.24747539,1.03459459,1.40564185,0.00667033,0.06416544,0.41217040,0.20404509,0.00570336,0.40805898
-5.66983492,2.13319713,1.00388487,1.32978177,0.00654570,0.05930984,0.40260510,0.19287463,0.00520576,0.39194707
-5.66383192,2.02596708,0.97361398,1.25905069,0.00638891,0.05482415,0.39300534,0.18228835,0.00475346,0.37664650
-5.65782891,1.92606034,0.94379367,1.19366414,0.00620144,0.05072881,0.38336655,0.17231489,0.00434749,0.36214702
-5.65182591,1.83357161,0.91440783,1.13370859,0.00598556,0.04703626,0.37367773,0.16296754,0.00398838,0.34841545
-5.64582291,1.74843622,0.88541888,1.07915335,0.00574428,0.04375213,0.36392428,0.15424660,0.00367628,0.33540048
-5.63981991,1.67045451,0.85677423,1.02986501,0.00548128,0.04087657,0.35409091,0.14614217,0.00341114,0.32303764
-5.63381691,1.59931829,0.82841271,0.98562352,0.00520077,0.03840581,0.34416450,0.13863691,0.00319279,0.31125456
-5.62781391,1.53463843,0.80027070,0.94613961,0.00490737,0.03633369,0.33413693,0.13170893,0.00302111,0.29997600
-5.62181091,1.47597246,0.77228778,0.91107259,0.00460600,0.03465318,0.32400762,0.12533450,0.00289613,0.28912861
-5.61580790,1.42285129,0.74441194,0.88004820,0.00430168,0.03335778,0.31378575,0.11949049,0.00281815,0.27864522
-5.60980490,1.37480418,0.71660402,0.85267580,0.00399946,0.03244277,0.30349216,0.11415660,0.00278781,0.26846862
-5.60380190,1.33138132,0.68884156,0.82856457,0.00370425,0.03190625,0.29316067,0.10931709,0.00280619,0.25855449
-5.59779890,1.29217319,0.66112176,0.80733815,0.00342070,0.03174979,0.28283896,0.10496215,0.00287482,0.24887369
-5.59179590,1.25682643,0.63346364,0.78864739,0.00315312,0.03197890,0.27258879,0.10108876,0.00299571,0.23941367
-5.58579290,1.22505557,0.60590928,0.77218089,0.00290536,0.03260308,0.26248564,0.09770103,0.00317127,0.23017899
-5.57978989,1.19665052,0.57852405,0.75767304,0.00268079,0.03363557,0.25261768,0.09481015,0.00340432,0.22119103
-5.57378689,1.17147966,0.55139598,0.74490939,0.00248220,0.03509273,0.24308412,0.09243378,0.00369795,0.21248691
-5.56778389,1.14948843,0.52463403,0.73372916,0.00231178,0.03699320,0.23399300,0.09059509,0.00405542,0.20411763
-5.56178089,1.13069377,0.49836549,0.72402505,0.00217113,0.03935677,0.22545840,0.08932147,0.00448000,0.19614553
-5.55577789,1.11517465,0.47273245,0.71574027,0.00206121,0.04220299,0.21759724,0.08864285,0.00497483,0.18864130
-5.54977489,1.10305920,0.44788754,0.70886305,0.00198239,0.04554981,0.21052579,0.08859002,0.00554270,0.18168044
-5.54377189,1.09450917,0.42398896,0.70341903,0.00193447,0.04941203,0.20435590,0.08919264,0.00618590,0.17533960
-5.53776888,1.08970241,0.40119517,0.69946179,0.00191668,0.05379987,0.19919136,0.09047745,0.00690604,0.16969274
-5.53176588,1.08881435,0.37965922,0.69706212,0.00192775,0.05871763,0.19512420,0.09246644,0.00770391,0.16480738
-5.52576288,1.09199936,0.35952316,0.69629655,0.00196591,0.06416258,0.19223145,0.09517530,0.00857931,0.16074109
-5.51975988,1.09937299,0.34091263,0.69723579,0.00202901,0.07012404,0.19057224,0.09861209,0.00953097,0.15753833
-5.51375688,1.11099595,0.32393187,0.69993357,0.00211451,0.07658293,0.19018551,0.10277628,0.01055648,0.15522788
-5.50775388,1.12686082,0.30865951,0.70441667,0.00221959,0.08351152,0.19108841,0.10765817,0.01165232,0.15382087
-5.50175088,1.14688192,0.29514513,0.71067646,0.00234118,0.09087367,0.19327544,0.11323872,0.01281381,0.15330947
-5.49574787,1.17088912,0.28340688,0.71866249,0.00247606,0.09862544,0.19671835,0.11948970,0.01403527,0.15366646
-5.48974487,1.19862573,0.27343018,0.72827848,0.00262092,0.10671601,0.20136687,0.12637437,0.01531011,0.15484551
-5.48374187,1.22975052,0.26516766,0.73938079,0.00277246,0.11508888,0.20715018,0.13384828,0.01663097,0.15678224
-5.47773887,1.26384381,0.25854018,0.75177950,0.00292742,0.12368339,0.21397893,0.14186047,0.01798995,0.15939600
-5.47173587,1.30041705,0.25343899,0.76524193,0.00308274,0.13243625,0.22174794,0.15035470,0.01937878,0.16259226
-5.46573287,1.33892542,0.24972897,0.77949840,0.00323557,0.14128317,0.23033917,0.15927079,0.02078907,0.16626553
-5.45972986,1.37878261,0.24725258,0.79424977,0.00338338,0.15016039,0.23962497,0.16854582,0.02221246,0.17030259
-5.45372686,1.41937687,0.24583465,0.80917635,0.00352401,0.15900607,0.24947139,0.17811529,0.02364082,0.17458602
-5.44772386,1.46008749,0.24528751,0.82394766,0.00365574,0.16776137,0.25974140,0.18791391,0.02506641,0.17899770
-5.44172086,1.50030067,0.24541647,0.83823239,0.00377731,0.17637118,0.27029784,0.19787611,0.02648196,0.18342225
-5.43571786,1.53942409,0.24602526,0.85170813,0.00388796,0.18478458,0.28100602,0.20793630,0.02788069,0.18775025
-5.42971486,1.57689930,0.24692138,0.86407030,0.00398741,0.19295474,0.29173585,0.21802864,0.02925634,0.19188100
-5.42371186,1.61221169,0.24792098,0.87503979,0.00407588,0.20083857,0.30236344,0.22808662,0.03060312,0.19572487
-5.41770885,1.64489733,0.24885327,0.88436917,0.00415401,0.20839599,0.31277215,0.23804230,0.03191556,0.19920502
-5.41170585,1.67454699,0.24956423,0.89184713,0.00422283,0.21558892,0.32285316,0.24782549,0.03318838,0.20225853
