energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,6.17567076,0.05640639,1.24479441,0.86587285,0.34728099,2.23198740,0.00000000,3.76225478,2.07263654
-5.99399700,6.10615284,0.05557511,1.21927104,0.87154708,0.34429876,2.22394714,0.00000000,3.76549600,2.02468940
-5.98799400,6.03537858,0.05457484,1.19574235,0.87596749,0.34050702,2.21255609,0.00000000,3.76488488,1.97938777
-5.98199100,5.96349459,0.05340274,1.17409458,0.87916600,0.33597564,2.19804351,0.00000000,3.75986763,1.93679101
-5.97598799,5.89064747,0.05206149,1.15413455,0.88119284,0.33080144,2.18072604,0.00000000,3.74991476,1.89686045
-5.96998499,5.81698934,0.05055921,1.13560241,0.88211089,0.32510574,2.16099436,0.00000000,3.73453966,1.85947254
-5.96398199,5.74268366,0.04890905,1.11818656,0.88199039,0.31903115,2.13929828,0.00000000,3.71331718,1.82443450
-5.95797899,5.66791117,0.04712862,1.10154018,0.88090417,0.31273765,2.11613073,0.00000000,3.68590118,1.79150141
-5.95197599,5.59287548,0.04523927,1.08529846,0.87892387,0.30639803,2.09201147,0.00000000,3.65204066,1.76039407
-5.94597299,5.51780776,0.04326527,1.06909592,0.87611712,0.30019304,2.06747102,0.00000000,3.61159335,1.73081649
-5.93996998,5.44296998,0.04123288,1.05258297,0.87254571,0.29430634,2.04303526,0.00000000,3.56453635,1.70247222
-5.93396698,5.36865620,0.03916945,1.03544111,0.86826481,0.28891934,2.01921112,0.00000000,3.51097304,1.67507877
-5.92796398,5.29519118,0.03710249,1.01739605,0.86332298,0.28420620,1.99647346,0.00000000,3.45113590,1.64837945
-5.92196098,5.22292611,0.03505884,0.99822841,0.85776288,0.28032901,1.97525343,0.00000000,3.38538480,1.62215220
-5.91595798,5.15223105,0.03306384,0.97778144,0.85162245,0.27743344,1.95592832,0.00000000,3.31420074,1.59621516
-5.90995498,5.08348410,0.03114070,0.95596572,0.84493622,0.27564470,1.93881286,0.00000000,3.23817503,1.57042903
-5.90395198,5.01705763,0.02930993,0.93276070,0.83773673,0.27506411,1.92415208,0.00000000,3.15799437,1.54469618
-5.89794897,4.95330206,0.02758892,0.90821315,0.83005569,0.27576629,1.91211571,0.00000000,3.07442216,1.51895721
-5.89194597,4.89252810,0.02599169,0.88243283,0.82192489,0.27779694,1.90279422,0.00000000,2.98827699,1.49318519
-5.88594297,4.83498861,0.02452868,0.85558572,0.81337674,0.28117141,1.89619660,0.00000000,2.90040921,1.46737842
-5.87993997,4.78086141,0.02320681,0.82788528,0.80444450,0.28587397,1.89225000,0.00000000,2.81167656,1.44155249
-5.87393697,4.73023452,0.02202946,0.79958232,0.79516219,0.29185793,1.89080158,0.00000000,2.72292017,1.41573226
-5.86793397,4.68309521,0.02099675,0.77095412,0.78556443,0.29904656,1.89162257,0.00000000,2.63494202,1.38994459
-5.86193097,4.63932425,0.02010576,0.74229332,0.77568621,0.30733482,1.89441484,0.00000000,2.54848497,1.36421245
-5.85592796,4.59869646,0.01935087,0.71389720,0.76556291,0.31659202,1.89882007,0.00000000,2.46421647,1.33855095
-5.84992496,4.56088806,0.01872417,0.68605793,0.75523051,0.32666517,1.90443150,0.00000000,2.38271650,1.31296550
-5.84392196,4.52549131,0.01821586,0.65905408,0.74472632,0.33738321,1.91080806,0.00000000,2.30447050,1.28745242
-5.83791896,4.49203588,0.01781469,0.63314385,0.73409014,0.34856176,1.91749067,0.00000000,2.22986740,1.26200170
-5.83191596,4.46001637,0.01750845,0.60856003,0.72336587,0.36000855,1.92402018,0.00000000,2.15920260,1.23660191
-5.82591296,4.42892433,0.01728437,0.58550693,0.71260349,0.37152912,1.92995621,0.00000000,2.09268562,1.21124652
-5.81990995,4.39828317,0.01712961,0.56415905,0.70186123,0.38293271,1.93489626,0.00000000,2.03045158,1.18594133
-5.81390695,4.36768365,0.01703161,0.54466134,0.69120784,0.39403815,1.93849390,0.00000000,1.97257563,1.16071206
-5.80790395,4.33681771,0.01697850,0.52713074,0.68072448,0.40467939,1.94047539,0.00000000,1.91908911,1.13561160
