energy_ev,total_up,Al_p_up,Al_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.88883863,0.03038065,0.00000000,0.01627357,1.23952564,0.95189841,0.59858471
-5.99399700,1.79429281,0.02878149,0.00000000,0.01618495,1.17999267,0.91296318,0.55946849
-5.98799400,1.70133226,0.02725750,0.00000000,0.01612995,1.12105194,0.87485193,0.52131468
-5.98199100,1.61079228,0.02581790,0.00000000,0.01610395,1.06328028,0.83784598,0.48450104
-5.97598799,1.52334596,0.02446819,0.00000000,0.01610050,1.00715549,0.80214795,0.44933973
-5.96998499,1.43950731,0.02321041,0.00000000,0.01611161,0.95305736,0.76788641,0.41607780
-5.96398199,1.35964085,0.02204343,0.00000000,0.01612814,0.90127290,0.73512348,0.38490029
-5.95797899,1.28397665,0.02096334,0.00000000,0.01614020,0.85200527,0.70386484,0.35593556
-5.95197599,1.21262995,0.01996395,0.00000000,0.01613755,0.80538571,0.67407165,0.32926239
-5.94597299,1.14562401,0.01903735,0.00000000,0.01611010,0.76148766,0.64567384,0.30491842
-5.93996998,1.08291496,0.01817447,0.00000000,0.01604828,0.72034235,0.61858383,0.28290950
-5.93396698,1.02441742,0.01736566,0.00000000,0.01594352,0.68195482,0.59271036,0.26321925
-5.92796398,0.97002951,0.01660126,0.00000000,0.01578853,0.64631972,0.56797161,0.24581847
-5.92196098,0.91965620,0.01587210,0.00000000,0.01557770,0.61343605,0.54430709,0.23067398
-5.91595798,0.87322996,0.01516994,0.00000000,0.01530725,0.58332008,0.52168787,0.21775632
-5.90995498,0.83072787,0.01448790,0.00000000,0.01497544,0.55601607,0.50012475,0.20704623
-5.90395198,0.79218449,0.01382068,0.00000000,0.01458264,0.53160409,0.47967401,0.19853935
-5.89794897,0.75770018,0.01316481,0.00000000,0.01413133,0.51020490,0.46044073,0.19224931
-5.89194597,0.72744461,0.01251875,0.00000000,0.01362603,0.49198151,0.44257946,0.18820879
-5.88594297,0.70165545,0.01188287,0.00000000,0.01307314,0.47713756,0.42629247,0.18646874
