energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.66485929,-1.57425675,2.12946558,-1.54849665,0.84405997,-0.22119104,0.00098482,-0.00122706,1.01292538,-0.46427406,0.49725109,-0.52178300,0.00000000,-0.00000000
-5.99399700,2.70707371,-1.57219502,2.16214244,-1.55472783,0.86559113,-0.22481009,0.00096942,-0.00120348,1.03637704,-0.46724657,0.49444574,-0.51890193,0.00000000,-0.00000000
-5.98799400,2.74361282,-1.56654092,2.19170433,-1.55484245,0.88447003,-0.22893951,0.00095577,-0.00117619,1.05710649,-0.46991294,0.49125064,-0.51361544,0.00000000,-0.00000000
-5.98199100,2.77476110,-1.55795577,2.21883064,-1.54947699,0.90042805,-0.23363861,0.00094524,-0.00114596,1.07496294,-0.47242316,0.48808995,-0.50620606,0.00000000,-0.00000000
-5.97598799,2.80091777,-1.54729586,2.24426550,-1.53950511,0.91325352,-0.23897977,0.00093919,-0.00111383,1.08984931,-0.47497533,0.48540009,-0.49703838,0.00000000,-0.00000000
-5.96998499,2.82258596,-1.53560114,2.26879190,-1.52602418,0.92279909,-0.24504883,0.00093896,-0.00108101,1.10172486,-0.47781412,0.48361821,-0.48655265,0.00000000,-0.00000000
-5.96398199,2.84035798,-1.52407839,2.29320402,-1.51033472,0.92898661,-0.25194523,0.00094583,-0.00104896,1.11060572,-0.48122797,0.48317068,-0.47525624,0.00000000,-0.00000000
-5.95797899,2.85489715,-1.51407912,2.31827893,-1.49391306,0.93180931,-0.25978195,0.00096104,-0.00101928,1.11656317,-0.48554479,0.48446210,-0.46371286,0.00000000,-0.00000000
-5.95197599,2.86691673,-1.50707270,2.34474871,-1.47837794,0.93133117,-0.26868501,0.00098571,-0.00099374,1.11971983,-0.49112645,0.48786484,-0.45253026,0.00000000,-0.00000000
-5.94597299,2.87715651,-1.50461490,2.37327403,-1.46545152,0.92768365,-0.27879255,0.00102086,-0.00097427,1.12024389,-0.49836172,0.49370971,-0.44234626,0.00000000,-0.00000000
