energy_ev,total_up,As_p_up,As_d_up,Nb_p_up,Nb_d_up,Te_p_up,Te_d_up
-6.00000000,2.99517694,1.47253346,0.00000000,2.52415979,1.61197300,0.62245030,0.00000000
-5.99399700,2.94023683,1.47432914,0.00000000,2.51963824,1.59596203,0.58789085,0.00000000
-5.98799400,2.88321583,1.47447147,0.00000000,2.51489715,1.57812725,0.55351284,0.00000000
-5.98199100,2.82512384,1.47320373,0.00000000,2.51092041,1.55882561,0.51966123,0.00000000
-5.97598799,2.76697315,1.47078395,0.00000000,2.50869940,1.53842913,0.48666818,0.00000000
-5.96998499,2.70976677,1.46748396,0.00000000,2.50921836,1.51732196,0.45484937,0.00000000
-5.96398199,2.65448645,1.46358758,0.00000000,2.51343922,1.49589653,0.42450056,0.00000000
-5.95797899,2.60207989,1.45938774,0.00000000,2.52228567,1.47454868,0.39589456,0.00000000
-5.95197599,2.55344722,1.45518220,0.00000000,2.53662642,1.45367151,0.36927848,0.00000000
-5.94597299,2.50942677,1.45126785,0.00000000,2.55725786,1.43364810,0.34487142,0.00000000
-5.93996998,2.47078016,1.44793364,0.00000000,2.58488613,1.41484306,0.32286249,0.00000000
-5.93396698,2.43817727,1.44545241,0.00000000,2.62010902,1.39759331,0.30340926,0.00000000
-5.92796398,2.41218140,1.44407181,0.00000000,2.66339812,1.38219836,0.28663661,0.00000000
-5.92196098,2.39323541,1.44400505,0.00000000,2.71508194,1.36891075,0.27263600,0.00000000
-5.91595798,2.38164946,1.44542183,0.00000000,2.77533068,1.35792709,0.26146520,0.00000000
-5.90995498,2.37759138,1.44844030,0.00000000,2.84414364,1.34938049,0.25314850,0.00000000
-5.90395198,2.38108031,1.45312063,0.00000000,2.92134014,1.34333489,0.24767746,0.00000000
-5.89794897,2.39198460,1.45946087,0.00000000,3.00655506,1.33978200,0.24501211,0.00000000
-5.89194597,2.41002459,1.46739561,0.00000000,3.09923978,1.33864120,0.24508286,0.00000000
-5.88594297,2.43478078,1.47679793,0.00000000,3.19866945,1.33976293,0.24779288,0.00000000
-5.87993997,2.46570770,1.48748478,0.00000000,3.30395705,1.34293551,0.25302118,0.00000000
-5.87393697,2.50215350,1.49922591,0.00000000,3.41407475,1.34789556,0.26062621,0.00000000
-5.86793397,2.54338493,1.51175601,0.00000000,3.52788226,1.35434150,0.27045016,0.00000000
-5.86193097,2.58861699,1.52478976,0.00000000,3.64416196,1.36194990,0.28232371,0.00000000
-5.85592796,2.63704640,1.53803893,0.00000000,3.76165984,1.37039375,0.29607125,0.00000000
-5.84992496,2.68788738,1.55123085,0.00000000,3.87913096,1.37936181,0.31151646,0.00000000
-5.84392196,2.74040837,1.56412710,0.00000000,3.99538768,1.38857823,0.32848803,0.00000000
-5.83791896,2.79396788,1.57654138,0.00000000,4.10934867,1.39782104,0.34682539,0.00000000
-5.83191596,2.84804749,1.58835539,0.00000000,4.22008625,1.40693871,0.36638419,0.00000000
-5.82591296,2.90228032,1.59953172,0.00000000,4.32686964,1.41586361,0.38704124,0.00000000
-5.81990995,2.95647309,1.61012261,0.00000000,4.42920154,1.42462145,0.40869880,0.00000000
-5.81390695,3.01062026,1.62027399,0.00000000,4.52684573,1.43333609,0.43128775,0.00000000
-5.80790395,3.06490902,1.63022413,0.00000000,4.61984353,1.44222906,0.45476959,0.00000000
-5.80190095,3.11971427,1.64029672,0.00000000,4.70851744,1.45161379,0.47913691,0.00000000
-5.79589795,3.17558343,1.65088833,0.00000000,4.79346105,1.46188434,0.50441232,0.00000000
-5.78989495,3.23321102,1.66245079,0.00000000,4.87551462,1.47349926,0.53064566,0.00000000
-5.78389195,3.29340404,1.67546905,0.00000000,4.95572698,1.48696101,0.55790948,0.00000000
-5.77788894,3.35703927,1.69043566,0.00000000,5.03530480,1.50279199,0.58629297,0.00000000
-5.77188594,3.42501442,1.70782292,0.00000000,5.11555117,1.52150823,0.61589446,0.00000000
