energy_ev,total_up,Hg_p_up,Hg_d_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,10.26443166,0.21264625,9.39053972,0.00559620,0.22900340,0.04719793,0.01067229,0.28565998
-5.99399700,10.21561365,0.21073181,9.34607330,0.00559808,0.23229671,0.04668795,0.01062806,0.28186918
-5.98799400,10.15447585,0.20850942,9.29042042,0.00561636,0.23506765,0.04613893,0.01058325,0.27777820
-5.98199100,10.07864907,0.20594950,9.22132003,0.00564673,0.23728991,0.04554103,0.01053480,0.27337875
-5.97598799,9.98619093,0.20302807,9.13691247,0.00568531,0.23894420,0.04488574,0.01047997,0.26867122
-5.96998499,9.87563756,0.19972743,9.03578851,0.00572869,0.24001892,0.04416613,0.01041638,0.26366487
-5.96398199,9.74603985,0.19603680,8.91702349,0.00577391,0.24051069,0.04337707,0.01034204,0.25837768
-5.95797899,9.59698287,0.19195277,8.78019555,0.00581844,0.24042458,0.04251541,0.01025535,0.25283602
-5.95197599,9.42858791,0.18747970,8.62538710,0.00586017,0.23977418,0.04158009,0.01015518,0.24707413
-5.94597299,9.24149686,0.18262987,8.45316975,0.00589738,0.23858136,0.04057224,0.01004085,0.24113329
-5.93996998,9.03683974,0.17742342,8.26457322,0.00592872,0.23687571,0.03949518,0.00991219,0.23506095
-5.93396698,8.81618668,0.17188812,8.06103968,0.00595319,0.23469371,0.03835434,0.00976956,0.22890964
-5.92796398,8.58148648,0.16605892,7.84436538,0.00597007,0.23207756,0.03715715,0.00961389,0.22273580
-5.92196098,8.33499439,0.15997723,7.61663236,0.00597891,0.22907380,0.03591286,0.00944668,0.21659862
-5.91595798,8.07919234,0.15369009,7.38013292,0.00597949,0.22573172,0.03463232,0.00927004,0.21055897
-5.90995498,7.81670515,0.14724916,7.13729051,0.00597176,0.22210165,0.03332765,0.00908665,0.20467836
-5.90395198,7.55021645,0.14070963,6.89058021,0.00595581,0.21823319,0.03201204,0.00889983,0.19901819
-5.89794897,7.28238802,0.13412901,6.64245247,0.00593185,0.21417352,0.03069935,0.00871350,0.19363928
-5.89194597,7.01578586,0.12756605,6.39526306,0.00590018,0.20996584,0.02940391,0.00853219,0.18860160
-5.88594297,6.75281623,0.12107955,6.15121224,0.00586116,0.20564807,0.02814015,0.00836100,0.18396448
-5.87993997,6.49567372,0.11472742,5.91229526,0.00581523,0.20125181,0.02692246,0.00820566,0.17978706
-5.87393697,6.24630339,0.10856573,5.68026571,0.00576290,0.19680176,0.02576491,0.00807246,0.17612907
-5.86793397,6.00637732,0.10264802,5.45661258,0.00570475,0.19231551,0.02468115,0.00796826,0.17305188
-5.86193097,5.77728583,0.09702471,5.24255090,0.00564150,0.18780374,0.02368433,0.00790049,0.17061970
-5.85592796,5.56014221,0.09174274,5.03902518,0.00557403,0.18327088,0.02278699,0.00787711,0.16890076
-5.84992496,5.35579926,0.08684530,4.84672412,0.00550338,0.17871616,0.02200108,0.00790662,0.16796851
-5.84392196,5.16487518,0.08237170,4.66610442,0.00543086,0.17413488,0.02133798,0.00799804,0.16790241
-5.83791896,4.98778610,0.07835737,4.49742118,0.00535808,0.16951999,0.02080851,0.00816089,0.16878852
-5.83191596,4.82478192,0.07483389,4.34076204,0.00528698,0.16486377,0.02042295,0.00840514,0.17071936
-5.82591296,4.67598244,0.07182901,4.19608224,0.00521992,0.16015947,0.02019106,0.00874126,0.17379330
-5.81990995,4.54141085,0.06936668,4.06323795,0.00515967,0.15540289,0.02012204,0.00918018,0.17811309
-5.81390695,4.42102195,0.06746703,3.94201546,0.00510954,0.15059376,0.02022449,0.00973329,0.18378371
-5.80790395,4.31472335,0.06614627,3.83215451,0.00507332,0.14573680,0.02050631,0.01041254,0.19090941
-5.80190095,4.22238832,0.06541646,3.73336451,0.00505540,0.14084242,0.02097456,0.01123047,0.19959014
-5.79589795,4.14385997,0.06528528,3.64533317,0.00506074,0.13592702,0.02163524,0.01220041,0.20991731
-5.78989495,4.07894723,0.06575570,3.56772783,0.00509495,0.13101292,0.02249312,0.01333666,0.22196928
