energy_ev,total_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,0.06640677,0.00150155,0.00000000,0.00167686,0.02989552,0.03156076,0.01305814
-5.99399700,0.05443817,0.00124482,0.00000000,0.00136210,0.02444070,0.02590391,0.01064868
-5.98799400,0.04437769,0.00102658,0.00000000,0.00109968,0.01988328,0.02112286,0.00864188
-5.98199100,0.03600345,0.00084324,0.00000000,0.00088272,0.01611636,0.01711659,0.00698835
-5.97598799,0.02910976,0.00069135,0.00000000,0.00070497,0.01304264,0.01378946,0.00564342
-5.96998499,0.02351013,0.00056773,0.00000000,0.00056078,0.01057558,0.01105271,0.00456759
-5.96398199,0.01903936,0.00046953,0.00000000,0.00044517,0.00864034,0.00882546,0.00372689
-5.95797899,0.01555502,0.00039433,0.00000000,0.00035381,0.00717442,0.00703537,0.00309305
-5.95197599,0.01293837,0.00034021,0.00000000,0.00028301,0.00612803,0.00561898,0.00264370
-5.94597299,0.01109481,0.00030576,0.00000000,0.00022968,0.00546441,0.00452177,0.00236240
-5.93996998,0.00995409,0.00029018,0.00000000,0.00019134,0.00515997,0.00369800,0.00223865
-5.93396698,0.00947022,0.00029324,0.00000000,0.00016602,0.00520441,0.00311046,0.00226795
-5.92796398,0.00962129,0.00031540,0.00000000,0.00015231,0.00560073,0.00273004,0.00245177
-5.92196098,0.01040920,0.00035775,0.00000000,0.00014922,0.00636536,0.00253526,0.00279753
-5.91595798,0.01185928,0.00042207,0.00000000,0.00015624,0.00752808,0.00251183,0.00331862
-5.90995498,0.01401984,0.00051086,0.00000000,0.00017324,0.00913204,0.00265214,0.00403433
-5.90395198,0.01696165,0.00062730,0.00000000,0.00020046,0.01123356,0.00295471,0.00496981
-5.89794897,0.02077719,0.00077528,0.00000000,0.00023848,0.01390191,0.00342379,0.00615592
-5.89194597,0.02557974,0.00095936,0.00000000,0.00028817,0.01721881,0.00406883,0.00762900
-5.88594297,0.03150212,0.00118476,0.00000000,0.00035069,0.02127769,0.00490403,0.00943056
-5.87993997,0.03869502,0.00145730,0.00000000,0.00042741,0.02618267,0.00594788,0.01160683
-5.87393697,0.04732493,0.00178333,0.00000000,0.00051989,0.03204713,0.00722269,0.01420806
-5.86793397,0.05757155,0.00216964,0.00000000,0.00062983,0.03899188,0.00875415,0.01728771
-5.86193097,0.06962455,0.00262336,0.00000000,0.00075906,0.04714287,0.01057077,0.02090147
-5.85592796,0.08367998,0.00315184,0.00000000,0.00090939,0.05662850,0.01270347,0.02510596
-5.84992496,0.09993603,0.00376245,0.00000000,0.00108265,0.06757650,0.01518508,0.02995734
-5.84392196,0.11858851,0.00446251,0.00000000,0.00128056,0.08011043,0.01804989,0.03550971
-5.83791896,0.13982604,0.00525901,0.00000000,0.00150469,0.09434600,0.02133324,0.04181344
-5.83191596,0.16382520,0.00615858,0.00000000,0.00175638,0.11038724,0.02507125,0.04891334
-5.82591296,0.19074592,0.00716722,0.00000000,0.00203668,0.12832270,0.02930060,0.05684696
-5.81990995,0.22072724,0.00829024,0.00000000,0.00234627,0.14822196,0.03405850,0.06564287
-5.81390695,0.25388388,0.00953216,0.00000000,0.00268546,0.17013247,0.03938284,0.07531920
-5.80790395,0.29030375,0.01089666,0.00000000,0.00305406,0.19407718,0.04531259,0.08588243
-5.80190095,0.33004670,0.01238655,0.00000000,0.00345146,0.22005284,0.05188837,0.09732649
-5.79589795,0.37314466,0.01400387,0.00000000,0.00387655,0.24802940,0.05915331,0.10963237
-5.78989495,0.41960327,0.01575003,0.00000000,0.00432775,0.27795049,0.06715410,0.12276818
-5.78389195,0.46940498,0.01762594,0.00000000,0.00480308,0.30973498,0.07594216,0.13668970
-5.77788894,0.52251341,0.01963225,0.00000000,0.00530018,0.34327972,0.08557494,0.15134144
-5.77188594,0.57887884,0.02176964,0.00000000,0.00581641,0.37846324,0.09611719,0.16665825
-5.76588294,0.63844431,0.02403907,0.00000000,0.00634894,0.41515028,0.10764205,0.18256722
-5.75987994,0.70115176,0.02644207,0.00000000,0.00689486,0.45319680,0.12023183,0.19898990
-5.75387694,0.76694776,0.02898092,0.00000000,0.00745128,0.49245521,0.13397837,0.21584475
-5.74787394,0.83578804,0.03165884,0.00000000,0.00801547,0.53277938,0.14898267,0.23304943
-5.74187094,0.90764009,0.03448001,0.00000000,0.00858495,0.57402898,0.16535376,0.25052304
-5.73586793,0.98248343,0.03744952,0.00000000,0.00915757,0.61607288,0.18320664,0.26818798
-5.72986493,1.06030672,0.04057307,0.00000000,0.00973157,0.65879106,0.20265910,0.28597126
-5.72386193,1.14110171,0.04385661,0.00000000,0.01030564,0.70207495,0.22382757,0.30380529
-5.71785893,1.22485359,0.04730576,0.00000000,0.01087892,0.74582592,0.24682176,0.32162793
-5.71185593,1.31152818,0.05092499,0.00000000,0.01145093,0.78995192,0.27173850,0.33938179
-5.70585293,1.40105625,0.05471680,0.00000000,0.01202156,0.83436240,0.29865469,0.35701299
-5.69984992,1.49331575,0.05868070,0.00000000,0.01259092,0.87896188,0.32761990,0.37446921
-5.69384692,1.58811304,0.06281214,0.00000000,0.01315924,0.92364245,0.35864870,0.39169744
-5.68784392,1.68516431,0.06710151,0.00000000,0.01372672,0.96827594,0.39171343,0.40864150
-5.68184092,1.78407867,0.07153312,0.00000000,0.01429339,1.01270636,0.42673767,0.42523957
-5.67583792,1.88434442,0.07608450,0.00000000,0.01485892,1.05674325,0.46359099,0.44142216
-5.66983492,1.98531994,0.08072573,0.00000000,0.01542258,1.10015687,0.50208546,0.45711053
-5.66383192,2.08623049,0.08541924,0.00000000,0.01598304,1.14267567,0.54197427,0.47221601
-5.65782891,2.18617204,0.09011990,0.00000000,0.01653838,1.18398663,0.58295292,0.48664026
-5.65182591,2.28412283,0.09477550,0.00000000,0.01708601,1.22373896,0.62466307,0.50027676
-5.64582291,2.37896277,0.09932764,0.00000000,0.01762276,1.26155108,0.66669923,0.51301333
-5.63981991,2.46950059,0.10371309,0.00000000,0.01814492,1.29702100,0.70861812,0.52473583
-5.63381691,2.55450778,0.10786546,0.00000000,0.01864843,1.32973960,0.74995047,0.53533277
-5.62781391,2.63275812,0.11171720,0.00000000,0.01912897,1.35930625,0.79021484,0.54470067
