energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,3.14404615,0.05534522,0.06105983,0.04165057,0.57228879,0.67622705,1.61682302
-5.99399700,3.03015844,0.05592852,0.05914245,0.04051138,0.55642053,0.66361752,1.54544469
-5.98799400,2.93517824,0.05692444,0.05709715,0.03960760,0.54347253,0.65260697,1.48546170
-5.98199100,2.85926826,0.05833311,0.05494476,0.03893699,0.53350314,0.64330897,1.43687235
-5.97598799,2.80221349,0.06014948,0.05270784,0.03849301,0.52649955,0.63579939,1.39947127
-5.96998499,2.76342595,0.06236227,0.05041018,0.03826490,0.52237967,0.63011333,1.37285282
-5.96398199,2.74195814,0.06495300,0.04807617,0.03823781,0.52099555,0.62624304,1.35641880
-5.95797899,2.73652545,0.06789526,0.04573028,0.03839306,0.52213886,0.62413725,1.34939074
-5.95197599,2.74553817,0.07115417,0.04339646,0.03870853,0.52554815,0.62370229,1.35082677
-5.94597299,2.76714316,0.07468630,0.04109769,0.03915926,0.53091814,0.62480529,1.35964314
-5.93996998,2.79927545,0.07843986,0.03885549,0.03971816,0.53791094,0.62727962,1.37464038
-5.93396698,2.83971926,0.08235546,0.03668971,0.04035685,0.54616914,0.63093294,1.39453382
-5.92796398,2.88617784,0.08636723,0.03461831,0.04104674,0.55533056,0.63555753,1.41798817
-5.92196098,2.93635082,0.09040445,0.03265738,0.04176018,0.56504437,0.64094302,1.44365545
-5.91595798,2.98801719,0.09439356,0.03082135,0.04247176,0.57498825,0.64689106,1.47021556
-5.90995498,3.03912177,0.09826059,0.02912322,0.04315966,0.58488592,0.65323142,1.49641822
-5.90395198,3.08786215,0.10193372,0.02757514,0.04380708,0.59452459,0.65983898,1.52112512
-5.89794897,3.13277316,0.10534618,0.02618889,0.04440365,0.60377160,0.66665073,1.54335081
-5.89194597,3.17280518,0.10843899,0.02497664,0.04494677,0.61258952,0.67368209,1.56230060
-5.88594297,3.20739300,0.11116373,0.02395162,0.04544289,0.62104890,0.68104141,1.57740413
-5.87993997,3.23651164,0.11348495,0.02312893,0.04590855,0.62933818,0.68894194,1.58834272
-5.87393697,3.26071608,0.11538228,0.02252618,0.04637129,0.63776979,0.69771033,1.59506935
-5.86793397,3.28116208,0.11685191,0.02216416,0.04687025,0.64678213,0.70779088,1.59781999
-5.86193097,3.29960599,0.11790757,0.02206732,0.04745644,0.65693685,0.71974484,1.59711522
-5.85592796,3.31838221,0.11858073,0.02226413,0.04819275,0.66891118,0.73424447,1.59375183
-5.84992496,3.34035754,0.11892008,0.02278717,0.04915345,0.68348521,0.75206133,1.58878398
-5.84392196,3.36886289,0.11899031,0.02367306,0.05042340,0.70152407,0.77404908,1.58349436
-5.83791896,3.40760338,0.11887009,0.02496203,0.05209679,0.72395540,0.80112065,1.57935584
-5.83191596,3.46054888,0.11864948,0.02669730,0.05427546,0.75174248,0.83422058,1.57798469
-5.82591296,3.53180779,0.11842677,0.02892411,0.05706683,0.78585362,0.87429293,1.58108681
-5.81990995,3.62548773,0.11830488,0.03168848,0.06058137,0.82722867,0.92224587,1.59039853
-5.81390695,3.74554710,0.11838749,0.03503572,0.06492980,0.87674352,0.97891391,1.60762401
-5.80790395,3.89564238,0.11877512,0.03900862,0.07021990,0.93517378,1.04501921,1.63437121
-5.80190095,4.07897588,0.11956117,0.04364557,0.07655309,1.00315870,1.12113319,1.67208865
-5.79589795,4.29814946,0.12082829,0.04897839,0.08402083,1.08116667,1.20764003,1.72200513
-5.78989495,4.55502912,0.12264507,0.05503016,0.09270095,1.16946351,1.30470360,1.78507453
-5.78389195,4.85062570,0.12506324,0.06181303,0.10265400,1.26808495,1.41223912,1.86192773
-5.77788894,5.18499653,0.12811552,0.06932612,0.11391975,1.37681437,1.52989107,1.95283333
-5.77188594,5.55717217,0.13181418,0.07755360,0.12651401,1.49516700,1.65701857,2.05766893
-5.76588294,5.96511214,0.13615029,0.08646302,0.14042587,1.62238156,1.79268914,2.17590408
-5.75987994,6.40569236,0.14109378,0.09600412,0.15561552,1.75742006,1.93568172,2.30659582
-5.75387694,6.87472643,0.14659422,0.10610801,0.17201277,1.89897632,2.08449927,2.44839742
-5.74787394,7.36702147,0.15258227,0.11668700,0.18951648,2.04549346,2.23739115,2.59958028
-5.74187094,7.87646835,0.15897173,0.12763502,0.20799483,2.19519012,2.39238486,2.75806880
-5.73586793,8.39616462,0.16566213,0.13882877,0.22728675,2.34609530,2.54732667,2.92148717
-5.72986493,8.91856743,0.17254159,0.15012948,0.24720421,2.49609062,2.69992980,3.08721705
-5.72386193,9.43567218,0.17949010,0.16138551,0.26753572,2.64295930,2.84782910,3.25246432
-5.71785893,9.93921176,0.18638276,0.17243545,0.28805066,2.78444003,2.98864024,3.41433277
-5.71185593,10.42086999,0.19309314,0.18311189,0.30850451,2.91828439,3.12002159,3.56990239
-5.70585293,10.87250214,0.19949646,0.19324564,0.32864479,3.04231556,3.23973665,3.71630964
-5.69984992,11.28635493,0.20547260,0.20267026,0.34821740,3.15448653,3.34571484,3.85082668
-5.69384692,11.65527803,0.21090880,0.21122678,0.36697323,3.25293554,3.43610845,3.97093697
-5.68784392,11.97291933,0.21570201,0.21876841,0.38467475,3.33603681,3.50934365,4.07440428
-5.68184092,12.23389675,0.21976088,0.22516507,0.40110221,3.40244451,3.56416374,4.15933263
-5.67583792,12.43393999,0.22300727,0.23030751,0.41605934,3.45112851,3.59966303,4.22421500
-5.66983492,12.56999705,0.22537744,0.23411095,0.42937812,3.48140035,3.61531025,4.26796897
-5.66383192,12.64030164,0.22682275,0.23651792,0.44092262,3.49292869,3.61096051,4.28995809
-5.65782891,12.64439927,0.22731005,0.23750041,0.45059149,3.48574355,3.58685572,4.28999845
-5.65182591,12.58313158,0.22682174,0.23706094,0.45831928,3.46022945,3.54361347,4.26835034
-5.64582291,12.45858037,0.22535543,0.23523280,0.46407639,3.41710780,3.48220504,4.22569578
-5.63981991,12.27397422,0.22292342,0.23207918,0.46786774,3.35740951,3.40392355,4.16310322
-5.63381691,12.03356260,0.21955197,0.22769150,0.46973027,3.28243901,3.31034356,4.08198115
-5.62781391,11.74246312,0.21528026,0.22218669,0.46972948,3.19373134,3.20327398,3.98402297
-5.62181091,11.40648901,0.21015931,0.21570380,0.46795519,3.09300416,3.08470589,3.87114560
-5.61580790,11.03196422,0.20425068,0.20839996,0.46451680,2.98210661,2.95675747,3.74542474
-5.60980490,10.62553375,0.19762507,0.20044579,0.45953830,2.86296711,2.82161788,3.60902934
-5.60380190,10.19397673,0.19036089,0.19202057,0.45315337,2.73754198,2.68149198,3.46415814
-5.59779890,9.74402895,0.18254264,0.18330719,0.44550066,2.60776672,2.53854783,3.31298050
-5.59179590,9.28222095,0.17425935,0.17448721,0.43671970,2.47551147,2.39486810,3.15758368
-5.58579290,8.81473621,0.16560291,0.16573598,0.42694737,2.34254184,2.25240705,2.99992801
-5.57978989,8.34729311,0.15666645,0.15721826,0.41631515,2.21048618,2.11295366,2.84181106
-5.57378689,7.88505250,0.14754271,0.14908410,0.40494728,2.08080961,1.97810178,2.68484135
-5.56778389,7.43255168,0.13832249,0.14146547,0.39295956,1.95479514,1.84922743,2.53042153
-5.56178089,6.99366407,0.12909318,0.13447337,0.38045896,1.83353181,1.72747336,2.37974055
-5.55577789,6.57158297,0.11993738,0.12819568,0.36754387,1.71790919,1.61374066,2.23377408
-5.54977489,6.16882675,0.11093170,0.12269578,0.35430470,1.60861793,1.50868694,2.09329183
-5.54377189,5.78726222,0.10214576,0.11801178,0.34082485,1.50615531,1.41273052,1.95887045
-5.53776888,5.42814277,0.09364134,0.11415660,0.32718180,1.41083505,1.32605999,1.83091061
-5.53176588,5.09215755,0.08547176,0.11111858,0.31344811,1.32280040,1.24864832,1.70965671
-5.52576288,4.77948824,0.07768150,0.10886289,0.29969234,1.24203975,1.18027087,1.59521784
-5.51975988,4.48987029,0.07030606,0.10733343,0.28597963,1.16840384,1.12052642,1.48758890
-5.51375688,4.22265591,0.06337198,0.10645526,0.27237201,1.10162388,1.06886066,1.38667078
-5.50775388,3.97687674,0.05689715,0.10613754,0.25892837,1.04133016,1.02459131,1.29228902
-5.50175088,3.75130459,0.05089123,0.10627674,0.24570414,0.98707054,0.98693442,1.20421037
-5.49574787,3.54450925,0.04535626,0.10676017,0.23275069,0.93832859,0.95503110,1.12215718
