energy_ev,total_up,Ca_p_up,Ca_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.20059383,0.01300541,0.00000000,0.82187532,0.27919429,0.00941199,0.15340087,0.00657882,0.69127306
-5.99399700,1.17346425,0.01282984,0.00000000,0.80672144,0.27193944,0.00910910,0.14575096,0.00630252,0.68038667
-5.98799400,1.14404646,0.01261301,0.00000000,0.79078025,0.26430469,0.00876784,0.13835416,0.00602481,0.66739912
-5.98199100,1.11296848,0.01235858,0.00000000,0.77450432,0.25647637,0.00839379,0.13139628,0.00575139,0.65253740
-5.97598799,1.08089855,0.01207111,0.00000000,0.75836143,0.24864232,0.00799319,0.12504868,0.00548787,0.63607691
-5.96998499,1.04853051,0.01175590,0.00000000,0.74282253,0.24098755,0.00757278,0.11946444,0.00523969,0.61833614
-5.96398199,1.01656946,0.01141885,0.00000000,0.72834993,0.23369031,0.00713965,0.11477515,0.00501201,0.59967070
-5.95797899,0.98571808,0.01106630,0.00000000,0.71538595,0.22691844,0.00670110,0.11108862,0.00480964,0.58046681
-5.95197599,0.95666374,0.01070486,0.00000000,0.70434253,0.22082626,0.00626450,0.10848735,0.00463703,0.56113424
-5.94597299,0.93006680,0.01034126,0.00000000,0.69559189,0.21555190,0.00583712,0.10702789,0.00449816,0.54209905
-5.93996998,0.90655008,0.00998217,0.00000000,0.68945866,0.21121522,0.00542607,0.10674097,0.00439663,0.52379608
-5.93396698,0.88668984,0.00963403,0.00000000,0.68621373,0.20791632,0.00503814,0.10763237,0.00433556,0.50666137
-5.92796398,0.87100811,0.00930295,0.00000000,0.68606989,0.20573451,0.00467972,0.10968456,0.00431765,0.49112468
-5.92196098,0.85996658,0.00899453,0.00000000,0.68917961,0.20472802,0.00435675,0.11285881,0.00434518,0.47760208
-5.91595798,0.85396195,0.00871376,0.00000000,0.69563477,0.20493414,0.00407462,0.11709792,0.00442001,0.46648878
-5.90995498,0.85332254,0.00846495,0.00000000,0.70546860,0.20636985,0.00383812,0.12232924,0.00454362,0.45815232
-5.90395198,0.85830624,0.00825168,0.00000000,0.71865943,0.20903295,0.00365139,0.12846801,0.00471706,0.45292602
-5.89794897,0.86909939,0.00807671,0.00000000,0.73513633,0.21290349,0.00351791,0.13542081,0.00494101,0.45110280
-5.89194597,0.88581649,0.00794199,0.00000000,0.75478602,0.21794548,0.00344039,0.14308906,0.00521570,0.45292941
-5.88594297,0.90850039,0.00784869,0.00000000,0.77746097,0.22410877,0.00342080,0.15137237,0.00554094,0.45860107
-5.87993997,0.93712286,0.00779718,0.00000000,0.80298798,0.23133100,0.00346029,0.16017169,0.00591602,0.46825646
