energy_ev,total_up,As_p_up,As_d_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-6.00000000,1.05016521,0.22736396,0.00000000,0.10326533,0.16566956,0.01132571,0.32115437
-5.99399700,1.07460695,0.23043200,0.00000000,0.10661763,0.16880427,0.01149780,0.33140735
-5.98799400,1.09274009,0.23193533,0.00000000,0.10945792,0.17087563,0.01159181,0.33998338
-5.98199100,1.10434767,0.23186443,0.00000000,0.11175763,0.17186029,0.01160622,0.34677068
-5.97598799,1.10935797,0.23024890,0.00000000,0.11350095,0.17176004,0.01154129,0.35169259
-5.96998499,1.10784907,0.22715746,0.00000000,0.11468582,0.17060218,0.01139898,0.35471016
-5.96398199,1.10004863,0.22269670,0.00000000,0.11532448,0.16843911,0.01118297,0.35582366
-5.95797899,1.08632930,0.21700856,0.00000000,0.11544378,0.16534703,0.01089849,0.35507308
-5.95197599,1.06719965,0.21026663,0.00000000,0.11508499,0.16142407,0.01055222,0.35253748
-5.94597299,1.04329122,0.20267160,0.00000000,0.11430325,0.15678755,0.01015198,0.34833326
-5.93996998,1.01534215,0.19444576,0.00000000,0.11316670,0.15157088,0.00970661,0.34261153
-5.93396698,0.98417791,0.18582703,0.00000000,0.11175511,0.14591991,0.00922561,0.33555444
-5.92796398,0.95068994,0.17706256,0.00000000,0.11015829,0.13998903,0.00871894,0.32737082
-5.92196098,0.91581269,0.16840220,0.00000000,0.10847404,0.13393714,0.00819671,0.31829102
-5.91595798,0.88050000,0.16009203,0.00000000,0.10680592,0.12792351,0.00766895,0.30856128
-5.90995498,0.84570120,0.15236811,0.00000000,0.10526071,0.12210378,0.00714536,0.29843767
-5.90395198,0.81233771,0.14545067,0.00000000,0.10394562,0.11662613,0.00663510,0.28817973
-5.89794897,0.78128064,0.13953875,0.00000000,0.10296548,0.11162770,0.00614666,0.27804402
-5.89194597,0.75332987,0.13480561,0.00000000,0.10241971,0.10723143,0.00568769,0.26827773
-5.88594297,0.72919497,0.13139473,0.00000000,0.10239935,0.10354321,0.00526494,0.25911244
-5.87993997,0.70947855,0.12941661,0.00000000,0.10298417,0.10064959,0.00488420,0.25075825
-5.87393697,0.69466216,0.12894643,0.00000000,0.10423990,0.09861587,0.00455029,0.24339850
-5.86793397,0.68509521,0.13002247,0.00000000,0.10621584,0.09748485,0.00426711,0.23718506
