energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,1.65538560,0.00043473,0.75396917,0.16097291,0.24346894,0.00000000,0.73643749,0.74332533
-5.99399700,1.65253969,0.00045166,0.74558280,0.16647458,0.25084875,0.00000000,0.71923100,0.73913751
-5.98799400,1.64730627,0.00046619,0.73674109,0.17103631,0.25731537,0.00000000,0.70299353,0.73375411
-5.98199100,1.63988426,0.00047812,0.72769633,0.17455918,0.26273231,0.00000000,0.68812399,0.72730179
-5.97598799,1.63051649,0.00048730,0.71869599,0.17696754,0.26699462,0.00000000,0.67499407,0.71992220
-5.96998499,1.61947934,0.00049364,0.70997452,0.17821136,0.27003075,0.00000000,0.66393532,0.71176705
-5.96398199,1.60707156,0.00049713,0.70174569,0.17826759,0.27180342,0.00000000,0.65522799,0.70299284
-5.95797899,1.59360272,0.00049784,0.69419580,0.17714074,0.27230934,0.00000000,0.64909212,0.69375574
-5.95197599,1.57938162,0.00049591,0.68747793,0.17486241,0.27157792,0.00000000,0.64568124,0.68420641
-5.94597299,1.56470508,0.00049156,0.68170740,0.17149003,0.26966901,0.00000000,0.64507883,0.67448516
-5.93996998,1.54984763,0.00048509,0.67695866,0.16710469,0.26666979,0.00000000,0.64729780,0.66471750
-5.93396698,1.53505259,0.00047685,0.67326373,0.16180824,0.26269097,0.00000000,0.65228294,0.65501031
-5.92796398,1.52052512,0.00046728,0.67061231,0.15571987,0.25786265,0.00000000,0.65991642,0.64544886
-5.92196098,1.50642768,0.00045684,0.66895368,0.14897224,0.25232984,0.00000000,0.67002600,0.63609477
-5.91595798,1.49287834,0.00044608,0.66820035,0.14170735,0.24624805,0.00000000,0.68239590,0.62698519
-5.90995498,1.47995211,0.00043557,0.66823336,0.13407240,0.23977903,0.00000000,0.69677969,0.61813320
-5.90395198,1.46768538,0.00042591,0.66890917,0.12621576,0.23308695,0.00000000,0.71291483,0.60952954
-5.89794897,1.45608331,0.00041773,0.67006777,0.11828321,0.22633506,0.00000000,0.73053820,0.60114561
-5.89194597,1.44512970,0.00041170,0.67154176,0.11041457,0.21968295,0.00000000,0.74940177,0.59293753
-5.88594297,1.43479882,0.00040848,0.67316591,0.10274087,0.21328442,0.00000000,0.76928769,0.58485124
-5.87993997,1.42506822,0.00040874,0.67478662,0.09538199,0.20728596,0.00000000,0.79002193,0.57682805
-5.87393697,1.41593163,0.00041315,0.67627096,0.08844497,0.20182573,0.00000000,0.81148551,0.56881065
-5.86793397,1.40741085,0.00042237,0.67751443,0.08202280,0.19703291,0.00000000,0.83362266,0.56074876
-5.86193097,1.39956552,0.00043704,0.67844717,0.07619375,0.19302730,0.00000000,0.85644504,0.55260443
-5.85592796,1.39249985,0.00045776,0.67903799,0.07102116,0.18991903,0.00000000,0.88003163,0.54435627
-5.84992496,1.38636541,0.00048508,0.67929598,0.06655355,0.18780815,0.00000000,0.90452395,0.53600248
-5.84392196,1.38135947,0.00051952,0.67926940,0.06282511,0.18678404,0.00000000,0.93011637,0.52756232
-5.83791896,1.37771859,0.00056147,0.67904182,0.05985623,0.18692461,0.00000000,0.95704204,0.51907597
-5.83191596,1.37570767,0.00061128,0.67872571,0.05765428,0.18829505,0.00000000,0.98555469,0.51060260
