energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,1.81823580,0.03626679,0.06819522,0.52536659,0.27081408,1.19188795,0.00000000,0.72093864,0.29147488
-5.99399700,1.91126305,0.03616498,0.07384015,0.55188968,0.28198522,1.24885682,0.00000000,0.75556752,0.31851988
-5.98799400,2.00458314,0.03587884,0.07979048,0.57854631,0.29301335,1.30558380,0.00000000,0.79057302,0.34703903
-5.98199100,2.09783671,0.03541596,0.08603597,0.60525036,0.30387578,1.36184573,0.00000000,0.82586535,0.37692708
-5.97598799,2.19061721,0.03478659,0.09255924,0.63190066,0.31454550,1.41739551,0.00000000,0.86132208,0.40804488
-5.96998499,2.28246484,0.03400330,0.09933476,0.65837807,0.32498961,1.47195860,0.00000000,0.89678358,0.44021773
-5.96398199,2.37286218,0.03308058,0.10632804,0.68454316,0.33516785,1.52523069,0.00000000,0.93204996,0.47323450
-5.95797899,2.46123201,0.03203441,0.11349490,0.71023463,0.34503147,1.57687662,0.00000000,0.96687974,0.50684789
-5.95197599,2.54693778,0.03088184,0.12078115,0.73526881,0.35452246,1.62653091,0.00000000,1.00099063,0.54077566
-5.94597299,2.62928689,0.02964047,0.12812252,0.75944015,0.36357330,1.67379995,0.00000000,1.03406229,0.57470309
-5.93996998,2.70753705,0.02832808,0.13544500,0.78252304,0.37210720,1.71826602,0.00000000,1.06574145,0.60828658
-5.93396698,2.78090580,0.02696218,0.14266562,0.80427480,0.38003895,1.75949303,0.00000000,1.09564900,0.64115853
-5.92796398,2.84858304,0.02555967,0.14969369,0.82443999,0.38727628,1.79703399,0.00000000,1.12338908,0.67293327
-5.92196098,2.90974641,0.02413650,0.15643243,0.84275577,0.39372187,1.83043995,0.00000000,1.14855978,0.70321406
-5.91595798,2.96357911,0.02270743,0.16278104,0.85895834,0.39927576,1.85927024,0.00000000,1.17076509,0.73160095
-5.90995498,3.00928964,0.02128585,0.16863718,0.87279011,0.40383828,1.88310363,0.00000000,1.18962753,0.75769939
-5.90395198,3.04613291,0.01988361,0.17389969,0.88400742,0.40731329,1.90155008,0.00000000,1.20480119,0.78112919
-5.89794897,3.07343192,0.01851103,0.17847147,0.89238844,0.40961151,1.91426261,0.00000000,1.21598423,0.80153377
-5.89194597,3.09059918,0.01717680,0.18226255,0.89774105,0.41065408,1.92094887,0.00000000,1.22293064,0.81858919
-5.88594297,3.09715711,0.01588810,0.18519301,0.89991013,0.41037584,1.92138195,0.00000000,1.22546045,0.83201286
