energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.33592860,0.00480878,0.09171563,0.42874144,0.55424492,0.17186737,0.06650909,0.00984423,0.60623227
-5.99399700,1.29844378,0.00469100,0.08839317,0.41460239,0.54100362,0.16756423,0.06425495,0.00966912,0.58906615
-5.98799400,1.25623465,0.00455592,0.08475325,0.39896408,0.52559998,0.16274377,0.06184847,0.00946954,0.56991147
-5.98199100,1.21010628,0.00440476,0.08085702,0.38219343,0.50831047,0.15755775,0.05934370,0.00924320,0.54916668
-5.97598799,1.16098471,0.00423938,0.07677143,0.36469021,0.48946478,0.15217780,0.05680110,0.00898919,0.52728765
-5.96998499,1.10989627,0.00406223,0.07256750,0.34687877,0.46943821,0.14679230,0.05428626,0.00870792,0.50477810
-5.96398199,1.05794511,0.00387629,0.06831862,0.32919954,0.44864291,0.14160313,0.05186874,0.00840117,0.48217929
-5.95797899,1.00628951,0.00368506,0.06409881,0.31210086,0.42751834,0.13682226,0.04962072,0.00807189,0.46005904
-5.95197599,0.95611794,0.00349245,0.05998119,0.29603115,0.40652128,0.13266831,0.04761583,0.00772414,0.43900073
-5.94597299,0.90862536,0.00330277,0.05603650,0.28143165,0.38611559,0.12936304,0.04592784,0.00736287,0.41959221
-5.93996998,0.86499038,0.00312066,0.05233187,0.26872984,0.36676222,0.12712788,0.04462956,0.00699372,0.40241508
-5.93396698,0.82635368,0.00295107,0.04892979,0.25833347,0.34890946,0.12618043,0.04379169,0.00662281,0.38803434
-5.92796398,0.79379795,0.00279922,0.04588730,0.25062534,0.33298382,0.12673093,0.04348173,0.00625649,0.37698862
-5.92196098,0.76832970,0.00267057,0.04325546,0.24595859,0.31938164,0.12897878,0.04376302,0.00590113,0.36978092
-5.91595798,0.75086281,0.00257084,0.04107894,0.24465250,0.30846157,0.13310894,0.04469372,0.00556291,0.36687009
-5.90995498,0.74220404,0.00250595,0.03939600,0.24698876,0.30053798,0.13928842,0.04632585,0.00524760,0.36866277
-5.90395198,0.74304037,0.00248204,0.03823849,0.25320790,0.29587546,0.14766261,0.04870441,0.00496042,0.37550610
-5.89794897,0.75392811,0.00250547,0.03763212,0.26350605,0.29468429,0.15835169,0.05186647,0.00470587,0.38768087
-5.89194597,0.77528381,0.00258276,0.03759681,0.27803176,0.29711697,0.17144706,0.05584029,0.00448763,0.40539548
-5.88594297,0.80737680,0.00272061,0.03814725,0.29688299,0.30326591,0.18700786,0.06064446,0.00430848,0.42878038
-5.87993997,0.85032349,0.00292583,0.03929335,0.32010420,0.31316206,0.20505769,0.06628716,0.00417029,0.45788339
-5.87393697,0.90408332,0.00320524,0.04104096,0.34768371,0.32677465,0.22558160,0.07276540,0.00407395,0.49266579
-5.86793397,0.96845655,0.00356561,0.04339240,0.37955129,0.34401188,0.24852359,0.08006437,0.00401943,0.53299937
-5.86193097,1.04308390,0.00401353,0.04634707,0.41557623,0.36472268,0.27378455,0.08815697,0.00400582,0.57866463
-5.85592796,1.12744818,0.00455520,0.04990200,0.45556608,0.38869938,0.30122095,0.09700342,0.00403138,0.62935025
-5.84992496,1.22087813,0.00519628,0.05405230,0.49926605,0.41568128,0.33064442,0.10655104,0.00409363,0.68465400
-5.84392196,1.32255443,0.00594163,0.05879145,0.54635953,0.44535915,0.36182218,0.11673431,0.00418947,0.74408527
-5.83791896,1.43151809,0.00679508,0.06411158,0.59646967,0.47738044,0.39447856,0.12747508,0.00431525,0.80706933
-5.83191596,1.54668136,0.00775914,0.07000342,0.64916226,0.51135531,0.42829770,0.13868307,0.00446689,0.87295336
-5.82591296,1.66684095,0.00883471,0.07645625,0.70395004,0.54686319,0.46292731,0.15025662,0.00464003,0.94101444
-5.81990995,1.79069375,0.01002082,0.08345756,0.76029846,0.58345990,0.49798367,0.16208369,0.00483009,1.01046930
-5.81390695,1.91685482,0.01131434,0.09099261,0.81763300,0.62068514,0.53305763,0.17404317,0.00503240,1.08048590
-5.80790395,2.04387753,0.01270979,0.09904378,0.87534782,0.65807027,0.56772177,0.18600638,0.00524230,1.15019668
-5.80190095,2.17027563,0.01419915,0.10758985,0.93281591,0.69514615,0.60153825,0.19783888,0.00545523,1.21871321
-5.79589795,2.29454699,0.01577174,0.11660519,0.98940037,0.73145105,0.63406753,0.20940248,0.00566681,1.28514215
-5.78989495,2.41519864,0.01741422,0.12605891,1.04446670,0.76653842,0.66487749,0.22055748,0.00587288,1.34860208
-5.78389195,2.53077281,0.01911064,0.13591402,1.09739588,0.79998433,0.69355281,0.23116498,0.00606964,1.40824095
-5.77788894,2.63987348,0.02084268,0.14612671,1.14759787,0.83139474,0.71970443,0.24108949,0.00625359,1.46325374
-5.77188594,2.74119308,0.02258990,0.15664585,1.19452519,0.86041217,0.74297869,0.25020147,0.00642166,1.51290000
-5.76588294,2.83353879,0.02433018,0.16741259,1.23768634,0.88672201,0.76306598,0.25838000,0.00657123,1.55652072
-5.75987994,2.91585792,0.02604024,0.17836040,1.27665849,0.91005814,0.77970858,0.26551546,0.00670010,1.59355430
-5.75387694,2.98726188,0.02769624,0.18941531,1.31109919,0.93020806,0.79270753,0.27151204,0.00680659,1.62355101
-5.74787394,3.04704801,0.02927455,0.20049663,1.34075661,0.94701722,0.80192822,0.27629021,0.00688949,1.64618565
-5.74187094,3.09471881,0.03075240,0.21151793,1.36547805,0.96039265,0.80730448,0.27978895,0.00694811,1.66126790
-5.73586793,3.12999777,0.03210874,0.22238847,1.38521613,0.97030574,0.80884116,0.28196769,0.00698227,1.66875015
-5.72986493,3.15284137,0.03332495,0.23301488,1.40003270,0.97679412,0.80661495,0.28280790,0.00699229,1.66873223
-5.72386193,3.16344635,0.03438560,0.24330311,1.41009977,0.97996258,0.80077331,0.28231428,0.00697898,1.66146296
-5.71785893,3.16225202,0.03527905,0.25316056,1.41569768,0.97998276,0.79153173,0.28051542,0.00694367,1.64733825
-5.71185593,3.14993683,0.03599796,0.26249830,1.41721004,0.97709179,0.77916906,0.27746395,0.00688811,1.62689548
-5.70585293,3.12740916,0.03653971,0.27123324,1.41511567,0.97158951,0.76402117,0.27323605,0.00681451,1.60080428
-5.69984992,3.09579182,0.03690654,0.27929021,1.40997742,0.96383441,0.74647310,0.26793043,0.00672543,1.56985367
-5.69384692,3.05640058,0.03710557,0.28660380,1.40242826,0.95423804,0.72694968,0.26166655,0.00662380,1.53493570
-5.68784392,3.01071681,0.03714859,0.29311992,1.39315469,0.94325813,0.70590513,0.25458241,0.00651279,1.49702596
