energy_ev,total_up,total_down,Bi_p_up,Bi_p_down,Bi_d_up,Bi_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.82591296,2.46005569,-2.46005570,0.19945713,-0.19945712,0.01148667,-0.01148667,1.12395475,-1.12395475,0.78666978,-0.78666979,0.02654649,-0.02654649,1.30556189,-1.30556190
-5.81990995,2.47696759,-2.47696759,0.19355420,-0.19355419,0.01159260,-0.01159260,1.12157484,-1.12157483,0.79607656,-0.79607657,0.02581944,-0.02581944,1.31964561,-1.31964561
-5.81390695,2.48581112,-2.48581112,0.18816612,-0.18816612,0.01164273,-0.01164273,1.11522207,-1.11522207,0.80298997,-0.80298997,0.02504026,-0.02504026,1.32840718,-1.32840718
-5.80790395,2.48575696,-2.48575696,0.18316796,-0.18316796,0.01163438,-0.01163438,1.10464856,-1.10464855,0.80710198,-0.80710199,0.02420379,-0.02420379,1.33146813,-1.33146813
-5.80190095,2.47616929,-2.47616927,0.17843673,-0.17843673,0.01156613,-0.01156613,1.08969754,-1.08969753,0.80816383,-0.80816383,0.02330724,-0.02330724,1.32856492,-1.32856491
-5.79589795,2.45663015,-2.45663013,0.17385572,-0.17385571,0.01143784,-0.01143784,1.07031136,-1.07031135,0.80599470,-0.80599470,0.02235034,-0.02235034,1.31955960,-1.31955959
-5.78989495,2.42695595,-2.42695592,0.16931818,-0.16931818,0.01125070,-0.01125070,1.04653571,-1.04653569,0.80048806,-0.80048806,0.02133537,-0.02133537,1.30444634,-1.30444633
-5.78389195,2.38720536,-2.38720534,0.16473031,-0.16473031,0.01100726,-0.01100726,1.01851994,-1.01851993,0.79161535,-0.79161534,0.02026707,-0.02026707,1.28335340,-1.28335338
-5.77788894,2.33767894,-2.33767891,0.16001346,-0.16001346,0.01071139,-0.01071139,0.98651373,-0.98651372,0.77942708,-0.77942707,0.01915244,-0.01915244,1.25654062,-1.25654059
-5.77188594,2.27891049,-2.27891045,0.15510565,-0.15510565,0.01036812,-0.01036812,0.95086011,-0.95086009,0.76405139,-0.76405138,0.01800039,-0.01800039,1.22439275,-1.22439273
-5.76588294,2.21165105,-2.21165100,0.14996235,-0.14996235,0.00998360,-0.00998360,0.91198540,-0.91198538,0.74569016,-0.74569015,0.01682136,-0.01682136,1.18740886,-1.18740883
-5.75987994,2.13684619,-2.13684614,0.14455662,-0.14455662,0.00956486,-0.00956486,0.87038658,-0.87038655,0.72461300,-0.72461299,0.01562687,-0.01562687,1.14618830,-1.14618827
-5.75387694,2.05560787,-2.05560782,0.13887858,-0.13887858,0.00911969,-0.00911969,0.82661653,-0.82661651,0.70114936,-0.70114934,0.01442907,-0.01442907,1.10141397,-1.10141393
-5.74787394,1.96918197,-1.96918191,0.13293450,-0.13293449,0.00865637,-0.00865636,0.78126798,-0.78126796,0.67567907,-0.67567905,0.01324023,-0.01324023,1.05383344,-1.05383341
-5.74187094,1.87891278,-1.87891272,0.12674530,-0.12674529,0.00818345,-0.00818345,0.73495667,-0.73495664,0.64862178,-0.64862176,0.01207236,-0.01207236,1.00423874,-1.00423871
-5.73586793,1.78620590,-1.78620585,0.12034486,-0.12034486,0.00770956,-0.00770956,0.68830451,-0.68830448,0.62042552,-0.62042551,0.01093677,-0.01093677,0.95344539,-0.95344536
-5.72986493,1.69249066,-1.69249061,0.11377804,-0.11377804,0.00724315,-0.00724315,0.64192332,-0.64192330,0.59155496,-0.59155494,0.00984381,-0.00984381,0.90227155,-0.90227152
-5.72386193,1.59918339,-1.59918333,0.10709855,-0.10709855,0.00679229,-0.00679229,0.59639967,-0.59639964,0.56247948,-0.56247946,0.00880255,-0.00880254,0.85151782,-0.85151778
-5.71785893,1.50765255,-1.50765250,0.10036685,-0.10036684,0.00636448,-0.00636448,0.55228126,-0.55228124,0.53366169,-0.53366168,0.00782065,-0.00782065,0.80194827,-0.80194824
-5.71185593,1.41918687,-1.41918682,0.09364805,-0.09364805,0.00596646,-0.00596646,0.51006539,-0.51006537,0.50554646,-0.50554644,0.00690431,-0.00690431,0.75427333,-0.75427330
