energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-3.40670335,5.43913252,-5.43912999,0.05800139,-0.05800132,1.02371721,-1.02371718,2.30310472,-2.30310562,2.07800178,-2.07799931,0.04361433,-0.04361429,1.63220275,-1.63220275,0.18353706,-0.18353714,0.01524743,-0.01524742
-3.40070035,5.46955567,-5.46955382,0.05598051,-0.05598044,1.04221252,-1.04221254,2.37811615,-2.37811733,2.05313462,-2.05313248,0.04250479,-0.04250475,1.66586905,-1.66586932,0.18770966,-0.18770975,0.01515505,-0.01515505
-3.39469735,5.50797790,-5.50797682,0.05415304,-0.05415298,1.06004363,-1.06004371,2.45252988,-2.45253136,2.03389335,-2.03389159,0.04159619,-0.04159616,1.70203644,-1.70203702,0.19238037,-0.19238048,0.01509985,-0.01509985
-3.38869435,5.55510911,-5.55510886,0.05255929,-0.05255923,1.07719953,-1.07719968,2.52591011,-2.52591189,2.02098109,-2.02097974,0.04089527,-0.04089524,1.74080610,-1.74080701,0.19755016,-0.19755028,0.01508756,-0.01508755
-3.38269135,5.61149378,-5.61149440,0.05123325,-0.05123321,1.09368218,-1.09368240,2.59785492,-2.59785701,2.01498838,-2.01498748,0.04040459,-0.04040457,1.78224290,-1.78224416,0.20320753,-0.20320767,0.01512276,-0.01512276
-3.37668834,5.67749003,-5.67749157,0.05020199,-0.05020196,1.10950410,-1.10950441,2.66799954,-2.66800194,2.01637808,-2.01637766,0.04012270,-0.04012269,1.82636878,-1.82637039,0.20932810,-0.20932825,0.01520878,-0.01520878
-3.37068534,5.75324904,-5.75325152,0.04948524,-0.04948522,1.12468476,-1.12468515,2.73601535,-2.73601806,2.02547232,-2.02547239,0.04004437,-0.04004438,1.87315508,-1.87315704,0.21587428,-0.21587444,0.01534748,-0.01534749
-3.36468234,5.83869555,-5.83869897,0.04909528,-0.04909527,1.13924585,-1.13924633,2.80160448,-2.80160749,2.04244186,-2.04244244,0.04016088,-0.04016089,1.92251411,-1.92251644,0.22279525,-0.22279542,0.01553919,-0.01553920
-3.35867934,5.93351064,-5.93351499,0.04903703,-0.04903703,1.15320581,-1.15320637,2.86449066,-2.86449396,2.06729849,-2.06729959,0.04046039,-0.04046040,1.97429055,-1.97429322,0.23002713,-0.23002731,0.01578260,-0.01578261
-3.35267634,6.03711809,-6.03712334,0.04930841,-0.04930842,1.16657376,-1.16657441,2.92440706,-2.92441061,2.09989098,-2.09989257,0.04092835,-0.04092837,2.02825308,-2.02825607,0.23749347,-0.23749367,0.01607477,-0.01607478
