energy_ev,total_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,1.61272745,0.78504408,0.78055214,0.00166865,0.14278933,0.71068913,0.00688074
-5.99399700,1.66408861,0.80578203,0.80598318,0.00165129,0.15273318,0.73393348,0.00686431
-5.98799400,1.71906348,0.82918184,0.83280780,0.00163019,0.16351761,0.75865924,0.00685476
-5.98199100,1.77682466,0.85477141,0.86066106,0.00160600,0.17495639,0.78450638,0.00685218
-5.97598799,1.83639425,0.88200122,0.88910946,0.00157932,0.18684296,0.81104809,0.00685616
-5.96998499,1.89665597,0.91025200,0.91765570,0.00155069,0.19895403,0.83779625,0.00686572
-5.96398199,1.95637425,0.93884560,0.94574672,0.00152056,0.21105395,0.86421002,0.00687937
-5.95797899,2.01422014,0.96705892,0.97278495,0.00148933,0.22289970,0.88970741,0.00689512
-5.95197599,2.06880372,0.99414092,0.99814289,0.00145726,0.23424653,0.91367977,0.00691055
-5.94597299,2.11871217,1.01933210,1.02118042,0.00142453,0.24485399,0.93550874,0.00692290
-5.93996998,2.16255221,1.04188615,1.04126430,0.00139123,0.25449230,0.95458502,0.00692918
-5.93396698,2.19899538,1.06109275,1.05778931,0.00135740,0.26294866,0.97032835,0.00692630
-5.92796398,2.22682421,1.07630082,1.07019984,0.00132297,0.27003346,0.98220778,0.00691123
-5.92196098,2.24497731,1.08694110,1.07801120,0.00128788,0.27558603,0.98976136,0.00688116
-5.91595798,2.25259114,1.09254712,1.08082953,0.00125202,0.27947968,0.99261425,0.00683362
-5.90995498,2.24903659,1.09277344,1.07836934,0.00121530,0.28162584,0.99049457,0.00676666
-5.90395198,2.23394836,1.08741046,1.07046781,0.00117767,0.28197707,0.98324590,0.00667896
-5.89794897,2.20724581,1.07639478,1.05709505,0.00113914,0.28052882,0.97083608,0.00656994
-5.89194597,2.16914394,1.05981471,1.03835983,0.00109976,0.27731978,0.95336162,0.00643985
-5.88594297,2.12015395,1.03791055,1.01451036,0.00105971,0.27243085,0.93104760,0.00628979
-5.87993997,2.06107330,1.01106944,0.98593005,0.00101924,0.26598271,0.90424298,0.00612176
-5.87393697,1.99296546,0.97981514,0.95312847,0.00097871,0.25813204,0.87341150,0.00593859
-5.86793397,1.91713034,0.94479287,0.91672772,0.00093858,0.24906668,0.83911853,0.00574394
-5.86193097,1.83506650,0.90675009,0.87744494,0.00089940,0.23899968,0.80201453,0.00554214
-5.85592796,1.74842687,0.86651381,0.83607157,0.00086182,0.22816275,0.76281576,0.00533812
-5.84992496,1.65896975,0.82496533,0.79345034,0.00082652,0.21679916,0.72228304,0.00513726
-5.84392196,1.56850699,0.78301359,0.75045075,0.00079425,0.20515643,0.68119946,0.00494519
-5.83791896,1.47885133,0.74156791,0.70794414,0.00076577,0.19347911,0.64034786,0.00476766
-5.83191596,1.39176492,0.70151116,0.66677903,0.00074182,0.18200189,0.60048892,0.00461032
-5.82591296,1.30891056,0.66367439,0.62775781,0.00072311,0.17094321,0.56234059,0.00447854
-5.81990995,1.23180731,0.62881350,0.59161524,0.00071030,0.16049964,0.52655941,0.00437725
-5.81390695,1.16179158,0.59758880,0.55899957,0.00070394,0.15084117,0.49372441,0.00431076
-5.80790395,1.09998477,0.57054793,0.53045652,0.00070447,0.14210747,0.46432374,0.00428257
-5.80190095,1.04726802,0.54811248,0.50641668,0.00071218,0.13440528,0.43874441,0.00429532
-5.79589795,1.00426437,0.53056867,0.48718631,0.00072723,0.12780682,0.41726525,0.00435057
-5.78989495,0.97132868,0.51806199,0.47294175,0.00074958,0.12234945,0.40005299,0.00444881
-5.78389195,0.94854495,0.51059609,0.46372741,0.00077901,0.11803617,0.38716157,0.00458936
-5.77788894,0.93573093,0.50803557,0.45945720,0.00081513,0.11483728,0.37853431,0.00477037
