energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,1.81579061,0.00483785,0.31599963,0.32957658,0.21116914,0.68343490,0.79573515,0.69485569,0.00000000
-5.99399700,1.77805841,0.00489535,0.30370098,0.33007913,0.20986829,0.68136735,0.76302083,0.68987979,0.00000000
-5.98799400,1.74852889,0.00504702,0.29328163,0.33255222,0.20937675,0.68456690,0.73349387,0.68756391,0.00000000
-5.98199100,1.72823653,0.00529865,0.28494999,0.33713088,0.20982019,0.69340387,0.70765889,0.68819731,0.00000000
-5.97598799,1.71803477,0.00565553,0.27888348,0.34391660,0.21130382,0.70817352,0.68595100,0.69199407,0.00000000
-5.96998499,1.71858213,0.00612237,0.27522669,0.35297483,0.21391042,0.72909047,0.66873093,0.69908831,0.00000000
-5.96398199,1.73033382,0.00670302,0.27408974,0.36433382,0.21769935,0.75628432,0.65628152,0.70953261,0.00000000
-5.95797899,1.75353865,0.00740033,0.27554675,0.37798450,0.22270665,0.78979630,0.64880567,0.72329963,0.00000000
-5.95197599,1.78824095,0.00821591,0.27963449,0.39388154,0.22894592,0.82957704,0.64642539,0.74028669,0.00000000
-5.94597299,1.83428689,0.00914989,0.28635136,0.41194529,0.23641000,0.87548552,0.64918210,0.76032282,0.00000000
-5.93996998,1.89133462,0.01020071,0.29565643,0.43206448,0.24507327,0.92728914,0.65703793,0.78317783,0.00000000
-5.93396698,1.95886740,0.01136493,0.30746902,0.45409938,0.25489433,0.98466486,0.66987789,0.80857280,0.00000000
-5.92796398,2.03620881,0.01263704,0.32166858,0.47788526,0.26581884,1.04720149,0.68751284,0.83619124,0.00000000
-5.92196098,2.12253932,0.01400933,0.33809518,0.50323578,0.27778232,1.11440302,0.70968320,0.86569021,0.00000000
-5.91595798,2.21691332,0.01547179,0.35655050,0.52994620,0.29071277,1.18569290,0.73606324,0.89671089,0.00000000
-5.90995498,2.31827603,0.01701213,0.37679961,0.55779614,0.30453286,1.26041940,0.76626587,0.92888792,0.00000000
-5.90395198,2.42547974,0.01861576,0.39857341,0.58655185,0.31916150,1.33786178,0.79984800,0.96185705,0.00000000
-5.89794897,2.53729893,0.02026597,0.42157189,0.61596788,0.33451498,1.41723751,0.83631631,0.99526090,0.00000000
-5.89194597,2.65244434,0.02194410,0.44546808,0.64578814,0.35050725,1.49771023,0.87513346,1.02875261,0.00000000
-5.88594297,2.76957572,0.02362979,0.46991283,0.67574656,0.36704971,1.57839874,0.91572479,1.06199747,0.00000000
-5.87993997,2.88731381,0.02530135,0.49454022,0.70556735,0.38405040,1.65838671,0.95748545,1.09467273,0.00000000
-5.87393697,3.00425163,0.02693612,0.51897354,0.73496521,0.40141275,1.73673345,0.99978793,1.12646597,0.00000000
-5.86793397,3.11896575,0.02851098,0.54283173,0.76364564,0.41903407,1.81248537,1.04199017,1.15707244,0.00000000
-5.86193097,3.23002792,0.03000278,0.56573620,0.79130569,0.43680390,1.88468851,1.08344405,1.18619200,0.00000000
-5.85592796,3.33601770,0.03138891,0.58731774,0.81763531,0.45460247,1.95240174,1.12350427,1.21352628,0.00000000
-5.84992496,3.43553646,0.03264779,0.60722345,0.84231965,0.47229949,2.01471081,1.16153767,1.23877644,0.00000000
-5.84392196,3.52722315,0.03375941,0.62512347,0.86504233,0.48975331,2.07074307,1.19693283,1.26164230,0.00000000
-5.83791896,3.60977192,0.03470578,0.64071741,0.88548991,0.50681073,2.11968262,1.22910970,1.28182305,0.00000000
-5.83191596,3.68195173,0.03547142,0.65374014,0.90335745,0.52330754,2.16078572,1.25752940,1.29901988,0.00000000
-5.82591296,3.74262758,0.03604371,0.66396706,0.91835516,0.53906976,2.19339621,1.28170368,1.31294065,0.00000000
-5.81990995,3.79078294,0.03641321,0.67121848,0.93021591,0.55391582,2.21696048,1.30120405,1.32330645,0.00000000
-5.81390695,3.82554274,0.03657390,0.67536306,0.93870327,0.56765936,2.23104154,1.31567017,1.32985995,0.00000000
-5.80790395,3.84619609,0.03652332,0.67632041,0.94361995,0.58011284,2.23533187,1.32481741,1.33237499,0.00000000
-5.80190095,3.85221778,0.03626260,0.67406244,0.94481586,0.59109168,2.22966440,1.32844316,1.33066698,0.00000000
-5.79589795,3.84328743,0.03579642,0.66861379,0.94219580,0.60041879,2.21402116,1.32643174,1.32460349,0.00000000
-5.78989495,3.81930545,0.03513286,0.66005107,0.93572596,0.60792946,2.18853909,1.31875767,1.31411434,0.00000000
-5.78389195,3.78040454,0.03428318,0.64850101,0.92543908,0.61347619,2.15351262,1.30548707,1.29920049,0.00000000
-5.77788894,3.72695618,0.03326150,0.63413763,0.91143772,0.61693343,2.10939252,1.28677718,1.27994121,0.00000000
-5.77188594,3.65957110,0.03208441,0.61717837,0.89389551,0.61820194,2.05678096,1.26287367,1.25649879,0.00000000
-5.76588294,3.57909349,0.03077057,0.59787931,0.87305606,0.61721263,1.99642241,1.23410602,1.22912056,0.00000000
-5.75987994,3.48658858,0.02934021,0.57652963,0.84922952,0.61392968,1.92919061,1.20088078,1.19813773,0.00000000
-5.75387694,3.38332367,0.02781462,0.55344534,0.82278676,0.60835282,1.85607166,1.16367294,1.16396110,0.00000000
-5.74787394,3.27074304,0.02621567,0.52896250,0.79415132,0.60051858,1.77814358,1.12301561,1.12707349,0.00000000
-5.74187094,3.15043703,0.02456530,0.50343005,0.76378939,0.59050057,1.69655289,1.07948819,1.08801916,0.00000000
-5.73586793,3.02410654,0.02288505,0.47720238,0.73219809,0.57840859,1.61248876,1.03370335,1.04739061,0.00000000
-5.72986493,2.89352357,0.02119560,0.45063190,0.69989248,0.56438668,1.52715560,0.98629325,1.00581311,0.00000000
-5.72386193,2.76048931,0.01951638,0.42406168,0.66739183,0.54861013,1.44174483,0.93789522,0.96392754,0.00000000
-5.71785893,2.62679088,0.01786526,0.39781849,0.63520552,0.53128148,1.35740673,0.88913753,0.92237238,0.00000000
-5.71185593,2.49415827,0.01625825,0.37220624,0.60381914,0.51262563,1.27522340,0.84062533,0.88176514,0.00000000
-5.70585293,2.36422273,0.01470928,0.34750015,0.57368127,0.49288434,1.19618359,0.79292759,0.84268440,0.00000000
-5.69984992,2.23847805,0.01323014,0.32394166,0.54519150,0.47231005,1.12116026,0.74656495,0.80565277,0.00000000
-5.69384692,2.11824600,0.01183033,0.30173432,0.51868991,0.45115954,1.05089170,0.70199922,0.77112157,0.00000000
-5.68784392,2.00464699,0.01051711,0.28104077,0.49444853,0.42968736,0.98596669,0.65962459,0.73945788,0.00000000
-5.68184092,1.89857697,0.00929557,0.26198074,0.47266510,0.40813949,0.92681432,0.61976096,0.71093421,0.00000000
-5.67583792,1.80069137,0.00816872,0.24463034,0.45345915,0.38674734,0.87369862,0.58264936,0.68572152,0.00000000
-5.66983492,1.71139649,0.00713764,0.22902245,0.43687070,0.36572233,0.82671826,0.54844988,0.66388552,0.00000000
-5.66383192,1.63084874,0.00620172,0.21514833,0.42286156,0.34525132,0.78581123,0.51724186,0.64538664,0.00000000
-5.65782891,1.55896170,0.00535885,0.20296030,0.41131911,0.32549299,0.75076426,0.48902651,0.63008354,0.00000000
-5.65182591,1.49542068,0.00460564,0.19237546,0.40206255,0.30657532,0.72122666,0.46373175,0.61774024,0.00000000
-5.64582291,1.43970438,0.00393770,0.18328026,0.39485120,0.28859427,0.69672797,0.44121912,0.60803634,0.00000000
-5.63981991,1.39111274,0.00334982,0.17553582,0.38939480,0.27161372,0.67669886,0.42129252,0.60058021,0.00000000
-5.63381691,1.34880012,0.00283627,0.16898383,0.38536517,0.25566658,0.66049443,0.40370843,0.59492461,0.00000000
-5.62781391,1.31181244,0.00239093,0.16345277,0.38240910,0.24075702,0.64741914,0.38818728,0.59058408,0.00000000
-5.62181091,1.27912706,0.00200756,0.15876436,0.38016169,0.22686377,0.63675247,0.37442553,0.58705353,0.00000000
-5.61580790,1.24969389,0.00167990,0.15473984,0.37825997,0.21394415,0.62777440,0.36210808,0.58382740,0.00000000
-5.60980490,1.22247622,0.00140184,0.15120618,0.37635608,0.20193887,0.61978987,0.35092056,0.58041844,0.00000000
-5.60380190,1.19648982,0.00116754,0.14800165,0.37412975,0.19077711,0.61215138,0.34056103,0.57637570,0.00000000
-5.59779890,1.17083887,0.00097151,0.14498095,0.37129937,0.18038182,0.60427908,0.33075073,0.57130085,0.00000000
-5.59179590,1.14474751,0.00080867,0.14201949,0.36763159,0.17067501,0.59567761,0.32124357,0.56486226,0.00000000
-5.58579290,1.11758596,0.00067441,0.13901681,0.36294887,0.16158264,0.58594930,0.31183396,0.55680643,0.00000000
-5.57978989,1.08889034,0.00056459,0.13589904,0.35713489,0.15303912,0.57480343,0.30236287,0.54696631,0.00000000
-5.57378689,1.05837577,0.00047557,0.13262035,0.35013766,0.14499115,0.56206125,0.29272189,0.53526629,0.00000000
-5.56778389,1.02594230,0.00040417,0.12916341,0.34197020,0.13740074,0.54765698,0.28285524,0.52172378,0.00000000
-5.56178089,0.99167405,0.00034770,0.12553884,0.33270895,0.13024746,0.53163468,0.27275976,0.50644734,0.00000000
-5.55577789,0.95583158,0.00030388,0.12178370,0.32248997,0.12352979,0.51414161,0.26248307,0.48963172,0.00000000
