energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,1.79111175,0.00872895,0.16783964,0.09126772,1.20052500,0.56183167,0.01993867,0.71838437
-5.99399700,1.84950651,0.00838802,0.18290015,0.09330214,1.28637015,0.58038760,0.02024555,0.72814212
-5.98799400,1.91102577,0.00808255,0.19844392,0.09573081,1.37649245,0.59980282,0.02057853,0.73856516
-5.98199100,1.97504818,0.00781425,0.21429914,0.09853760,1.46981310,0.61989318,0.02093717,0.74959071
-5.97598799,2.04077981,0.00758358,0.23026804,0.10169810,1.56504889,0.64042200,0.02132022,0.76110834
-5.96998499,2.10725684,0.00738977,0.24612983,0.10517824,1.66073405,0.66110065,0.02172531,0.77295612
-5.96398199,2.17335745,0.00723086,0.26164488,0.10893344,1.75525139,0.68159194,0.02214874,0.78491977
-5.95797899,2.23782328,0.00710380,0.27656010,0.11290822,1.84687209,0.70151649,0.02258534,0.79673495
-5.95197599,2.29928986,0.00700460,0.29061530,0.11703651,1.93380283,0.72046184,0.02302841,0.80809285
-5.94597299,2.35632513,0.00692854,0.30355041,0.12124257,2.01423858,0.73799414,0.02346976,0.81864890
-5.93996998,2.40747457,0.00687037,0.31511321,0.12544252,2.08641895,0.75367193,0.02389991,0.82803429
-5.93396698,2.45131107,0.00682454,0.32506725,0.12954650,2.14868576,0.76706134,0.02430833,0.83586973
-5.92796398,2.48648698,0.00678548,0.33319971,0.13346126,2.19953919,0.77775214,0.02468383,0.84178083
-5.92196098,2.51178619,0.00674777,0.33932871,0.13709320,2.23769003,0.78537382,0.02501495,0.84541433
-5.91595798,2.52617323,0.00670643,0.34330978,0.14035161,2.26210552,0.78961073,0.02529047,0.84645425
-5.90995498,2.52883719,0.00665708,0.34504118,0.14315198,2.27204663,0.79021580,0.02549991,0.84463711
-5.90395198,2.51922789,0.00659609,0.34446778,0.14541925,2.26709490,0.78702175,0.02563401,0.83976542
-5.89794897,2.49708251,0.00652071,0.34158330,0.14709077,2.24716775,0.77994952,0.02568523,0.83171864
-5.89194597,2.46244115,0.00642919,0.33643080,0.14811888,2.21252128,0.76901319,0.02564812,0.82046097
