energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.00274022,0.28268085,0.15298297,0.00072909,0.06435974,0.01268773,0.45966985,0.28163464,0.09689194
-5.99399700,1.01887889,0.28747003,0.15558205,0.00060536,0.06473813,0.01284610,0.46854522,0.28875587,0.09931975
-5.98799400,1.03228648,0.29145135,0.15800476,0.00050450,0.06504171,0.01292351,0.47589089,0.29539392,0.10131548
-5.98199100,1.04222855,0.29438855,0.16011503,0.00042460,0.06520763,0.01291679,0.48139783,0.30130949,0.10282314
-5.97598799,1.04810052,0.29608408,0.16179406,0.00036400,0.06518215,0.01282482,0.48481614,0.30629282,0.10379872
-5.96998499,1.04944227,0.29638431,0.16294306,0.00032137,0.06492202,0.01264861,0.48596132,0.31016899,0.10421127
-5.96398199,1.04594742,0.29518309,0.16348514,0.00029573,0.06439535,0.01239118,0.48471818,0.31280204,0.10404357
-5.95797899,1.03746706,0.29242361,0.16336660,0.00028649,0.06358204,0.01205750,0.48104227,0.31409774,0.10329225
-5.95197599,1.02400834,0.28809844,0.16255728,0.00029349,0.06247387,0.01165429,0.47495902,0.31400503,0.10196755
-5.94597299,1.00572802,0.28224803,0.16105034,0.00031698,0.06107411,0.01118980,0.46656069,0.31251619,0.10009262
-5.93996998,0.98292160,0.27495758,0.15886124,0.00035762,0.05939677,0.01067350,0.45600131,0.30966569,0.09770238
-5.93396698,0.95600878,0.26635254,0.15602624,0.00041653,0.05746562,0.01011581,0.44348994,0.30552794,0.09484216
-5.92796398,0.92551575,0.25659306,0.15260032,0.00049521,0.05531278,0.00952776,0.42928263,0.30021396,0.09156608
-5.92196098,0.89205533,0.24586747,0.14865472,0.00059552,0.05297730,0.00892066,0.41367330,0.29386719,0.08793519
-5.91595798,0.85630571,0.23438526,0.14427418,0.00071968,0.05050346,0.00830577,0.39698415,0.28665851,0.08401561
-5.90995498,0.81898851,0.22236968,0.13955393,0.00087021,0.04793905,0.00769405,0.37955567,0.27878074,0.07987667
-5.90395198,0.78084712,0.21005040,0.13459662,0.00104982,0.04533366,0.00709587,0.36173688,0.27044273,0.07558909
-5.89794897,0.74262572,0.19765628,0.12950914,0.00126141,0.04273701,0.00652077,0.34387588,0.26186320,0.07122331
-5.89194597,0.70504977,0.18540878,0.12439961,0.00150795,0.04019737,0.00597738,0.32631111,0.25326452,0.06684806
-5.88594297,0.66880844,0.17351586,0.11937441,0.00179237,0.03776011,0.00547318,0.30936352,0.24486658,0.06252907
-5.87993997,0.63453913,0.16216678,0.11453540,0.00211752,0.03546653,0.00501452,0.29332972,0.23688091,0.05832819
-5.87393697,0.60281469,0.15152783,0.10997747,0.00248599,0.03335276,0.00460660,0.27847633,0.22950510,0.05430264
-5.86793397,0.57413315,0.14173901,0.10578632,0.00290007,0.03144895,0.00425341,0.26503562,0.22291782,0.05050470
-5.86193097,0.54891033,0.13291171,0.10203655,0.00336160,0.02977875,0.00395790,0.25320238,0.21727436,0.04698156
-5.85592796,0.52747525,0.12512746,0.09879020,0.00387190,0.02835888,0.00372204,0.24313204,0.21270292,0.04377547
-5.84992496,0.51006823,0.11843755,0.09609560,0.00443169,0.02719906,0.00354693,0.23494017,0.20930180,0.04092417
-5.84392196,0.49684176,0.11286374,0.09398671,0.00504097,0.02630206,0.00343299,0.22870312,0.20713742,0.03846148
-5.83791896,0.48786392,0.10839960,0.09248282,0.00569907,0.02566401,0.00338012,0.22445986,0.20624337,0.03641806
-5.83191596,0.48312418,0.10501279,0.09158874,0.00640457,0.02527487,0.00338787,0.22221494,0.20662051,0.03482231
-5.82591296,0.48254153,0.10264792,0.09129539,0.00715531,0.02511906,0.00345567,0.22194242,0.20823820,0.03370131
-5.81990995,0.48597451,0.10123004,0.09158086,0.00794848,0.02517622,0.00358293,0.22359076,0.21103655,0.03308186
-5.81390695,0.49323303,0.10066856,0.09241178,0.00878066,0.02542218,0.00376929,0.22708836,0.21492978,0.03299145
-5.80790395,0.50409156,0.10086164,0.09374517,0.00964797,0.02582991,0.00401473,0.23234983,0.21981052,0.03345911
-5.80190095,0.51830324,0.10170074,0.09553045,0.01054615,0.02637063,0.00431974,0.23928259,0.22555509,0.03451621
-5.79589795,0.53561468,0.10307548,0.09771185,0.01147076,0.02701494,0.00468540,0.24779368,0.23202941,0.03619705
-5.78989495,0.55578059,0.10487849,0.10023081,0.01241732,0.02773399,0.00511347,0.25779651,0.23909544,0.03853917
-5.78389195,0.57857802,0.10701015,0.10302853,0.01338152,0.02850060,0.00560643,0.26921737,0.24661802,0.04158341
-5.77788894,0.60381945,0.10938328,0.10604851,0.01435932,0.02929041,0.00616747,0.28200123,0.25447168,0.04537367
-5.77188594,0.63136413,0.11192743,0.10923886,0.01534718,0.03008287,0.00680043,0.29611680,0.26254720,0.04995625
-5.76588294,0.66112723,0.11459270,0.11255443,0.01634214,0.03086217,0.00750974,0.31156035,0.27075776,0.05537883
-5.75987994,0.69308614,0.11735303,0.11595854,0.01734191,0.03161805,0.00830021,0.32835821,0.27904417,0.06168910
-5.75387694,0.72728356,0.12020877,0.11942439,0.01834497,0.03234635,0.00917688,0.34656766,0.28737913,0.06893293
-5.74787394,0.76382713,0.12318835,0.12293584,0.01935054,0.03304945,0.01014473,0.36627608,0.29577020,0.07715229
-5.74187094,0.80288519,0.12634903,0.12648775,0.02035858,0.03373641,0.01120843,0.38759827,0.30426130,0.08638277
-5.73586793,0.84467894,0.12977659,0.13008574,0.02136969,0.03442289,0.01237198,0.41067194,0.31293256,0.09665099
-5.72986493,0.88947089,0.13358390,0.13374540,0.02238505,0.03513082,0.01363842,0.43565139,0.32189857,0.10797174
-5.72386193,0.93755000,0.13790830,0.13749096,0.02340619,0.03588776,0.01500943,0.46269963,0.33130493,0.12034522
-5.71785893,0.98921404,0.14290780,0.14135352,0.02443489,0.03672604,0.01648500,0.49197898,0.34132311,0.13375427
-5.71185593,1.04474963,0.14875618,0.14536885,0.02547295,0.03768168,0.01806315,0.52364072,0.35214392,0.14816193
