energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.24066794,-3.09180557,0.01308507,-0.04563482,0.15599984,-0.15569352,0.51575137,-0.76557347,0.14718928,-0.16398286,0.46560635,-0.53953184,0.23263480,-0.22004389,0.04087541,-0.07391911,1.07465583,-1.67498445
-5.99399700,2.22636224,-2.99408684,0.01173088,-0.04342260,0.15175165,-0.15438211,0.51590123,-0.75002647,0.14715875,-0.16409818,0.47153587,-0.52725938,0.22909547,-0.21191704,0.03874435,-0.06976653,1.07387517,-1.61813565
-5.98799400,2.21214481,-2.92129360,0.01048078,-0.04143339,0.14730679,-0.15400604,0.51595728,-0.73986672,0.14719123,-0.16524619,0.47680533,-0.52029019,0.22570413,-0.20543463,0.03666320,-0.06622062,1.07339172,-1.57517093
-5.98199100,2.19753907,-2.87144039,0.00933636,-0.03965508,0.14268091,-0.15445455,0.51580252,-0.73474978,0.14725930,-0.16730706,0.48117773,-0.51808189,0.22243684,-0.20047960,0.03463416,-0.06322183,1.07289084,-1.54504483
-5.97598799,2.18215760,-2.84212849,0.00829791,-0.03806956,0.13789128,-0.15559600,0.51534390,-0.73421039,0.14733807,-0.17014127,0.48444593,-0.52002796,0.21927199,-0.19690415,0.03266040,-0.06070392,1.07211060,-1.52648586
-5.96998499,2.16569549,-2.83062648,0.00736445,-0.03665407,0.13295630,-0.15728215,0.51451101,-0.73768002,0.14740532,-0.17359409,0.48643481,-0.52547075,0.21618964,-0.19453585,0.03074569,-0.05859629,1.07083867,-1.51803953
-5.96398199,2.14792310,-2.83395802,0.00653380,-0.03538263,0.12789508,-0.15935280,0.51325423,-0.74450730,0.14744154,-0.17750049,0.48700329,-0.53371572,0.21317102,-0.19318415,0.02889400,-0.05682630,1.06890859,-1.51811529
-5.95797899,2.12867807,-2.84899393,0.00580272,-0.03422741,0.12272728,-0.16164072,0.51154224,-0.75398052,0.14742988,-0.18169030,0.48604598,-0.54404666,0.21019813,-0.19264722,0.02710929,-0.05532151,1.06619525,-1.52503584
-5.95197599,2.10785690,-2.87254556,0.00516700,-0.03316016,0.11747294,-0.16397679,0.50935924,-0.76535154,0.14735605,-0.18599346,0.48349430,-0.55574158,0.20725351,-0.19271873,0.02539522,-0.05401175,1.06260978,-1.53708724
-5.94597299,2.08540604,-2.90145641,0.00462168,-0.03215347,0.11215254,-0.16619500,0.50670173,-0.77785999,0.14720810,-0.19024518,0.47931697,-0.56808882,0.20432008,-0.19319443,0.02375507,-0.05283100,1.05809394,-1.55256810
-5.93996998,2.06131277,-2.93268897,0.00416113,-0.03118192,0.10678710,-0.16813729,0.50357519,-0.79075704,0.14697604,-0.19429075,0.47351986,-0.58040306,0.20138115,-0.19387823,0.02219161,-0.05171899,1.05261414,-1.56983629
-5.93396698,2.03559611,-2.96340409,0.00377931,-0.03022301,0.10139841,-0.16965803,0.49999059,-0.80332784,0.14665152,-0.19798986,0.46614511,-0.59204057,0.19842041,-0.19458766,0.02070713,-0.05062248,1.04615537,-1.58735170
-5.92796398,2.00829820,-2.99103013,0.00346987,-0.02925785,0.09600924,-0.17062793,0.49596119,-0.81491178,0.14622738,-0.20122028,0.45726948,-0.60241344,0.19542211,-0.19515851,0.01930343,-0.04949625,1.03871519,-1.60371352
-5.92196098,1.97947649,-3.01331998,0.00322638,-0.02827169,0.09064370,-0.17093741,0.49149945,-0.82491991,0.14569723,-0.20388072,0.44700222,-0.61100201,0.19237128,-0.19544853,0.01798198,-0.04830370,1.03029828,-1.61769099
-5.91595798,1.94919723,-3.02839412,0.00304243,-0.02725411,0.08532752,-0.17049914,0.48661453,-0.83284900,0.14505515,-0.20589278,0.43548233,-0.61736535,0.18925404,-0.19534008,0.01674397,-0.04701715,1.02091165,-1.62824673
-5.90995498,1.91753088,-3.03476879,0.00291184,-0.02619906,0.08008843,-0.16924986,0.48131036,-0.83829167,0.14429547,-0.20720198,0.42287558,-0.62114914,0.18605801,-0.19474173,0.01559055,-0.04561780,1.01056103,-1.63455200
-5.90395198,1.88454970,-3.03136872,0.00282880,-0.02510467,0.07495647,-0.16715129,0.47558445,-0.84094250,0.14341272,-0.20777773,0.40937137,-0.62209090,0.18277292,-0.19358878,0.01452301,-0.04409534,0.99924865,-1.63599365
-5.89794897,1.85032810,-3.01752460,0.00278797,-0.02397286,0.06996436,-0.16419027,0.46942759,-0.84059990,0.14240181,-0.20761246,0.39517975,-0.62002217,0.17939128,-0.19184277,0.01354297,-0.04244738,0.98697267,-1.63217284
-5.89194597,1.81494596,-2.99295622,0.00278467,-0.02280884,0.06514783,-0.16037802,0.46282452,-0.83716402,0.14125854,-0.20671971,0.38052881,-0.61486777,0.17590927,-0.18949002,0.01265266,-0.04067864,0.97372843,-1.62289613
-5.88594297,1.77849498,-2.95774261,0.00281495,-0.02162046,0.06054600,-0.15574873,0.45575545,-0.83063088,0.13998023,-0.20513166,0.36566261,-0.60664208,0.17232772,-0.18653937,0.01185511,-0.03879989,0.95951161,-1.60815941
