energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,9.18261716,0.04170944,1.81840138,0.04363428,0.00000000,4.03476060,4.74101794,0.09274403,2.35641608
-5.99399700,9.20380300,0.04153071,1.81714394,0.04336337,0.00000000,4.05904471,4.76034235,0.09174397,2.36685484
-5.98799400,9.19635437,0.04121245,1.80966866,0.04295201,0.00000000,4.07030286,4.76390110,0.09049786,2.37145934
-5.98199100,9.16067484,0.04076365,1.79618035,0.04240801,0.00000000,4.06843010,4.75170677,0.08902724,2.37022645
-5.97598799,9.09779655,0.04019643,1.77702062,0.04174180,0.00000000,4.05365235,4.72411936,0.08735974,2.36327400
-5.96998499,9.00934473,0.03952564,1.75265829,0.04096608,0.00000000,4.02651678,4.68183512,0.08552828,2.35083394
-5.96398199,8.89748377,0.03876831,1.72367574,0.04009543,0.00000000,3.98787133,4.62586502,0.08357020,2.33324221
-5.95797899,8.76484709,0.03794311,1.69075183,0.03914588,0.00000000,3.93883423,4.55750379,0.08152609,2.31092570
-5.95197599,8.61445387,0.03706980,1.65464200,0.03813440,0.00000000,3.88075480,4.47829083,0.07943867,2.28438690
-5.94597299,8.44961586,0.03616854,1.61615639,0.03707845,0.00000000,3.81516730,4.38996456,0.07735149,2.25418684
-5.93996998,8.27383824,0.03525939,1.57613671,0.03599544,0.00000000,3.74373979,4.29441201,0.07530769,2.22092708
-5.93396698,8.09071814,0.03436169,1.53543282,0.03490235,0.00000000,3.66822011,4.19361548,0.07334878,2.18523143
-5.92796398,7.90384480,0.03349356,1.49487986,0.03381520,0.00000000,3.59038128,4.08959838,0.07151349,2.14772813
-5.92196098,7.71670470,0.03267150,1.45527654,0.03274880,0.00000000,3.51196828,3.98437191,0.06983680,2.10903316
-5.91595798,7.53259498,0.03190999,1.41736548,0.03171637,0.00000000,3.43464835,3.87988443,0.06834904,2.06973529
-5.90995498,7.35454745,0.03122124,1.38181600,0.03072932,0.00000000,3.35996645,3.77797507,0.06707527,2.03038324
-5.90395198,7.18526551,0.03061498,1.34920987,0.02979713,0.00000000,3.28930723,3.68033269,0.06603477,1.99147541
-5.89794897,7.02707499,0.03009838,1.32003035,0.02892723,0.00000000,3.22386475,3.58846135,0.06524074,1.95345227
-5.89194597,6.88188991,0.02967604,1.29465461,0.02812503,0.00000000,3.16462050,3.50365283,0.06470029,1.91669160
-5.88594297,6.75119308,0.02934999,1.27334966,0.02739395,0.00000000,3.11233012,3.42696680,0.06441443,1.88150645
-5.87993997,6.63603116,0.02911990,1.25627169,0.02673553,0.00000000,3.06751882,3.35921853,0.06437842,1.84814558
-5.87393697,6.53702338,0.02898317,1.24346864,0.02614963,0.00000000,3.03048516,3.30097429,0.06458215,1.81679629
-5.86793397,6.45438256,0.02893524,1.23488581,0.02563460,0.00000000,3.00131266,3.25255394,0.06501069,1.78758911
-5.86193097,6.38794693,0.02896979,1.23037408,0.02518755,0.00000000,2.97988830,3.21404029,0.06564494,1.76060415
-5.85592796,6.33722095,0.02907906,1.22970052,0.02480457,0.00000000,2.96592699,3.18529461,0.06646235,1.73587848
-5.84992496,6.30142343,0.02925417,1.23256083,0.02448102,0.00000000,2.95900095,3.16597743,0.06743768,1.71341443
-5.84392196,6.27954080,0.02948541,1.23859325,0.02421179,0.00000000,2.95857250,3.15557383,0.06854389,1.69318814
-5.83791896,6.27038372,0.02976257,1.24739342,0.02399155,0.00000000,2.96402923,3.15342220,0.06975289,1.67515821
-5.83191596,6.27264511,0.03007526,1.25852972,0.02381498,0.00000000,2.97472006,3.15874557,0.07103643,1.65927402
-5.82591296,6.28495767,0.03041320,1.27155858,0.02367705,0.00000000,2.98999089,3.17068430,0.07236687,1.64548351
-5.81990995,6.30594914,0.03076653,1.28603931,0.02357315,0.00000000,3.00921847,3.18832927,0.07371798,1.63374015
-5.81390695,6.33429367,0.03112602,1.30154787,0.02349930,0.00000000,3.03184143,3.21075426,0.07506562,1.62400898
-5.80790395,6.36875760,0.03148335,1.31768935,0.02345229,0.00000000,3.05738703,3.23704666,0.07638837,1.61627140
-5.80190095,6.40823846,0.03183126,1.33410847,0.02342972,0.00000000,3.08549293,3.26633544,0.07766813,1.61052885
-5.79589795,6.45179586,0.03216372,1.35049804,0.02343014,0.00000000,3.11592276,3.29781557,0.07889050,1.60680498
-5.78989495,6.49867337,0.03247605,1.36660493,0.02345300,0.00000000,3.14857521,3.33076792,0.08004518,1.60514648
-5.78389195,6.54831079,0.03276494,1.38223353,0.02349865,0.00000000,3.18348584,3.36457430,0.08112609,1.60562239
-5.77788894,6.60034634,0.03302850,1.39724645,0.02356827,0.00000000,3.22082176,3.39872696,0.08213155,1.60832191
-5.77188594,6.65460900,0.03326619,1.41156277,0.02366375,0.00000000,3.26086902,3.43283254,0.08306408,1.61335070
-5.76588294,6.71110120,0.03347874,1.42515371,0.02378757,0.00000000,3.30401328,3.46661033,0.08393030,1.62082582
-5.75987994,6.76997276,0.03366802,1.43803620,0.02394260,0.00000000,3.35071445,3.49988526,0.08474049,1.63086930
-5.75387694,6.83148724,0.03383685,1.45026464,0.02413191,0.00000000,3.40147612,3.53257599,0.08550813,1.64360055
-5.74787394,6.89598225,0.03398882,1.46192124,0.02435852,0.00000000,3.45681116,3.56467893,0.08624931,1.65912789
-5.74187094,6.96382534,0.03412804,1.47310554,0.02462522,0.00000000,3.51720475,3.59624897,0.08698198,1.67753934
-5.73586793,7.03536769,0.03425891,1.48392358,0.02493427,0.00000000,3.58307653,3.62737813,0.08772519,1.69889319
-5.72986493,7.11089759,0.03438586,1.49447721,0.02528722,0.00000000,3.65474331,3.65817307,0.08849820,1.72320844
-5.72386193,7.19059588,0.03451311,1.50485413,0.02568468,0.00000000,3.73238413,3.68873277,0.08931967,1.75045592
