energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,5.28717988,1.11619266,2.62798284,0.00645807,0.08131642,1.29542217,1.93996923,0.61235066,0.00000000
-5.99399700,5.16312555,1.09898245,2.55280617,0.00682718,0.08093073,1.28943520,1.90064523,0.60423076,0.00000000
-5.98799400,5.03089642,1.07998808,2.47313124,0.00725982,0.08049179,1.28084795,1.85834753,0.59495959,0.00000000
-5.98199100,4.89206549,1.05946535,2.38996012,0.00775640,0.07999618,1.26968157,1.81356025,0.58460650,0.00000000
-5.97598799,4.74824356,1.03768640,2.30431272,0.00831608,0.07944290,1.25599841,1.76678043,0.57325620,0.00000000
-5.96998499,4.60105185,1.01493607,2.21720527,0.00893674,0.07883366,1.23990450,1.71851218,0.56100802,0.00000000
-5.96398199,4.45209542,0.99150798,2.12962981,0.00961490,0.07817322,1.22155084,1.66926103,0.54797471,0.00000000
-5.95797899,4.30293810,0.96770022,2.04253502,0.01034582,0.07746956,1.20113347,1.61952847,0.53428091,0.00000000
-5.95197599,4.15507918,0.94381075,1.95680907,0.01112350,0.07673397,1.17889192,1.56980668,0.52006116,0.00000000
-5.94597299,4.00993213,0.92013250,1.87326480,0.01194079,0.07598096,1.15510611,1.52057334,0.50545760,0.00000000
-5.93996998,3.86880564,0.89694824,1.79262758,0.01278955,0.07522797,1.13009140,1.47228662,0.49061726,0.00000000
-5.93396698,3.73288704,0.87452520,1.71552597,0.01366078,0.07449496,1.10419213,1.42538007,0.47568907,0.00000000
-5.92796398,3.60322806,0.85310977,1.64248528,0.01454481,0.07380377,1.07777338,1.38025772,0.46082062,0.00000000
-5.92196098,3.48073302,0.83292212,1.57392396,0.01543150,0.07317733,1.05121143,1.33728894,0.44615483,0.00000000
-5.91595798,3.36614938,0.81415115,1.51015267,0.01631044,0.07263868,1.02488308,1.29680343,0.43182645,0.00000000
