energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,7.55784247,1.62231612,5.36273749,0.02748744,0.50429568,1.24446579,0.00000000
-5.99399700,7.50220536,1.60720085,5.33021824,0.02814236,0.48353174,1.24387650,0.00000000
-5.98799400,7.46056234,1.59399533,5.30890866,0.02875099,0.46313565,1.24476469,0.00000000
-5.98199100,7.43332609,1.58263664,5.29914871,0.02931467,0.44320427,1.24715429,0.00000000
-5.97598799,7.42068635,1.57302802,5.30110167,0.02983524,0.42382210,1.25104395,0.00000000
-5.96998499,7.42256977,1.56503810,5.31472188,0.03031473,0.40506033,1.25640031,0.00000000
-5.96398199,7.43860868,1.55850098,5.33972956,0.03075507,0.38697631,1.26315239,0.00000000
-5.95797899,7.46812074,1.55321745,5.37559441,0.03115774,0.36961326,1.27118757,0.00000000
-5.95197599,7.51010127,1.54895741,5.42152915,0.03152351,0.35300030,1.28034953,0.00000000
-5.94597299,7.56322919,1.54546364,5.47649371,0.03185226,0.33715290,1.29043834,0.00000000
-5.93996998,7.62588677,1.54245696,5.53921020,0.03214284,0.32207373,1.30121292,0.00000000
-5.93396698,7.69619280,1.53964260,5.60818834,0.03239294,0.30775384,1.31239575,0.00000000
-5.92796398,7.77204822,1.53671762,5.68176060,0.03259919,0.29417419,1.32367972,0.00000000
-5.92196098,7.85119232,1.53337931,5.75812570,0.03275717,0.28130751,1.33473678,0.00000000
-5.91595798,7.93126769,1.52933396,5.83539907,0.03286167,0.26912034,1.34522807,0.00000000
-5.90995498,8.00989127,1.52430585,5.91166836,0.03290683,0.25757517,1.35481505,0.00000000
-5.90395198,8.08472891,1.51804608,5.98505211,0.03288652,0.24663266,1.36317104,0.00000000
-5.89794897,8.15357063,1.51034070,6.05375949,0.03279463,0.23625377,1.36999280,0.00000000
-5.89194597,8.21440380,1.50101798,6.11614893,0.03262542,0.22640172,1.37501152,0.00000000
-5.88594297,8.26548163,1.48995441,6.17078375,0.03237389,0.21704372,1.37800273,0.00000000
-5.87993997,8.30538424,1.47707916,6.21648253,0.03203612,0.20815240,1.37879487,0.00000000
-5.87393697,8.33307029,1.46237697,6.25236258,0.03160959,0.19970684,1.37727603,0.00000000
-5.86793397,8.34791687,1.44588920,6.27787455,0.03109341,0.19169322,1.37339868,0.00000000
-5.86193097,8.34974626,1.42771322,6.29282680,0.03048854,0.18410510,1.36718224,0.00000000
-5.85592796,8.33883806,1.40800002,6.29739819,0.02979791,0.17694329,1.35871345,0.00000000
-5.84992496,8.31592586,1.38695037,6.29213833,0.02902647,0.17021532,1.34814449,0.00000000
-5.84392196,8.28217824,1.36480950,6.27795464,0.02818117,0.16393462,1.33568906,0.00000000
-5.83791896,8.23916391,1.34186077,6.25608622,0.02727080,0.15811946,1.32161648,0.00000000
-5.83191596,8.18880213,1.31841842,6.22806470,0.02630590,0.15279163,1.30624415,0.00000000
-5.82591296,8.13329926,1.29481973,6.19566310,0.02529841,0.14797501,1.28992860,0.00000000
-5.81990995,8.07507379,1.27141698,6.16083407,0.02426146,0.14369411,1.27305535,0.00000000
-5.81390695,8.01667204,1.24856933,6.12563973,0.02320899,0.13997250,1.25602812,0.00000000
-5.80790395,7.96067783,1.22663511,6.09217552,0.02215542,0.13683146,1.23925753,0.00000000
-5.80190095,7.90961949,1.20596457,6.06249121,0.02111524,0.13428863,1.22314974,0.00000000
-5.79589795,7.86587821,1.18689356,6.03851260,0.02010271,0.13235686,1.20809537,0.00000000
