energy_ev,total_up,Cu_p_up,Cu_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,5.13018588,2.28307923,3.84674360,0.46574385,0.72447539,0.00110646,0.12719377,0.29896666,0.00000000
-5.99399700,5.03884108,2.22918623,3.75317222,0.46376205,0.72898311,0.00106217,0.12737447,0.29531911,0.00000000
-5.98799400,4.93647390,2.17055918,3.65221294,0.46063152,0.73115220,0.00101928,0.12708773,0.29129844,0.00000000
-5.98199100,4.82343143,2.10733091,3.54442999,0.45627298,0.73090490,0.00097722,0.12631016,0.28682763,0.00000000
-5.97598799,4.70029293,2.03973218,3.43050640,0.45063654,0.72823257,0.00093551,0.12503041,0.28184988,0.00000000
-5.96998499,4.56785691,1.96808799,3.31122679,0.44370264,0.72319683,0.00089384,0.12324945,0.27633113,0.00000000
-5.96398199,4.42712460,1.89281193,3.18746081,0.43548215,0.71592807,0.00085204,0.12098037,0.27026180,0.00000000
-5.95797899,4.27928019,1.81439856,3.06014744,0.42601577,0.70662140,0.00081004,0.11824796,0.26365760,0.00000000
-5.95197599,4.12566808,1.73341403,2.93028057,0.41537277,0.69553022,0.00076793,0.11508796,0.25655962,0.00000000
-5.94597299,3.96776762,1.65048511,2.79889560,0.40364897,0.68295754,0.00072586,0.11154597,0.24903341,0.00000000
-5.93996998,3.80716568,1.56628687,2.66705721,0.39096422,0.66924541,0.00068410,0.10767623,0.24116738,0.00000000
-5.93396698,3.64552757,1.48152933,2.53584800,0.37745927,0.65476302,0.00064297,0.10354006,0.23307035,0.00000000
-5.92796398,3.48456679,1.39694335,2.40635783,0.36329224,0.63989383,0.00060285,0.09920432,0.22486862,0.00000000
-5.92196098,3.32601432,1.31326621,2.27967368,0.34863466,0.62502237,0.00056414,0.09473959,0.21670248,0.00000000
-5.91595798,3.17158795,1.23122709,2.15686966,0.33366735,0.61052130,0.00052727,0.09021845,0.20872238,0.00000000
-5.90995498,3.02296234,1.15153303,2.03899717,0.31857603,0.59673919,0.00049264,0.08571369,0.20108495,0.00000000
-5.90395198,2.88174060,1.07485544,1.92707495,0.30354694,0.58398971,0.00046067,0.08129660,0.19394895,0.00000000
-5.89794897,2.74942770,1.00181772,1.82207882,0.28876254,0.57254243,0.00043174,0.07703540,0.18747134,0.00000000
-5.89194597,2.62740653,0.93298419,1.72493132,0.27439740,0.56261593,0.00040620,0.07299375,0.18180359,0.00000000
-5.88594297,2.51691691,0.86885049,1.63649098,0.26061434,0.55437310,0.00038437,0.06922955,0.17708827,0.00000000
-5.87993997,2.41903787,0.80983577,1.55754145,0.24756105,0.54791908,0.00036651,0.06579387,0.17345618,0.00000000
-5.87393697,2.33467350,0.75627671,1.48878043,0.23536715,0.54330165,0.00035284,0.06273012,0.17102384,0.00000000
-5.86793397,2.26454225,0.70842351,1.43080870,0.22414188,0.54051401,0.00034354,0.06007347,0.16989161,0.00000000
-5.86193097,2.20916984,0.66643787,1.38411926,0.21397234,0.53949979,0.00033874,0.05785054,0.17014231,0.00000000
-5.85592796,2.16888545,0.63039287,1.34908685,0.20492249,0.54015975,0.00033850,0.05607922,0.17184038,0.00000000
-5.84992496,2.14382096,0.60027476,1.32595808,0.19703275,0.54236008,0.00034284,0.05476879,0.17503152,0.00000000
-5.84392196,2.13391299,0.57598657,1.31484239,0.19032031,0.54594146,0.00035173,0.05392017,0.17974285,0.00000000
-5.83791896,2.13890734,0.55735330,1.31570424,0.18478005,0.55072874,0.00036508,0.05352634,0.18598345,0.00000000
-5.83191596,2.15836550,0.54412855,1.32835669,0.18038606,0.55654042,0.00038274,0.05357290,0.19374519,0.00000000
-5.82591296,2.19167303,0.53600240,1.35245688,0.17709368,0.56319769,0.00040449,0.05403869,0.20300390,0.00000000
-5.81990995,2.23804942,0.53261034,1.38750373,0.17484197,0.57053254,0.00043007,0.05489657,0.21372067,0.00000000
-5.81390695,2.29655952,0.53354291,1.43283820,0.17355645,0.57839450,0.00045912,0.05611411,0.22584334,0.00000000
-5.80790395,2.36612622,0.53835591,1.48764644,0.17315218,0.58665589,0.00049126,0.05765443,0.23930795,0.00000000
-5.80190095,2.44554454,0.54658074,1.55096629,0.17353689,0.59521531,0.00052600,0.05947702,0.25404020,0.00000000
-5.79589795,2.53349712,0.55773485,1.62169717,0.17461410,0.60399934,0.00056283,0.06153845,0.26995685,0.00000000
-5.78989495,2.62857114,0.57133176,1.69861365,0.17628623,0.61296249,0.00060115,0.06379326,0.28696693,0.00000000
-5.78389195,2.72927680,0.58689063,1.78038262,0.17845742,0.62208552,0.00064033,0.06619462,0.30497277,0.00000000
